feature,gain,split
compression_score_lag3,231.0512614250183,23
volume_z_5_lag6,230.1611909866333,24
context_relative_volume_product__compression_score__relative_volume_10,228.36756324768066,25
volume_share_term_spread__volume_share_3__volume_share_5,225.97416067123413,24
dollar_vol_mean_5_delta_1,225.9659399986267,22
legal_prev_trade_count_z_3,225.4575002193451,25
ret_term_spread__ret_3__ret_5,224.55955028533936,17
prev_bar_trade_count_lag1,224.24546146392822,20
compression_score_lag2,223.21328353881836,23
volume_z_20_lag3,223.0112886428833,23
close_location_1_lag6,222.29821968078613,21
context_ret_product__clv_1__ret_1,221.7161102294922,24
volume_z_term_ratio__volume_z_3__volume_z_5,220.64387893676758,25
relative_volume_5_lag2,218.27566146850586,21
htf_regime_trend_strength_15m_delta_1,217.36575984954834,24
range_5,216.61379861831665,13
efficiency_5_delta_6,216.56591844558716,23
range_pos_10_rolling_z_24,215.78004789352417,21
volume_z_term_ratio__volume_z_5__volume_z_20,214.48845052719116,22
htf_efficiency_15m_delta_3,214.0815305709839,23
close_z_term_spread__close_z_5__close_z_10,213.75566864013672,24
volume_z_5_rolling_z_12,213.05720853805542,24
efficiency_10_rolling_z_6,211.79119336605072,23
abs_ret_mean_20_delta_1,211.77820110321045,21
signed_volume_1_lag6,210.20811128616333,23
legal_prev_taker_buy_base_volume_sum_10,210.11154079437256,20
context_ret_product__wick_pressure_1__ret_15,209.79345989227295,19
ret_1_lag12,209.42427015304565,23
prev_bar_taker_buy_ratio_delta_1,209.0489091873169,22
relative_volume_20_lag12,209.01822185516357,24
max_down_ret_5_delta_3,208.8169503211975,23
ret_1_rolling_z_24,207.96783828735352,6
volume_below_rolling_p20_share_5_rolling_z_24,207.42629146575928,25
prev_bar_lower_wick_bps,207.22405338287354,18
htf_range_pos_15m_delta_6,206.56171083450317,21
wick_pressure_1_lag3,205.94342136383057,21
htf_efficiency_15m_delta_1,205.93245887756348,21
upside_rv_20,205.63784885406494,19
efficiency_10_delta_3,203.151460647583,22
htf_close_z_15m_lag2,200.7218999862671,22
prev_bar_taker_buy_ratio_lag12,200.31702947616577,21
prev_bar_taker_net_volume,200.2257595062256,20
ret_5_lag3,199.7433500289917,18
context_ret_product__clv_1__ret_10,198.65889978408813,24
clv_1_rolling_z_12,198.20239114761353,22
wick_imbalance_5,198.10819959640503,24
relative_volume_5_lag1,197.75789880752563,26
htf_close_z_15m_lag12,197.64068937301636,20
rv_term_spread__rv_5__rv_30,197.48191833496094,13
taker_imbalance_mean_5,197.26357889175415,20
htf_close_z_15m_lag6,195.2174367904663,19
relative_volume_3_delta_1,193.99399042129517,19
legal_prev_relative_taker_buy_base_volume_3,193.96591186523438,20
ret_5_lag12,193.91746068000793,19
htf_ret_15m_1_lag12,193.15845918655396,21
range_pos_3_delta_6,192.97242832183838,20
volume_z_term_ratio__volume_z_5__volume_z_10,192.92232179641724,20
compression_score_mean_gap_6,191.31192898750305,20
rv_10_delta_1,190.78466033935547,22
price_location_product__range_pos_3__close_z_5,190.29540920257568,16
rv_10_lag3,190.17981910705566,14
context_ret_product__wick_pressure_1__ret_3,189.76143789291382,22
ret_close_z_product__ret_15__close_z_10,189.2700400352478,18
dollar_vol_mean_5,188.64277911186218,15
vwap_dist_term_ratio__vwap_dist_3__vwap_dist_10,187.34134912490845,21
ret_close_z_product__ret_3__close_z_3,186.50857973098755,21
htf_close_z_15m_lag3,185.97581005096436,17
prev_bar_taker_net_quote_volume,185.6240997314453,21
close_z_3_delta_1,184.46677923202515,15
rv_3_rolling_z_12,183.8498878479004,17
ret_close_z_product__ret_1__close_z_3,183.41620874404907,17
htf_range_pos_15m,183.25241994857788,19
rv_5_lag6,183.14214181900024,20
rv_5_lag12,182.25938081741333,18
relative_volume_term_ratio__relative_volume_5__relative_volume_10,180.60940027236938,19
volume_state_product__volume_z_20__relative_volume_10,180.01630020141602,17
volume_z_5_lag3,179.22101068496704,19
ret_vol_ratio__ret_1__rv_10,179.05155754089355,7
ret_term_ratio__ret_3__ret_10,178.83641052246094,20
compression_score_rolling_z_6,178.28506994247437,18
ret_15_rolling_z_24,177.9131898880005,17
efficiency_3_delta_3,177.3053903579712,18
legal_prev_relative_taker_buy_base_volume_5,176.7610001564026,16
signed_volume_1_lag12,176.63864040374756,17
rv_5_delta_1,176.53051042556763,20
context_ret_product__clv_1__ret_5,176.43912839889526,23
