slice,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
abs_return_1bp_to_5bp,2863.0,0.7495633950401677,0.68,0.7220982142857143,0.7010491071428572,0.6489696122947957,0.6975768872320597,0.29619280475026205,0.4761147919829343,0.6221037651795508,0.5824790307548928,0.4175209692451072,0.535,0.405,2146.0,1250.0,896.0,0.7152482736744503,0.2142951015947703,0.6162959417583936
abs_return_ge_5bp,3750.0,0.8197333333333333,0.8375209380234506,0.8643803585346843,0.8509506482790674,0.7981333333333334,0.8487312947299935,0.5717333333333334,0.3521363372331801,1.6236135635009432,0.5826284970722186,0.4173715029277814,0.535,0.405,3074.0,1791.0,1283.0,0.8834321642063805,0.15383486480522982,0.4783140354599641
abs_return_lt_1bp,858.0,0.7272727272727273,0.5524079320113314,0.5424354243542435,0.5474216781827874,0.5244755244755245,0.5480769230769231,0.06993006993007,0.5732986382953728,0.12197843367986669,0.5657051282051282,0.4342948717948718,0.535,0.405,624.0,353.0,271.0,0.5510625689759217,0.264108286355226,0.7305878314131734
