step,thresholds,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,regime,constraint_satisfied,objective,hard_constraint
initial,"{""weekday"": {""t_down"": 0.43, ""t_up"": 0.575}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7055436529191216,0.7023605884365378,0.6947996589940324,0.6985801237152851,0.6501071237279057,0.698994116530651,0.5547542228126779,0.44524577718732206,0.575,0.43,5269.0,2923.0,2346.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2807980717728978,0.46083922421286133,0.6093189490380648,2923.0,2346.0,5269.0,0.7055436529191216,0.698994116530651,4825.0,0.7573056994818653,0.9950738916256158,3654.0,2643.0,0.6110480514566781,0.02910216718266254,1615.0,,,,
set_weekday,"{""weekday"": {""t_down"": 0.4, ""t_up"": 0.55}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.6991162292447777,0.6864881693648817,0.7117969138875062,0.6991425416261939,0.6501071237279057,0.6962267764796016,0.6152078145949051,0.3847921854050948,0.5625,0.41500000000000004,5221.0,3212.0,2009.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2743706480985538,0.4608392242128614,0.5953717341816854,3212.0,2009.0,5221.0,0.6991162292447777,0.6962267764796016,4825.0,0.7496373056994818,0.9941940834946088,3617.0,2643.0,0.6068861142640938,0.024314214463840397,1604.0,weekend,,,
set_weekday,"{""weekday"": {""t_down"": 0.415, ""t_up"": 0.55}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7208087841456883,0.6864881693648817,0.699677567941041,0.6930828686529613,0.6501071237279057,0.6918075422626788,0.5966932937023964,0.40330670629760357,0.5625,0.4225,5383.0,3212.0,2171.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2765131226566685,0.471325610108882,0.5866711180680179,3212.0,2171.0,5383.0,0.7208087841456883,0.6918075422626788,4825.0,0.7674611398963731,0.9929786659465298,3703.0,2643.0,0.6356413166855845,0.027976190476190477,1680.0,weekend,,,
set_weekday,"{""weekday"": {""t_down"": 0.425, ""t_up"": 0.55}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7359400107123728,0.6864881693648817,0.6957092819614711,0.6910987256631764,0.6501071237279057,0.6903202328966521,0.5844250363901019,0.4155749636098981,0.5625,0.4275,5496.0,3212.0,2284.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2801285484734869,0.47739473302440505,0.586786005574063,3212.0,2284.0,5496.0,0.7359400107123728,0.6903202328966521,4825.0,0.7819689119170985,0.9923138086403392,3773.0,2643.0,0.6519107075293228,0.02901915264074289,1723.0,weekend,,,
set_weekday,"{""weekday"": {""t_down"": 0.43, ""t_up"": 0.55}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7442420996250669,0.6864881693648817,0.6947996589940324,0.690643914179457,0.6501071237279057,0.6899964015833033,0.5779057214825477,0.42209427851745235,0.5625,0.43,5558.0,3212.0,2346.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2828066416711301,0.4803308536591923,0.5887746737830609,3212.0,2346.0,5558.0,0.7442420996250669,0.6899964015833033,4825.0,0.7894300518134715,0.9921239170385928,3809.0,2643.0,0.6617480136208853,0.03201829616923957,1749.0,weekend,,,
set_weekday,"{""weekday"": {""t_down"": 0.435, ""t_up"": 0.55}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7526780931976432,0.6864881693648817,0.6899128268991283,0.6882004981320049,0.6501071237279057,0.6879558797367017,0.5714285714285714,0.42857142857142855,0.5625,0.4325,5621.0,3212.0,2409.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28294054633101234,0.48463261697219207,0.5838248116660446,3212.0,2409.0,5621.0,0.7526780931976432,0.6879558797367017,4825.0,0.7960621761658031,0.9916688362405623,3841.0,2643.0,0.6734771093454408,0.03258426966292135,1780.0,weekend,,,
set_weekday,"{""weekday"": {""t_down"": 0.445, ""t_up"": 0.55}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7691483663631494,0.6864881693648817,0.6832543443917851,0.6848712568783334,0.6501071237279057,0.6850626740947076,0.5591922005571031,0.44080779944289694,0.5625,0.4375,5744.0,3212.0,2532.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2846813069094805,0.4921722561531018,0.5784180301721917,3212.0,2532.0,5744.0,0.7691483663631494,0.6850626740947076,4825.0,0.8111917098445596,0.9897802759325498,3914.0,2643.0,0.6923950056753689,0.03333333333333333,1830.0,weekend,,,
set_weekday,"{""weekday"": {""t_down"": 0.455, ""t_up"": 0.55}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7880289234065345,0.6864881693648817,0.6771417882528994,0.6818149788088905,0.6501071237279057,0.6822429906542056,0.5457943925233645,0.4542056074766355,0.5625,0.4425,5885.0,3212.0,2673.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2872254954472415,0.5004015527350475,0.5739900163725543,3212.0,2673.0,5885.0,0.7880289234065345,0.6822429906542056,4825.0,0.8283937823834197,0.9884913685263947,3997.0,2643.0,0.7143397654180855,0.03389830508474576,1888.0,weekend,,,
set_weekday,"{""weekday"": {""t_down"": 0.465, ""t_up"": 0.55}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.8011515800749867,0.6864881693648817,0.6723204619271022,0.6794043156459919,0.6501071237279057,0.6799264582985125,0.5368544208591007,0.4631455791408992,0.5625,0.4475,5983.0,3212.0,2771.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28829673272629897,0.5063866345731726,0.569321370358246,3212.0,2771.0,5983.0,0.8011515800749867,0.6799264582985125,4825.0,0.8391709844559585,0.9871573227957521,4049.0,2643.0,0.7317442300416194,0.03671147880041365,1934.0,weekend,,,
set_weekday,"{""weekday"": {""t_down"": 0.4, ""t_up"": 0.56}, ""weekend"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.684654525977504,0.6910438144329897,0.7117969138875062,0.7014203641602479,0.6501071237279057,0.6991981224330139,0.6070799921768042,0.39292000782319575,0.5675,0.41500000000000004,5113.0,3104.0,2009.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.27276379217996793,0.4538120391734534,0.6010501455112647,3104.0,2009.0,5113.0,0.684654525977504,0.6991981224330139,4825.0,0.73720207253886,0.9960640989597975,3557.0,2643.0,0.5887249337873628,0.02056555269922879,1556.0,weekend,,,
