alpha,calibration_abstain_low_conf_count,calibration_abstain_low_conf_share,calibration_active_count,calibration_active_share,calibration_clamp_over_pside_count,calibration_clamp_over_pside_share,calibration_coverage_feasible,calibration_coverage_overall,calibration_covered_count,calibration_covered_feasible_count,calibration_covered_gap_norm_mean,calibration_covered_gap_norm_median,calibration_covered_gap_norm_q25,calibration_covered_gap_norm_q75,calibration_feasible_count,calibration_feasible_covered_gap_norm_mean,calibration_infeasible_count,calibration_max_possible_coverage,calibration_mean_p_pred,calibration_mean_p_side,calibration_sample_count,calibration_side_violation_count,calibration_side_violation_rate,epoch,loss,selected_bucket_miss_threshold,selected_delta,selected_delta_quantile
2.0,2027.0,0.24611461874696455,2400.0,0.2914035939776591,3809.0,0.4624817872753764,0.9676784249384741,0.7161243322000971,5898.0,5898.0,0.9155160977425161,1.0,0.9210938302433243,1.0,6095.0,0.9155160983867724,2141.0,0.7400437105390967,0.5437476881745766,0.5651863688744982,8236.0,0.0,0.0,1,0.47031364440917967,0.15,0.24367856979370117,0.8
2.0,3748.0,0.45507527926177754,3131.0,0.3801602719766877,1357.0,0.16476444876153473,0.9304347826086956,0.6885624089363769,5671.0,5671.0,0.886762952405896,1.0,0.9140391628445593,1.0,6095.0,0.8867629531483676,2141.0,0.7400437105390967,0.5280655361467721,0.5651863688744982,8236.0,0.0,0.0,2,0.36979528665542605,0.3,0.06588540226221085,0.6
2.0,3776.0,0.4584749878581836,3119.0,0.37870325400679944,1341.0,0.162821758135017,0.9307629204265792,0.6888052452646916,5673.0,5673.0,0.882517856272365,1.0,0.915241321998125,1.0,6095.0,0.8825178571918832,2141.0,0.7400437105390967,0.5270286743481111,0.5651863688744982,8236.0,0.0,0.0,3,0.35603821476300557,0.3,0.059830423444509506,0.6
2.0,2027.0,0.24611461874696455,2649.0,0.3216367168528412,3560.0,0.43224866440019427,0.963084495488105,0.7127246236036912,5870.0,5870.0,0.9007681676940588,1.0,0.882923329814143,1.0,6095.0,0.9007681690899345,2141.0,0.7400437105390967,0.5392974385114532,0.5651863688744982,8236.0,0.0,0.0,4,0.32730417251586913,0.2,0.1936863660812378,0.8
2.0,2027.0,0.24611461874696455,3343.0,0.4059009227780476,2866.0,0.3479844584749879,0.9473338802296964,0.7010684798445848,5774.0,5774.0,0.8719361142690348,1.0,0.8054257817221444,1.0,6095.0,0.8719361171993963,2141.0,0.7400437105390967,0.5304482370478033,0.5651863688744982,8236.0,0.0,0.0,5,0.29536272486050924,0.2,0.14494317770004272,0.8
2.0,2027.0,0.24611461874696455,3814.0,0.46308887809616317,2395.0,0.2907965031568723,0.9327317473338802,0.6902622632345798,5685.0,5685.0,0.8504149689814153,1.0,0.7501115239895267,1.0,6095.0,0.8504149699314443,2141.0,0.7400437105390967,0.5230479652276507,0.5651863688744982,8236.0,0.0,0.0,6,0.26764418681462604,0.2,0.09948418289422989,0.8
2.0,2274.0,0.27610490529383197,3933.0,0.4775376396308888,2029.0,0.24635745507527926,0.9347005742411812,0.6917192812044682,5697.0,5697.0,0.8433200296258889,1.0,0.7282934410958014,1.0,6095.0,0.8433200306181193,2141.0,0.7400437105390967,0.5222189490257501,0.5651863688744982,8236.0,0.0,0.0,7,0.2408509522676468,0.2,0.09964720904827118,0.8
2.0,605.0,0.07345798931520156,4029.0,0.48919378338999514,3602.0,0.4373482272948033,0.9302707136997539,0.6884409907722195,5670.0,5670.0,0.8341015139127214,0.9941803274624301,0.7174374788670411,1.0,6095.0,0.8341015158183973,2141.0,0.7400437105390967,0.5214009508772934,0.5651863688744982,8236.0,0.0,0.0,8,0.22899434665838878,0.2,0.12732456624507904,0.9
2.0,0.0,0.0,5001.0,0.6072122389509471,3235.0,0.39278776104905294,0.9305988515176374,0.6886838271005342,5672.0,5672.0,0.7898942965227111,0.8745351920610593,0.656949181722862,1.0,6095.0,0.7898942995639576,2141.0,0.7400437105390967,0.5161197541631714,0.5651863688744982,8236.0,0.0,0.0,9,0.20758619904518127,0.2,0.11563228815793991,0.92
2.0,0.0,0.0,4972.0,0.6036911121903836,3264.0,0.3963088878096163,0.9319114027891715,0.6896551724137931,5680.0,5680.0,0.7898565218326726,0.87404702940475,0.6561729489058917,1.0,6095.0,0.7898565248301237,2141.0,0.7400437105390967,0.5183107892310065,0.5651863688744982,8236.0,0.0,0.0,10,0.19630161821842193,0.2,0.11435199528932571,0.92
2.0,605.0,0.07345798931520156,5202.0,0.631617289946576,2429.0,0.29492472073822246,0.9317473338802297,0.6895337542496357,5679.0,5679.0,0.7789399514811954,0.8574803981406555,0.633056027553722,1.0,6095.0,0.7789399533195575,2141.0,0.7400437105390967,0.5154763685612302,0.5651863688744982,8236.0,0.0,0.0,11,0.18850363790988922,0.15,0.09802964329719543,0.9
2.0,0.0,0.0,5418.0,0.6578436134045653,2818.0,0.3421563865954347,0.9320754716981132,0.6897765905779505,5681.0,5681.0,0.7666994663624113,0.8323337213604973,0.616207487710896,1.0,6095.0,0.7666994689033501,2141.0,0.7400437105390967,0.5135321592104322,0.5651863688744982,8236.0,0.0,0.0,12,0.1830837647120158,0.15,0.10083038359880447,0.92
2.0,0.0,0.0,5331.0,0.6472802331228752,2905.0,0.3527197668771248,0.9327317473338802,0.6902622632345798,5685.0,5685.0,0.7675735365313143,0.8320601685995374,0.6148033953437722,1.0,6095.0,0.7675735392892635,2141.0,0.7400437105390967,0.5129974725922571,0.5651863688744982,8236.0,0.0,0.0,13,0.18012188176314037,0.2,0.10843229293823242,0.92
2.0,0.0,0.0,4801.0,0.5829286061194755,3435.0,0.4170713938805245,0.9317473338802297,0.6895337542496357,5679.0,5679.0,0.7914272463143784,0.878795249625202,0.6532669603402648,1.0,6095.0,0.7914272484272161,2141.0,0.7400437105390967,0.5170838758786754,0.5651863688744982,8236.0,0.0,0.0,14,0.17348671952883402,0.3,0.11264047026634216,0.92
2.0,0.0,0.0,5221.0,0.6339242350655658,3015.0,0.36607576493443417,0.9348646431501231,0.6918406993686256,5698.0,5698.0,0.7693952345133954,0.8368571065155153,0.6259785305841359,1.0,6095.0,0.7693952457588299,2141.0,0.7400437105390967,0.5145630990403182,0.5651863688744982,8236.0,0.0,0.0,15,0.17599537471930185,0.2,0.1089484840631485,0.92
2.0,0.0,0.0,5398.0,0.6554152501214182,2838.0,0.34458474987858184,0.9319114027891715,0.6896551724137931,5680.0,5680.0,0.7557408806932534,0.8142057404048827,0.599287108121951,1.0,6095.0,0.7557408838870707,2141.0,0.7400437105390967,0.5103107186162975,0.5651863688744982,8236.0,0.0,0.0,16,0.16859521369139355,0.15,0.10412892699241638,0.92
2.0,0.0,0.0,4929.0,0.5984701311316173,3307.0,0.4015298688683827,0.9307629204265792,0.6888052452646916,5673.0,5673.0,0.7775722669699641,0.8624590057112264,0.626831447805457,1.0,6095.0,0.7775722708715181,2141.0,0.7400437105390967,0.5130146737039182,0.5651863688744982,8236.0,0.0,0.0,17,0.17162496546904246,0.2,0.11914125829935074,0.92
2.0,0.0,0.0,4869.0,0.5911850412821759,3367.0,0.4088149587178242,0.9324036095159968,0.6900194269062652,5683.0,5683.0,0.7898282940390423,0.8671859048849937,0.649931197706183,1.0,6095.0,0.7898282965975633,2141.0,0.7400437105390967,0.5174170852688282,0.5651863688744982,8236.0,0.0,0.0,18,0.17238154411315917,0.2,0.11762814968824387,0.92
2.0,0.0,0.0,5076.0,0.616318601262749,3160.0,0.3836813987372511,0.9307629204265792,0.6888052452646916,5673.0,5673.0,0.7719245266176764,0.8400812804075627,0.6226809312889415,1.0,6095.0,0.771924529073779,2141.0,0.7400437105390967,0.5129638954946958,0.5651863688744982,8236.0,0.0,0.0,19,0.1662974069515864,0.15,0.10843142867088318,0.92
2.0,0.0,0.0,4998.0,0.606847984458475,3238.0,0.393152015541525,0.9310910582444627,0.6890480815930063,5675.0,5675.0,0.7703655618522268,0.8390942411663845,0.6208073512519425,1.0,6095.0,0.7703655642663888,2141.0,0.7400437105390967,0.5148056026301415,0.5651863688744982,8236.0,0.0,0.0,20,0.16212400595347087,0.2,0.10841384530067444,0.92
2.0,0.0,0.0,5087.0,0.6176542010684798,3149.0,0.38234579893152015,0.9333880229696473,0.6907479358912093,5689.0,5689.0,0.762325856607208,0.8323309656496181,0.6063475525322065,1.0,6095.0,0.7623258578090818,2141.0,0.7400437105390967,0.5114841965383755,0.5651863688744982,8236.0,0.0,0.0,21,0.16365690231323243,0.2,0.10524037480354309,0.92
2.0,0.0,0.0,5145.0,0.6246964545896067,3091.0,0.3753035454103934,0.932895816242822,0.6903836813987373,5686.0,5686.0,0.7561636807283164,0.8183360837073979,0.5970401301855774,1.0,6095.0,0.756163683400527,2141.0,0.7400437105390967,0.5115629988719714,0.5651863688744982,8236.0,0.0,0.0,22,0.15919738213221232,0.15,0.1050439327955246,0.92
2.0,0.0,0.0,5092.0,0.6182612918892666,3144.0,0.38173870811073335,0.9337161607875307,0.690990772219524,5691.0,5691.0,0.7580028945768553,0.824082874001194,0.598606886044994,1.0,6095.0,0.7580028973691176,2141.0,0.7400437105390967,0.512575021666908,0.5651863688744982,8236.0,0.0,0.0,23,0.15608540376027424,0.15,0.1015973761677742,0.92
2.0,0.0,0.0,4980.0,0.6046624575036426,3256.0,0.39533754249635744,0.9332239540607055,0.690626517727052,5688.0,5688.0,0.7586269489190366,0.8257240600944848,0.6017826838361491,1.0,6095.0,0.7586269518173505,2141.0,0.7400437105390967,0.511517297811894,0.5651863688744982,8236.0,0.0,0.0,24,0.15472014844417573,0.2,0.10163149237632751,0.92
