abstain_low_conf_count,abstain_low_conf_share,active_count,active_share,alpha,bucket_miss_threshold,clamp_over_pside_count,clamp_over_pside_share,coverage_feasible,coverage_overall,covered_count,covered_feasible_count,covered_gap_norm_mean,covered_gap_norm_median,covered_gap_norm_q25,covered_gap_norm_q75,delta,delta_quantile,feasible_count,feasible_covered_gap_norm_mean,infeasible_count,max_possible_coverage,mean_p_pred,mean_p_side,sample_count,side_violation_count,side_violation_rate
6983.0,0.8478630403108305,1172.0,0.1423020883924235,2.0,0.3,81.0,0.009834871296745993,0.9634126333059885,0.7129674599320058,5872.0,5872.0,0.9445992325865662,1.0,1.0,1.0,-0.01727387309074402,0.6,6095.0,0.9445992326811604,2141.0,0.7400437105390967,0.5446438538127645,0.5651863688744982,8236.0,0.0,0.0
0.0,0.0,7796.0,0.9465760077707625,2.0,0.5,440.0,0.053423992229237494,0.6242821985233798,0.46199611461874696,3805.0,3805.0,0.44843735097229104,0.4319946371039868,0.23778918378991656,0.6272857998738326,-0.01727387309074402,0.6,6095.0,0.44843735279082997,2141.0,0.7400437105390967,0.40480204721701657,0.5651863688744982,8236.0,0.0,0.0
0.0,0.0,7796.0,0.9465760077707625,2.0,1.0,440.0,0.053423992229237494,0.6242821985233798,0.46199611461874696,3805.0,3805.0,0.44843735097229104,0.4319946371039868,0.23778918378991656,0.6272857998738326,-0.01727387309074402,0.6,6095.0,0.44843735279082997,2141.0,0.7400437105390967,0.40480204721701657,0.5651863688744982,8236.0,0.0,0.0
8236.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,0.017972780391573906,0.7,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,8236.0,0.0,0.0
8236.0,1.0,0.0,0.0,2.0,0.025,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,0.017972780391573906,0.7,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,8236.0,0.0,0.0
8236.0,1.0,0.0,0.0,2.0,0.05,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,0.017972780391573906,0.7,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,8236.0,0.0,0.0
8236.0,1.0,0.0,0.0,2.0,0.075,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,0.017972780391573906,0.7,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,8236.0,0.0,0.0
8236.0,1.0,0.0,0.0,2.0,0.1,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,0.017972780391573906,0.7,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,8236.0,0.0,0.0
8090.0,0.9822729480330258,139.0,0.016877124817872752,2.0,0.15,7.0,0.0008499271491015056,0.9970467596390484,0.7378581835842642,6077.0,6077.0,0.9916428258942113,1.0,1.0,1.0,0.017972780391573906,0.7,6095.0,0.9916428259007491,2141.0,0.7400437105390967,0.5627228793616136,0.5651863688744982,8236.0,0.0,0.0
7719.0,0.9372268091306459,491.0,0.05961631860126275,2.0,0.2,26.0,0.0031568722680913063,0.9893355209187858,0.7321515298688683,6030.0,6030.0,0.9744316251875212,1.0,1.0,1.0,0.017972780391573906,0.7,6095.0,0.9744316251976276,2141.0,0.7400437105390967,0.5573030793469691,0.5651863688744982,8236.0,0.0,0.0
