epoch,fit_loss,calibration_mae
1.0,0.017398711876012385,0.14533353387807055
2.0,0.015032050083391368,0.14531099541044873
3.0,0.01410683710128069,0.1445615855359299
4.0,0.01335366244893521,0.14676921952685237
5.0,0.012653621495701373,0.14407640840683136
6.0,0.011919132783077657,0.15070756442323743
7.0,0.011286589549854398,0.1473172960435987
8.0,0.010652059456333518,0.14674604862007068
9.0,0.009818856022320688,0.15077789225179922
10.0,0.008871139492839575,0.1582310678198285
11.0,0.008619598695077002,0.15526610255596437
12.0,0.00793645076919347,0.15522292097223978
13.0,0.007196199090685695,0.15553002852174927
14.0,0.006717256270349026,0.16148406696867107
15.0,0.006006635550875217,0.1602132533984567
