epoch,fit_loss,calibration_nll
1.0,22.64302855067783,7.102509029404524
2.0,5.4945663346184626,4.62934202604656
3.0,4.325614770253499,4.23468361383752
4.0,4.178232034047444,4.179519316113951
5.0,4.132794989479913,4.161154818233055
6.0,4.107307804955377,4.1587238352007
7.0,4.093594498104519,4.146581820797819
8.0,4.0715470049116345,4.141144071249016
9.0,4.057881222830878,4.149577552859793
10.0,4.041677806112501,4.161896586116356
11.0,4.0257011784447565,4.151759593496846
12.0,4.009087098969354,4.139787075992375
13.0,3.997112366888258,4.145874433074822
14.0,3.9766790866851807,4.158204349888025
15.0,3.9589498572879367,4.164016847570235
16.0,3.9430781073040433,4.147736198489676
17.0,3.9266024695502386,4.166172604621211
18.0,3.9058163430955677,4.1544996414506485
19.0,3.894939661026001,4.195912988075224
20.0,3.8705980247921414,4.168905327390518
21.0,3.851702610651652,4.205617354992572
22.0,3.837010966406928,4.187311883918344
