experiment,tau_cont,tau_rev,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,conflict_abstain_count,both_abstain_count,conflict_cont_win_count,conflict_rev_win_count,cont_only_count,rev_only_count,cont_model_used_count,rev_model_used_count,abstain_count,balanced_score,router_score,coverage_constraint_satisfied,official_acceptance_metric
gate_hybrid,0.6,0.65,7468.0,0.5372254954472415,0.7226999140154772,0.7212336892052195,0.7219668016103483,0.5923942153186931,0.7220837487537388,0.5797607178464607,0.4202392821535394,0.6,0.65,4012.0,2326.0,1686.0,0.6587292014171297,0.2374103931265903,0.6651639142680164,0.2386181039100161,0.38639836408635675,0.6175442913021417,2326.0,1686.0,4012.0,0.5372254954472415,0.7220837487537388,4825.0,0.6004145077720208,1.0,2897.0,2643.0,0.4218690881573969,0.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,4012.0,0.0,3456.0,0.20616423952783178,-0.26230140531589097,False,validation_selection_score_with_coverage_ge_0.70
gate_hybrid,0.6,0.7,7468.0,0.5372254954472415,0.7226999140154772,0.7212336892052195,0.7219668016103483,0.5923942153186931,0.7220837487537388,0.5797607178464607,0.4202392821535394,0.6,0.7,4012.0,2326.0,1686.0,0.6587292014171297,0.2374103931265903,0.6651639142680164,0.2386181039100161,0.38639836408635675,0.6175442913021417,2326.0,1686.0,4012.0,0.5372254954472415,0.7220837487537388,4825.0,0.6004145077720208,1.0,2897.0,2643.0,0.4218690881573969,0.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,4012.0,0.0,3456.0,0.20616423952783178,-0.26230140531589097,False,validation_selection_score_with_coverage_ge_0.70
gate_hybrid,0.6,0.75,7468.0,0.5372254954472415,0.7226999140154772,0.7212336892052195,0.7219668016103483,0.5923942153186931,0.7220837487537388,0.5797607178464607,0.4202392821535394,0.6,0.75,4012.0,2326.0,1686.0,0.6587292014171297,0.2374103931265903,0.6651639142680164,0.2386181039100161,0.38639836408635675,0.6175442913021417,2326.0,1686.0,4012.0,0.5372254954472415,0.7220837487537388,4825.0,0.6004145077720208,1.0,2897.0,2643.0,0.4218690881573969,0.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,4012.0,0.0,3456.0,0.20616423952783178,-0.26230140531589097,False,validation_selection_score_with_coverage_ge_0.70
gate_hybrid,0.6,0.8,7468.0,0.5372254954472415,0.7226999140154772,0.7212336892052195,0.7219668016103483,0.5923942153186931,0.7220837487537388,0.5797607178464607,0.4202392821535394,0.6,0.8,4012.0,2326.0,1686.0,0.6587292014171297,0.2374103931265903,0.6651639142680164,0.2386181039100161,0.38639836408635675,0.6175442913021417,2326.0,1686.0,4012.0,0.5372254954472415,0.7220837487537388,4825.0,0.6004145077720208,1.0,2897.0,2643.0,0.4218690881573969,0.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,4012.0,0.0,3456.0,0.20616423952783178,-0.26230140531589097,False,validation_selection_score_with_coverage_ge_0.70
gate_hybrid,0.65,0.65,7468.0,0.38403856454204605,0.7622418879056048,0.7433930093776641,0.7528174486416344,0.5492769148366363,0.7545327754532776,0.5910041841004184,0.4089958158995816,0.65,0.65,2868.0,1695.0,1173.0,0.6392853840127193,0.24562288363412468,0.6818166779548358,0.1955008034279593,0.307032377050114,0.6367432819505207,1695.0,1173.0,2868.0,0.38403856454204605,0.7545327754532776,4825.0,0.44849740932642485,1.0,2164.0,2643.0,0.26636398032538783,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.0,0.0,4600.0,0.26242306233824336,-0.2816089096870749,False,validation_selection_score_with_coverage_ge_0.70
gate_hybrid,0.65,0.7,7468.0,0.38403856454204605,0.7622418879056048,0.7433930093776641,0.7528174486416344,0.5492769148366363,0.7545327754532776,0.5910041841004184,0.4089958158995816,0.65,0.7,2868.0,1695.0,1173.0,0.6392853840127193,0.24562288363412468,0.6818166779548358,0.1955008034279593,0.307032377050114,0.6367432819505207,1695.0,1173.0,2868.0,0.38403856454204605,0.7545327754532776,4825.0,0.44849740932642485,1.0,2164.0,2643.0,0.26636398032538783,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.0,0.0,4600.0,0.26242306233824336,-0.2816089096870749,False,validation_selection_score_with_coverage_ge_0.70
gate_hybrid,0.65,0.75,7468.0,0.38403856454204605,0.7622418879056048,0.7433930093776641,0.7528174486416344,0.5492769148366363,0.7545327754532776,0.5910041841004184,0.4089958158995816,0.65,0.75,2868.0,1695.0,1173.0,0.6392853840127193,0.24562288363412468,0.6818166779548358,0.1955008034279593,0.307032377050114,0.6367432819505207,1695.0,1173.0,2868.0,0.38403856454204605,0.7545327754532776,4825.0,0.44849740932642485,1.0,2164.0,2643.0,0.26636398032538783,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.0,0.0,4600.0,0.26242306233824336,-0.2816089096870749,False,validation_selection_score_with_coverage_ge_0.70
gate_hybrid,0.65,0.8,7468.0,0.38403856454204605,0.7622418879056048,0.7433930093776641,0.7528174486416344,0.5492769148366363,0.7545327754532776,0.5910041841004184,0.4089958158995816,0.65,0.8,2868.0,1695.0,1173.0,0.6392853840127193,0.24562288363412468,0.6818166779548358,0.1955008034279593,0.307032377050114,0.6367432819505207,1695.0,1173.0,2868.0,0.38403856454204605,0.7545327754532776,4825.0,0.44849740932642485,1.0,2164.0,2643.0,0.26636398032538783,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.0,0.0,4600.0,0.26242306233824336,-0.2816089096870749,False,validation_selection_score_with_coverage_ge_0.70
gate_hybrid,0.7,0.65,7468.0,0.2513390465988216,0.7950043066322137,0.7723463687150838,0.7836753376736487,0.4985270487412962,0.7863612147043154,0.6185402237613212,0.3814597762386787,0.7,0.65,1877.0,1161.0,716.0,0.5924598531634984,0.25391109722096816,0.6987420452581634,0.14394750937332618,0.23172347445338315,0.6212038280234088,1161.0,716.0,1877.0,0.2513390465988216,0.7863612147043154,4825.0,0.30590673575129534,1.0,1476.0,2643.0,0.15172152856602344,0.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,1877.0,0.0,5591.0,0.3168441723683004,-0.31056953296268874,False,validation_selection_score_with_coverage_ge_0.70
gate_hybrid,0.7,0.7,7468.0,0.2513390465988216,0.7950043066322137,0.7723463687150838,0.7836753376736487,0.4985270487412962,0.7863612147043154,0.6185402237613212,0.3814597762386787,0.7,0.7,1877.0,1161.0,716.0,0.5924598531634984,0.25391109722096816,0.6987420452581634,0.14394750937332618,0.23172347445338315,0.6212038280234088,1161.0,716.0,1877.0,0.2513390465988216,0.7863612147043154,4825.0,0.30590673575129534,1.0,1476.0,2643.0,0.15172152856602344,0.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,1877.0,0.0,5591.0,0.3168441723683004,-0.31056953296268874,False,validation_selection_score_with_coverage_ge_0.70
