experiment,conflict_margin,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,conflict_abstain_count,both_abstain_count,conflict_cont_win_count,conflict_rev_win_count,cont_only_count,rev_only_count,cont_model_used_count,rev_model_used_count,abstain_count,balanced_score,router_score,coverage_constraint_satisfied,official_acceptance_metric
conflict_margin,0.03,7468.0,0.9385377611140868,0.4740592930444698,0.4481576692373608,0.4611084811409153,0.459962506695233,0.4611214153231559,0.5004993579683265,0.49950064203167355,0.03,0.03,7009.0,3508.0,3501.0,0.47003397216746395,0.3726867988020985,1.0112607506839828,-0.07297803963577935,0.7111665770935337,-0.10261736418214881,3508.0,3501.0,7009.0,0.9385377611140868,0.4611214153231559,4825.0,0.9305699481865285,0.1973273942093541,4490.0,2643.0,0.9530836171017782,0.9313219531560143,2519.0,459.0,0.0,516.0,3710.0,543.0,2240.0,1059.0,5950.0,459.0,-0.04582638138356829,-0.48766431565916246,False,validation_selection_score_with_coverage_ge_0.70
conflict_margin,0.05,7468.0,0.8997054097482592,0.4734342534876818,0.44776119402985076,0.4605977237587663,0.459962506695233,0.4606340229200774,0.5014139008781069,0.4985860991218931,0.05,0.05,6719.0,3369.0,3350.0,0.4701872619162496,0.369495457194879,1.0038178604797705,-0.07083556507766472,0.6966135854352554,-0.10168559235520151,3369.0,3350.0,6719.0,0.8997054097482592,0.4606340229200774,4825.0,0.8866321243523316,0.18606825619448342,4278.0,2643.0,0.9235716988270904,0.9418271200327735,2441.0,749.0,0.0,395.0,3541.0,543.0,2240.0,938.0,5781.0,749.0,-0.05065359824581525,-0.48678551261099967,False,validation_selection_score_with_coverage_ge_0.70
conflict_margin,0.07,7468.0,0.8588644884841993,0.4727838258164852,0.4498280712722726,0.4613059485443789,0.459962506695233,0.4613345806049267,0.5012472715933894,0.49875272840661056,0.07,0.07,6414.0,3215.0,3199.0,0.4704491109625361,0.3654027567332623,0.9941871334455653,-0.06641671130155331,0.6801768886788762,-0.09764623351222074,3215.0,3199.0,6414.0,0.8588644884841993,0.4613345806049267,4825.0,0.8408290155440414,0.17623859995070248,4057.0,2643.0,0.8917896329928112,0.9520577004666949,2357.0,1054.0,0.0,285.0,3346.0,543.0,2240.0,828.0,5586.0,1054.0,-0.05304612620513316,-0.4823504779298649,False,validation_selection_score_with_coverage_ge_0.70
conflict_margin,0.1,7468.0,0.8010176754151045,0.47719762062128224,0.4539918809201624,0.4655947507707223,0.459962506695233,0.4657305249080575,0.5058508859913072,0.49414911400869277,0.1,0.1,5982.0,3026.0,2956.0,0.47091192394645787,0.3581530630768643,0.9769385205693294,-0.054900910551687214,0.654185977366831,-0.08392248145194015,3026.0,2956.0,5982.0,0.8010176754151045,0.4657305249080575,4825.0,0.7761658031088083,0.1732977303070761,3745.0,2643.0,0.8463866818009838,0.9552972731336612,2237.0,1486.0,0.0,206.0,2993.0,543.0,2240.0,749.0,5233.0,1486.0,-0.04332508543262589,-0.46450783860819844,False,validation_selection_score_with_coverage_ge_0.70
conflict_margin,0.12,7468.0,0.7615158007498661,0.4838820301783265,0.45651389390111874,0.47019796203972264,0.459962506695233,0.4705468612625286,0.5127483734833832,0.48725162651661685,0.12,0.12,5687.0,2916.0,2771.0,0.47158661423654663,0.35249696200098063,0.9632362333682175,-0.04485806106052488,0.634970023627254,-0.07064595081870806,2916.0,2771.0,5687.0,0.7615158007498661,0.4705468612625286,4825.0,0.7336787564766839,0.17570621468926553,3540.0,2643.0,0.8123344684071131,0.9566837447601304,2147.0,1781.0,0.0,172.0,2732.0,543.0,2240.0,715.0,4972.0,1781.0,-0.032335157853993546,-0.4474959608040683,False,validation_selection_score_with_coverage_ge_0.70
conflict_margin,0.15,7468.0,0.6995179432244242,0.4935826916024936,0.46095314377252705,0.4772679176875103,0.459962506695233,0.47798621745788666,0.5220137825421133,0.47798621745788666,0.15,0.15,5224.0,2727.0,2497.0,0.47306458588935907,0.34378093684608585,0.9416576967746584,-0.030798071772897714,0.604283052466856,-0.05096630072144368,2727.0,2497.0,5224.0,0.6995179432244242,0.47798621745788666,4825.0,0.6704663212435233,0.18268933539412674,3235.0,2643.0,0.7525539160045402,0.9582704876822524,1989.0,2244.0,0.0,131.0,2310.0,543.0,2240.0,674.0,4550.0,2244.0,-0.013531159197420428,-0.4207383198158911,False,validation_selection_score_with_coverage_ge_0.70
