timestamp,day,session,first_minute_side,actual_direction,actual_regime,continuation_p_up,continuation_decision,continuation_accept,continuation_confidence,reversal_p_up,reversal_decision,reversal_accept,reversal_confidence,p_continuation,p_reversal,final_decision,final_accept,final_correct,used_expert,routing_reason
2026-04-11 00:15:00+00:00,5,asia,NO,DOWN,continuation,0.503048418501732,ABSTAIN,False,0.0030484185017319865,0.8181216138579652,UP,True,0.3181216138579652,0.5090430360026058,0.4909569639973942,ABSTAIN,False,False,abstain,gate_abstain
2026-04-11 00:20:00+00:00,5,asia,YES,UP,continuation,0.6162457845007933,UP,True,0.11624578450079326,0.1864133863952883,DOWN,True,0.31358661360471174,0.6622770918433277,0.3377229081566723,UP,True,True,continuation,gate_cont
2026-04-11 00:25:00+00:00,5,asia,YES,UP,continuation,0.5991408754044953,UP,True,0.09914087540449534,0.17770428535975952,DOWN,True,0.3222957146402405,0.6227311398015812,0.37726886019841877,ABSTAIN,False,False,abstain,gate_abstain
2026-04-11 00:35:00+00:00,5,asia,YES,UP,continuation,0.6208696810288721,UP,True,0.12086968102887208,0.19250714239918,DOWN,True,0.30749285760082,0.6761317099972484,0.32386829000275164,UP,True,True,continuation,gate_cont
2026-04-11 00:40:00+00:00,5,asia,NO,DOWN,continuation,0.3680664896431252,DOWN,True,0.13193351035687478,0.8107188447145576,UP,True,0.3107188447145576,0.6297884959211271,0.37021150407887293,ABSTAIN,False,False,abstain,gate_abstain
2026-04-11 00:45:00+00:00,5,asia,NO,DOWN,continuation,0.19881321937927215,DOWN,True,0.30118678062072785,0.5768565600047165,UP,True,0.07685656000471652,0.8048211290133409,0.1951788709866591,DOWN,True,True,continuation,gate_cont
2026-04-11 00:50:00+00:00,5,asia,YES,UP,continuation,0.5479647679104541,ABSTAIN,False,0.04796476791045412,0.14956959736992256,DOWN,True,0.3504304026300774,0.5253293304296119,0.47467066957038806,ABSTAIN,False,False,abstain,gate_abstain
2026-04-11 00:55:00+00:00,5,asia,NO,DOWN,continuation,0.390306902943167,DOWN,True,0.109693097056833,0.825164405203688,UP,True,0.32516440520368795,0.6283179911018778,0.3716820088981222,ABSTAIN,False,False,abstain,gate_abstain
2026-04-11 01:00:00+00:00,5,asia,YES,DOWN,reversal,0.551577255562472,ABSTAIN,False,0.051577255562471946,0.1387894159233644,DOWN,True,0.3612105840766356,0.5192761249950343,0.4807238750049657,ABSTAIN,False,False,abstain,gate_abstain
2026-04-11 01:05:00+00:00,5,asia,YES,UP,continuation,0.8258713995623047,UP,True,0.3258713995623047,0.4305889744041874,ABSTAIN,False,0.06941102559581258,0.8172449973665886,0.18275500263341138,UP,True,True,continuation,gate_cont
2026-04-11 01:10:00+00:00,5,asia,NO,DOWN,continuation,0.47263758747881857,ABSTAIN,False,0.027362412521181434,0.8594483185380765,UP,True,0.35944831853807646,0.5335198129765493,0.46648018702345073,ABSTAIN,False,False,abstain,gate_abstain
2026-04-11 01:15:00+00:00,5,asia,NO,DOWN,continuation,0.09731986096083287,DOWN,True,0.4026801390391671,0.21584952067427535,ABSTAIN,False,0.2841504793257247,0.9149024496373597,0.08509755036264033,DOWN,True,True,continuation,gate_cont
2026-04-11 01:20:00+00:00,5,asia,NO,DOWN,continuation,0.4520190625176081,ABSTAIN,False,0.047980937482391905,0.8516997003671597,UP,True,0.3516997003671597,0.5275198283373822,0.4724801716626178,ABSTAIN,False,False,abstain,gate_abstain
2026-04-11 01:25:00+00:00,5,asia,NO,UP,reversal,0.47344689112452965,ABSTAIN,False,0.026553108875470355,0.8565196804776195,UP,True,0.3565196804776195,0.5185421693196309,0.48145783068036907,ABSTAIN,False,False,abstain,gate_abstain
