abstain_low_conf_count,abstain_low_conf_share,active_count,active_covered_gap_norm_mean,active_covered_gap_norm_median,active_share,alpha,bucket_miss_threshold,clamp_over_pside_count,clamp_over_pside_share,coverage_feasible,coverage_overall,covered_count,covered_feasible_count,covered_gap_norm_mean,covered_gap_norm_median,covered_gap_norm_q25,covered_gap_norm_q75,delta_mode,delta_norm,delta_quantile,feasible_count,feasible_covered_gap_norm_mean,infeasible_count,local_delta_fallback_bucket_count,max_possible_coverage,mean_p_pred,mean_p_side,non_active_share,sample_count,side_violation_count,side_violation_rate
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.0,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.4299614183453658,0.5,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.025,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.4299614183453658,0.5,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.05,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.4299614183453658,0.5,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.075,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.4299614183453658,0.5,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.1,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.4299614183453658,0.5,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.15,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.4299614183453658,0.5,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.2,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.4299614183453658,0.5,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.3,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.4299614183453658,0.5,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
636.0,0.3613636363636364,1122.0,0.34556693593407656,0.3600193975467994,0.6375,0.01,0.5,2.0,0.0011363636363636363,0.735550277117973,0.5278409090909091,929.0,929.0,0.6914513648429769,1.0,0.38312167532689684,1.0,global,0.4299614183453658,0.5,1263.0,0.6914513652078118,497.0,0.0,0.7176136363636364,0.4332563871485979,0.5682228514151557,0.3625,1760.0,0.0,0.0
0.0,0.0,1757.0,0.3495137786331097,0.36576517495338506,0.9982954545454545,0.01,1.0,3.0,0.0017045454545454545,0.5146476642913698,0.3693181818181818,650.0,650.0,0.35151527469885396,0.3704155951476161,0.2034583524321512,0.49608412377256783,global,0.4299614183453658,0.5,1263.0,0.351515275545045,497.0,0.0,0.7176136363636364,0.35867605260965657,0.5682228514151557,0.0017045454545454545,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.0,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.534627110868382,0.6,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.025,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.534627110868382,0.6,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.05,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.534627110868382,0.6,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.075,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.534627110868382,0.6,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.1,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.534627110868382,0.6,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.15,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.534627110868382,0.6,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.2,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.534627110868382,0.6,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1629.0,0.9255681818181818,131.0,0.42035009325991707,0.44781510417301673,0.07443181818181818,0.01,0.3,0.0,0.0,0.9817893903404592,0.7045454545454546,1240.0,1240.0,0.972887343071835,1.0,1.0,1.0,global,0.534627110868382,0.6,1263.0,0.972887343071835,497.0,0.0,0.7176136363636364,0.5564250414354689,0.5682228514151557,0.9255681818181818,1760.0,0.0,0.0
83.0,0.04715909090909091,1674.0,0.40451851605718764,0.4343378828876719,0.9511363636363637,0.01,0.5,3.0,0.0017045454545454545,0.6579572446555819,0.4721590909090909,831.0,831.0,0.4604120849471267,0.46717738727639946,0.27738066703512054,0.6049780978426474,global,0.534627110868382,0.6,1263.0,0.46041208553836943,497.0,0.0,0.7176136363636364,0.40686109685712035,0.5682228514151557,0.048863636363636366,1760.0,0.0,0.0
0.0,0.0,1757.0,0.4024941811328738,0.43301335537983454,0.9982954545454545,0.01,1.0,3.0,0.0017045454545454545,0.6247030878859857,0.44829545454545455,789.0,789.0,0.4040087712947677,0.43363372385066534,0.2530317374089022,0.5710935003810218,global,0.534627110868382,0.6,1263.0,0.40400877209481206,497.0,0.0,0.7176136363636364,0.39796582533692926,0.5682228514151557,0.0017045454545454545,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.0,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.5850498517167296,0.65,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.025,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.5850498517167296,0.65,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.05,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.5850498517167296,0.65,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.075,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.5850498517167296,0.65,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.1,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.5850498517167296,0.65,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.15,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.5850498517167296,0.65,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1760.0,1.0,0.0,nan,nan,0.0,0.01,0.2,0.0,0.0,1.0,0.7176136363636364,1263.0,1263.0,1.0,1.0,1.0,1.0,global,0.5850498517167296,0.65,1263.0,1.0,497.0,0.0,0.7176136363636364,0.5682228514151557,0.5682228514151557,1.0,1760.0,0.0,0.0
1581.0,0.8982954545454546,179.0,0.434584510495433,0.46589174725299287,0.10170454545454545,0.01,0.3,0.0,0.0,0.9778305621536025,0.7017045454545454,1235.0,1235.0,0.9569643271146321,1.0,1.0,1.0,global,0.5850498517167296,0.65,1263.0,0.9569643271411109,497.0,0.0,0.7176136363636364,0.552508816903445,0.5682228514151557,0.8982954545454546,1760.0,0.0,0.0
