base_col,margin,cap_slack,sample_count,coverage,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,p95_violation,p99_violation,max_violation
pred_q70,-0.08,0.0,5184.0,0.40316358024691357,-0.0007726270830495336,-0.032984733881914086,-0.220248369890172,0.29811306065585186,0.5183614305460238,0.230248369890172,0.3030357252755513,0.4488048291811446
pred_q70,-0.08,0.01,5184.0,0.40760030864197533,0.0015104494397189664,-0.030826652877309207,-0.21453983837288165,0.3018556727912425,0.5163955111641241,0.22453983837288163,0.2983462737456577,0.4459929247049223
pred_q70,-0.08,0.02,5184.0,0.4122299382716049,0.003630007195526949,-0.029052075132249153,-0.21143173785408964,0.3031277703780376,0.5145595082321273,0.2214317378540895,0.29443916793265024,0.4459929247049223
pred_q70,-0.08,0.03,5184.0,0.41550925925925924,0.005540070258976551,-0.027798091861186675,-0.20872006372368973,0.3045817744925145,0.5133018382162042,0.21872006372368957,0.2921927569012168,0.4459929247049223
pred_q70,-0.08,0.05,5184.0,0.419945987654321,0.00855044153945364,-0.02529416423587947,-0.20386530556304858,0.3081469622796731,0.5120122678427217,0.21386530556304853,0.2866220843835908,0.4459929247049223
pred_q70,-0.08,0.08,5184.0,0.42573302469135804,0.011089813103710955,-0.02257815020314355,-0.20023581628076428,0.3129139349383867,0.513149751219151,0.21023581628076426,0.2824915317769104,0.4459929247049223
pred_q70,-0.08,0.1,5184.0,0.42746913580246915,0.011875957374654106,-0.021482650870301115,-0.19979386330630478,0.3160159645481523,0.5158098278544571,0.20979386330630476,0.2824915317769104,0.4459929247049223
pred_q70,-0.06,0.0,5184.0,0.4382716049382716,0.014376057888662093,-0.01695317095474258,-0.20839699057211722,0.31312830054107804,0.5215252911131952,0.2183969905721172,0.2899785502947824,0.4488048291811446
pred_q70,-0.06,0.01,5184.0,0.44328703703703703,0.016838335774876312,-0.015613034863954545,-0.203765429466015,0.31603770310258256,0.5198031325685976,0.21376542946601484,0.2881111761273571,0.4388048291811446
pred_q70,-0.06,0.02,5184.0,0.44849537037037035,0.019227372916950463,-0.012984733881914068,-0.200248369890172,0.3181130606558519,0.5183614305460239,0.21024836989017198,0.28303572527555126,0.4288048291811446
pred_q70,-0.06,0.03,5184.0,0.4527391975308642,0.02151044943971896,-0.01082665287730919,-0.19453983837288163,0.3218556727912425,0.5163955111641241,0.20453983837288162,0.2783462737456577,0.4259929247049223
pred_q80,-0.08,0.0,5184.0,0.4567901234567901,0.021907048293172582,-0.008350592591829686,-0.20001253825035192,0.32336768535694144,0.5233802236072933,0.21001253825035188,0.2858979862799069,0.4488048291811446
pred_q80,-0.08,0.01,5184.0,0.4618055555555556,0.024432096934213093,-0.0062014191148642706,-0.1966091198873083,0.3263619615796868,0.5229710814669951,0.2066091198873083,0.281434367678944,0.4388048291811446
pred_q70,-0.06,0.05,5184.0,0.45891203703703703,0.025540070258976547,-0.007798091861186712,-0.18872006372368977,0.3245817744925145,0.5133018382162042,0.1987200637236896,0.27219275690121686,0.4259929247049223
pred_q80,-0.08,0.02,5184.0,0.4672067901234568,0.026906971902799563,-0.004586496888703828,-0.19237106277439198,0.32874241735357346,0.5211134801279654,0.20237106277439185,0.27699443176492977,0.43402914121050395
pred_q80,-0.08,0.03,5184.0,0.4714506172839506,0.02930276839362034,-0.0023517804450882973,-0.18775823649502016,0.33033210732357077,0.5180903438185909,0.19775823649502006,0.2727793238303302,0.43402914121050395
pred_q70,-0.04,0.0,5184.0,0.47492283950617287,0.02930544932164497,-0.00042248096356403697,-0.19679107863809991,0.3282669570152534,0.5250580356533533,0.20679107863809962,0.2819998976965904,0.4488048291811446
pred_q70,-0.06,0.08,5184.0,0.4672067901234568,0.029625698789258786,-0.003720704975634148,-0.18279076925234858,0.32947465846651636,0.512265427718865,0.19279076925234853,0.26455787025136673,0.4259929247049223
pred_q70,-0.06,0.1,5184.0,0.4714506172839506,0.031089813103710947,-0.002578150203143531,-0.18023581628076438,0.3329139349383867,0.5131497512191511,0.19023581628076433,0.26249153177691037,0.4259929247049223
pred_q70,-0.04,0.01,5184.0,0.4799382716049383,0.03185730994084489,0.001748862759073877,-0.19163733848873682,0.33117237496419694,0.5228097134529337,0.2016373384887365,0.27364848312508344,0.4388048291811446
pred_q80,-0.08,0.05,5184.0,0.4783950617283951,0.033664541768661106,0.0016969220198272683,-0.17991951588670752,0.3368598068874869,0.5167793227741944,0.1899195158867075,0.26580034273346453,0.43402914121050395
pred_q70,-0.04,0.02,5184.0,0.4853395061728395,0.03437605788866209,0.0030468290452573266,-0.1883969905721172,0.333128300541078,0.5215252911131952,0.19839699057211718,0.2699785502947824,0.4288048291811446
pred_q80,-0.06,0.0,5184.0,0.4940200617283951,0.0367563547673824,0.007281874819794185,-0.1915190624494557,0.33580764500207305,0.5273267074515288,0.20151906244945572,0.2812297352967888,0.4488048291811446
pred_q70,-0.04,0.03,5184.0,0.48977623456790126,0.0368383357748763,0.004386965136045418,-0.18376542946601498,0.3360377031025825,0.5198031325685974,0.19376542946601483,0.2681111761273571,0.4188048291811446
pred_q80,-0.08,0.08,5184.0,0.48823302469135804,0.03853506457915321,0.005859033306838457,-0.17305906400943835,0.34058356518576965,0.513642629195208,0.18305906400943828,0.25555070130429225,0.43402914121050395
pred_q80,-0.06,0.01,5184.0,0.4992283950617284,0.03934807575812959,0.009581595805606177,-0.18474603986923585,0.33982577896589783,0.5245718188351337,0.1947460398692358,0.2719998976965904,0.4388048291811446
pred_q80,-0.08,0.1,5184.0,0.49286265432098764,0.04039457282751955,0.00789824186233029,-0.1713920555105088,0.3442457026318537,0.5156377581423626,0.1813920555105087,0.2519205952164348,0.43402914121050395
pred_q70,-0.04,0.05,5184.0,0.4982638888888889,0.04151044943971895,0.0091733471226908,-0.17453983837288164,0.3418556727912425,0.5163955111641242,0.18453983837288165,0.2583462737456577,0.40599292470492226
pred_q80,-0.06,0.02,5184.0,0.5046296296296297,0.041907048293172586,0.011649407408170276,-0.1800125382503519,0.34336768535694145,0.5233802236072933,0.19001253825035186,0.2658979862799069,0.4288048291811446
pred_q70,-0.02,0.0,5184.0,0.5125385802469136,0.0440820083766103,0.016142568984059746,-0.18992614441324399,0.342257512599203,0.532183657012447,0.19992614441324397,0.27896168017057205,0.4488048291811446
pred_q80,-0.06,0.03,5184.0,0.5090663580246914,0.044432096934213086,0.013798580885135747,-0.1766091198873083,0.3463619615796867,0.522971081466995,0.18660911988730827,0.26143436767894396,0.4188048291811446
pred_q70,-0.02,0.01,5184.0,0.517554012345679,0.0467203828623376,0.018185619387677654,-0.1824868793686099,0.3430688550373425,0.5255557344059525,0.19248687936860984,0.26995807897454227,0.4388048291811446
pred_q70,-0.04,0.08,5184.0,0.5111882716049383,0.047196936307457894,0.013673926808000947,-0.16608323729882962,0.34693078334598704,0.5130140206448166,0.17608323729882946,0.24849234693599126,0.40599292470492226
