slice,false_positive_count,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
trend_following,99,4825.0,0.9374093264248705,0.9762376237623762,0.9804804804804805,0.9783590521214284,0.9566839378238342,0.9781118726508954,0.8963730569948186,0.14324152580528435,6.257773728362158,0.5582577934998895,0.44174220650011053,0.515,0.45,4523.0,2525.0,1998.0,0.9916723975159583,0.10442597013155397,0.3706665429192355
post_first_minute_reversal,2220,2643.0,0.8910329171396141,0.055597867479055596,0.05950095969289827,0.057549413585976934,0.08777903897086645,0.05732484076433121,-0.7888762769580023,0.9164903693159073,-0.8607578468575076,0.5575371549893843,0.4424628450106157,0.515,0.45,2355.0,1313.0,1042.0,0.0325274198988972,0.4276800893691189,1.0948816470795208
