feature,gain,split
prev_bar_taker_buy_ratio_lag12,17.179294274598174,0.0
sl_mirror_volume_z_30s,17.09221805839737,0.0
hour_cos,16.675524632139794,0.0
context_ret_product__wick_pressure_1__ret_10,16.618044264663986,0.0
wick_pressure_1_lag3,16.547449420193953,0.0
wick_pressure_1_rolling_z_6,16.482381343082398,0.0
sl_signed_dollar_flow_z_5s,16.391494477070474,0.0
volume_z_term_spread__volume_z_5__volume_z_10,16.35831079032885,0.0
micro_rv_5s,16.354588266073453,0.0
compression_score_mean_gap_12,16.218348965593066,0.0
volume_z_5_lag6,16.16982960911799,0.0
rv_30_rolling_z_6,16.159079882326598,0.0
sl_return_10s_lag30s,16.045635803939632,0.0
sl_agg_median_trade_size_1s,15.89394394066453,0.0
sl_agg_p95_trade_size_3s,15.838601958698165,0.0
sl_mirror_relative_volume_30s_lag60s,15.806192939845143,0.0
sl_agg_last_10_trades_sell_share,15.800826320250135,0.0
wick_pressure_1_rolling_z_12,15.761664270671327,0.0
context_ret_product__wick_pressure_1__ret_15,15.61479164540869,0.0
rv_5_rolling_z_6,15.486015403695644,0.0
ret_close_z_product__ret_1__close_z_3,15.38346105429181,0.0
context_ret_product__wick_pressure_1__ret_3,15.364911454552942,0.0
sl_return_1s,15.172606566358292,0.0
sl_agg_sell_trade_cluster_score_3s,14.932917750957497,0.0
sl_signed_dollar_flow_z_10s,14.839119638769692,0.0
abs_ret_mean_20_delta_1,14.826200309026799,0.0
sl_mirror_signed_quote_volume_1s,14.715328796871095,0.0
compression_score_delta_3,14.688361730465603,0.0
ret_15_rolling_z_12,14.685922292931098,0.0
realized_skew_10,14.65092740234793,0.0
fm_taker_imbalance_lag60s,14.602972702894737,0.0
sl_taker_sell_count_10s,14.59468006683557,0.0
volume_below_rolling_p20_share_20_mean_gap_24,14.55715232154553,0.0
wick_pressure_1_lag6,14.372247576709212,0.0
sl_agg_p90_trade_size_3s,14.338933812673018,0.0
wick_pressure_1_mean_gap_12,14.310702143115394,0.0
volume_below_rolling_p20_share_20_rolling_z_6,14.305274303855258,0.0
