decision_mode,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
first_minute_relative,0.5,0.02,7468.0,0.7455811462238886,0.6773983739837398,0.6754913758523867,0.6764448749180633,0.6170326727370112,0.6765445402298851,0.5522629310344828,0.44773706896551724,0.5,0.02,5568.0,3075.0,2493.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.26325656132833425,0.4910827755559924,0.5360737016896618,3075.0,2493.0,5568.0,0.7455811462238886,0.6765445402298851,4825.0,0.780518134715026,1.0,3766.0,2643.0,0.6818009837306092,0.0005549389567147614,1802.0
first_minute_relative,0.5,0.05,7468.0,0.7477236207820032,0.676938047356471,0.6753298680527788,0.6761339577046249,0.6170326727370112,0.6762177650429799,0.5521131805157593,0.4478868194842407,0.5,0.05,5584.0,3083.0,2501.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2635243706480985,0.4920362030043646,0.5355792298189102,3083.0,2501.0,5584.0,0.7477236207820032,0.6762177650429799,4825.0,0.7819689119170985,0.9981447124304267,3773.0,2643.0,0.6852062050699962,0.005521811154058531,1811.0
first_minute_relative,0.5,0.08,7468.0,0.7540171397964649,0.6762242268041238,0.6731301939058172,0.6746772103549705,0.6170326727370112,0.6748357307760611,0.5512342390339193,0.4487657609660806,0.5,0.08,5631.0,3104.0,2527.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2636582753079807,0.4951559675942946,0.5324752049116144,3104.0,2527.0,5631.0,0.7540171397964649,0.6748357307760611,4825.0,0.7867357512953368,0.9920969441517387,3796.0,2643.0,0.6942867953083617,0.018528610354223433,1835.0
first_minute_relative,0.5,0.1,7468.0,0.759775040171398,0.6753039027511196,0.6718995290423861,0.6736017158967529,0.6170326727370112,0.6737751145576313,0.5509340853013747,0.44906591469862533,0.5,0.1,5674.0,3126.0,2548.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2640599892876272,0.497852915469906,0.5303975955195325,3126.0,2548.0,5674.0,0.759775040171398,0.6737751145576313,4825.0,0.790880829015544,0.9868972746331237,3816.0,2643.0,0.7029890276201286,0.030678148546824543,1858.0
first_minute_relative,0.5,0.12,7468.0,0.7668719871451527,0.6731135066582118,0.6708122813835989,0.6719628940209054,0.6170326727370112,0.6720796228391828,0.5507246376811594,0.4492753623188406,0.5,0.12,5727.0,3154.0,2573.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.263926084627745,0.5014707880412416,0.5263040059793859,3154.0,2573.0,5727.0,0.7668719871451527,0.6720796228391828,4825.0,0.7964766839378238,0.9799635701275046,3843.0,2643.0,0.7128263337116912,0.0440552016985138,1884.0
first_minute_relative,0.5,0.15,7468.0,0.7799946438136047,0.6692716473898093,0.6675552170601675,0.6684134322249884,0.6170326727370112,0.6684978540772533,0.5491845493562232,0.4508154506437768,0.5,0.15,5825.0,3199.0,2626.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2628548473486878,0.5084976875389489,0.5169243711232299,3199.0,2626.0,5825.0,0.7799946438136047,0.6684978540772533,4825.0,0.807461139896373,0.9666324435318275,3896.0,2643.0,0.7298524404086265,0.06635562467599793,1929.0
first_minute_relative,0.5,0.18,7468.0,0.7933851098018211,0.6674869270993541,0.6645474943904264,0.6660172107448903,0.6170326727370112,0.6661603375527426,0.5486919831223629,0.4513080168776371,0.5,0.18,5925.0,3251.0,2674.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2636582753079807,0.5146488290542592,0.5123071508634158,3251.0,2674.0,5925.0,0.7933851098018211,0.6661603375527426,4825.0,0.8172020725388601,0.9551103220897793,3943.0,2643.0,0.7499054105183504,0.09132189707366296,1982.0
first_minute_relative,0.5,0.2,7468.0,0.8028923406534547,0.6650441131731062,0.6622369878183831,0.6636405504957447,0.6170326727370112,0.6637758505670447,0.5481987991994663,0.4518012008005337,0.5,0.2,5996.0,3287.0,2709.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.26298875200856986,0.5195688542651902,0.5061672766750165,3287.0,2709.0,5996.0,0.8028923406534547,0.6637758505670447,4825.0,0.8250777202072539,0.9459934689776438,3981.0,2643.0,0.7623912220961029,0.10620347394540942,2015.0
first_minute_relative,0.5,0.22,7468.0,0.812131762185324,0.6617469879518072,0.6612021857923497,0.6614745868720784,0.6170326727370112,0.6615004122011542,0.5474031327287716,0.4525968672712284,0.5,0.22,6065.0,3320.0,2745.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2623192287091591,0.5243150453096711,0.5003084139121509,3320.0,2745.0,6065.0,0.812131762185324,0.6615004122011542,4825.0,0.8327461139896373,0.9372822299651568,4018.0,2643.0,0.774498675747257,0.12017586712261846,2047.0
first_minute_relative,0.5,0.25,7468.0,0.8275307980717729,0.6570835803200948,0.6550249465431219,0.6560542634316084,0.6170326727370112,0.6561488673139159,0.5459546925566343,0.4540453074433657,0.5,0.25,6180.0,3374.0,2806.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.25843599357257635,0.5334298475428595,0.4844798144742206,3374.0,2806.0,6180.0,0.8275307980717729,0.6561488673139159,4825.0,0.8476683937823835,0.9207823960880196,4090.0,2643.0,0.7907680665909951,0.1382775119617225,2090.0
