prediction_candidate,min_ev,bid_offset_steps,min_q,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,trade_count,order_count,order_coverage,fill_rate,correct_count,correct_fill_rate,wrong_fill_forced,wrong_fill_printed,sum_pnl,mean_accepted_pnl,mean_pnl_filled,win_pnl_sum,loss_pnl_sum,mean_bid,median_bid,mean_expected_ev,negative_expected_ev_share,mean_model_fill_prob,realized_correct_fill_rate_submitted,submitted_fill_calibration_gap
lightgbm,-0.05,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,920.0,1137.0,0.9154589371980676,0.7407407407407407,911.0,0.7135016465422612,1.0,0.9703703703703703,100.65,0.08103864734299518,0.10940217391304347,240.45,-139.8,0.5374396135265701,0.6,0.08091303427431785,0.2028985507246377,0.7917143105544292,0.7497116493656286,0.04200266118880058
lightgbm,-0.045,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,918.0,1134.0,0.9130434782608695,0.7391304347826086,911.0,0.7113062568605928,1.0,0.9703703703703703,99.85,0.08039452495974235,0.10876906318082788,239.65000000000003,-139.8,0.5361916264090177,0.6,0.08091303427431785,0.2028985507246377,0.7930776614906837,0.75,0.043077661490683705
lightgbm,-0.04,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,915.0,1128.0,0.9082125603864735,0.7367149758454107,911.0,0.70801317233809,1.0,0.9703703703703703,98.5,0.07930756843800323,0.10765027322404372,238.3,-139.8,0.5338566827697262,0.6,0.08091303427431785,0.2028985507246377,0.7947734853750282,0.7517482517482518,0.04302523362677646
lightgbm,-0.035,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,912.0,1125.0,0.9057971014492754,0.7342995169082126,911.0,0.70801317233809,1.0,0.9700374531835206,100.29999999999998,0.08075684380032205,0.10997807017543858,238.3,-138.0,0.5324074074074074,0.6,0.08091303427431785,0.2028985507246377,0.7947734853750282,0.7517482517482518,0.04302523362677646
lightgbm,-0.03,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,904.0,1112.0,0.895330112721417,0.7278582930756844,911.0,0.7058177826564215,1.0,0.9693486590038314,101.35,0.08160225442834138,0.11211283185840708,236.95,-135.6,0.5281803542673108,0.6,0.08091303427431785,0.2028985507246377,0.7983697699897744,0.7555816686251469,0.04278810136462752
lightgbm,-0.025,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,898.0,1100.0,0.8856682769726248,0.7230273752012882,911.0,0.703622392974753,1.0,0.9688715953307393,101.75,0.0819243156199678,0.11330734966592428,235.55,-133.8,0.5247181964573269,0.6,0.08091303427431785,0.2028985507246377,0.8031874110175473,0.7603795966785291,0.04280781433901826
lightgbm,-0.02,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,871.0,1065.0,0.857487922705314,0.7012882447665056,911.0,0.686059275521405,1.0,0.967479674796748,102.5,0.08252818035426732,0.11768082663605053,229.5,-127.0,0.5079710144927536,0.6,0.08091303427431785,0.2028985507246377,0.8069236730673981,0.7631257631257631,0.043797909941635016
lightgbm,-0.015,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,849.0,1041.0,0.8381642512077294,0.6835748792270532,911.0,0.6684961580680571,1.0,0.9666666666666667,100.35,0.08079710144927536,0.11819787985865723,223.5,-123.14999999999999,0.49577294685990336,0.6,0.08091303427431785,0.2028985507246377,0.8063273595450773,0.7602996254681648,0.04602773407691252
lightgbm,-0.01,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,839.0,1030.0,0.8293075684380032,0.6755233494363929,911.0,0.6619099890230515,1.0,0.9661016949152542,100.44999999999999,0.08087761674718195,0.1197258641239571,221.05,-120.6,0.490378421900161,0.6,0.08091303427431785,0.2028985507246377,0.8063993610774238,0.7594458438287154,0.04695351724870844
lightgbm,-0.005,0.0,0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,822.0,1009.0,0.8123993558776168,0.6618357487922706,911.0,0.6520307354555434,1.0,0.9649122807017544,99.44999999999999,0.08007246376811593,0.120985401459854,216.35,-116.89999999999999,0.48236714975845413,0.6,0.08091303427431785,0.2028985507246377,0.8112952966938144,0.7605633802816901,0.05073191641212427
