continuation_t_up,continuation_t_down,reversal_t_up,reversal_t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.48,0.4,0.5,0.35,7468.0,0.960765934654526,0.6025592773805043,0.7125201504567437,0.657539713918624,0.6501071237279057,0.6310801393728223,0.7406271777003485,0.2593728222996516,0.48,0.4,7175.0,5314.0,1861.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2518746652383502,0.5953533696117692,0.4230675059462552,5314.0,1861.0,7175.0,0.960765934654526,0.6310801393728223,4825.0,0.9682901554404145,0.8351883561643836,4672.0,2643.0,0.9470298902762013,0.2500998801438274,2503.0
0.48,0.4,0.5,0.375,7468.0,0.9621049812533476,0.6025592773805043,0.7113842864778194,0.6569717819291618,0.6501071237279057,0.6308977035490605,0.7395963813500348,0.2604036186499652,0.48,0.4,7185.0,5314.0,1871.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2518746652383502,0.5959153950079648,0.4226684984954681,5314.0,1871.0,7185.0,0.9621049812533476,0.6308977035490605,4825.0,0.9693264248704663,0.8342954885610434,4677.0,2643.0,0.9489216799091941,0.2515948963317384,2508.0
0.48,0.4,0.5,0.4,7468.0,0.9667916443492234,0.6025592773805043,0.7103882476390346,0.6564737625097694,0.6501071237279057,0.6310249307479224,0.7360110803324099,0.26398891966759,0.48,0.4,7220.0,5314.0,1906.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25334761649705406,0.5972620981831047,0.42418164030121397,5314.0,1906.0,7220.0,0.9667916443492234,0.6310249307479224,4825.0,0.9718134715025907,0.8321603753465557,4689.0,2643.0,0.957623912220961,0.2583958909521928,2531.0
0.48,0.4,0.5,0.425,7468.0,0.9713444027852169,0.6025592773805043,0.709278350515464,0.6559188139479841,0.6501071237279057,0.6311000827129859,0.7325613454645713,0.26743865453542875,0.48,0.4,7254.0,5314.0,1940.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2546866630958757,0.5986057716433,0.42546643410521534,5314.0,1940.0,7254.0,0.9713444027852169,0.6311000827129859,4825.0,0.9743005181347151,0.830036162518613,4701.0,2643.0,0.9659477866061293,0.2647865256560909,2553.0
0.48,0.4,0.5,0.45,7468.0,0.975495447241564,0.6025592773805043,0.7062404870624048,0.6543998822214545,0.6501071237279057,0.6306108442004118,0.7294440631434455,0.27055593685655455,0.48,0.4,7285.0,5314.0,1971.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2548205677557579,0.6002811339221841,0.4245020430523657,5314.0,1971.0,7285.0,0.975495447241564,0.6306108442004118,4825.0,0.9774093264248704,0.8273960983884648,4716.0,2643.0,0.9720015134317064,0.2693655118723239,2569.0
0.48,0.4,0.5,0.475,7468.0,0.97710230316015,0.6025592773805043,0.7044881492687847,0.6535237133246445,0.6501071237279057,0.6302590105522817,0.7282444840345348,0.27175551596546527,0.48,0.4,7297.0,5314.0,1983.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2545527584359935,0.6010613715437703,0.42350543636201143,5314.0,1983.0,7297.0,0.97710230316015,0.6302590105522817,4825.0,0.978860103626943,0.8261698073258522,4723.0,2643.0,0.9738933030646992,0.2707847707847708,2574.0
0.48,0.4,0.5,0.5,7468.0,0.9775040171397965,0.6025592773805043,0.7044310171198389,0.6534951472501715,0.6501071237279057,0.6302739726027398,0.7279452054794521,0.2720547945205479,0.48,0.4,7300.0,5314.0,1986.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25468666309587584,0.6011727513967681,0.42364971217363967,5314.0,1986.0,7300.0,0.9775040171397965,0.6302739726027398,4825.0,0.9790673575129534,0.8259949195596952,4724.0,2643.0,0.9746500189178964,0.2713509316770186,2576.0
0.48,0.4,0.525,0.35,7468.0,0.8980985538296733,0.6223689640940983,0.7125201504567437,0.667444557275421,0.6501071237279057,0.6473833308483674,0.7225287013567914,0.2774712986432086,0.48,0.4,6707.0,4846.0,1861.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2647295125870381,0.5627472973025438,0.4704234278085113,4846.0,1861.0,6707.0,0.8980985538296733,0.6473833308483674,4825.0,0.9098445595854923,0.8888382687927107,4390.0,2643.0,0.8766553159288687,0.18990073370738023,2317.0
0.48,0.4,0.525,0.375,7468.0,0.899437600428495,0.6223689640940983,0.7113842864778194,0.6668766252859588,0.6501071237279057,0.6471639124609201,0.7214530296263213,0.2785469703736787,0.48,0.4,6717.0,4846.0,1871.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2647295125870381,0.5633418535141237,0.4699269385643135,4846.0,1871.0,6717.0,0.899437600428495,0.6471639124609201,4825.0,0.910880829015544,0.8878270762229806,4395.0,2643.0,0.8785471055618616,0.1916451335055986,2322.0
0.48,0.4,0.525,0.4,7468.0,0.9041242635243707,0.6223689640940983,0.7103882476390346,0.6663786058665664,0.6501071237279057,0.6472156398104265,0.7177132701421801,0.2822867298578199,0.48,0.4,6752.0,4846.0,1906.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2662024638457418,0.5647662346841519,0.47134982139046744,4846.0,1906.0,6752.0,0.9041242635243707,0.6472156398104265,4825.0,0.9133678756476684,0.8854095756750624,4407.0,2643.0,0.8872493378736285,0.1995735607675906,2345.0
