continuation_t_up,continuation_t_down,reversal_t_up,reversal_t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.48,0.4,0.5,0.35,7468.0,0.9925013390465989,0.5962415617588032,0.709476954945624,0.6528592583522136,0.6501071237279057,0.6257420399352401,0.7394765245547761,0.260523475445224,0.48,0.4,7412.0,5481.0,1931.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2495982860203535,0.6094682325709213,0.40953452974484406,5481.0,1931.0,7412.0,0.9925013390465989,0.6257420399352401,4825.0,0.9946113989637305,0.8130860595957491,4799.0,2643.0,0.9886492622020431,0.28166858017604285,2613.0
0.48,0.4,0.5,0.375,7468.0,0.9973219068023568,0.5962415617588032,0.70665988815455,0.6514507249566766,0.6501071237279057,0.6254027926960258,0.7359022556390977,0.2640977443609023,0.48,0.4,7448.0,5481.0,1967.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2501339046598823,0.6112233643041121,0.409234854666696,5481.0,1967.0,7448.0,0.9973219068023568,0.6254027926960258,4825.0,0.9979274611398964,0.8103842159916926,4815.0,2643.0,0.9962164207340144,0.28712495252563613,2633.0
0.48,0.4,0.5,0.4,7468.0,0.9993304767005892,0.5962415617588032,0.7048435923309788,0.6505425770448909,0.6501071237279057,0.6250837464826478,0.7344231542275225,0.26557684577247753,0.48,0.4,7463.0,5481.0,1982.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25000000000000006,0.6120990429254849,0.4084306337176128,5481.0,1982.0,7463.0,0.9993304767005892,0.6250837464826478,4825.0,0.9995854922279793,0.8090400165871864,4823.0,2643.0,0.9988649262202043,0.2890151515151515,2640.0
0.48,0.4,0.5,0.425,7468.0,0.9998660953401178,0.5962415617588032,0.7044310171198389,0.650336289439321,0.6501071237279057,0.6250167403240927,0.7340297308155886,0.2659702691844114,0.48,0.4,7467.0,5481.0,1986.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25000000000000006,0.6123177669070683,0.4082847395769632,5481.0,1986.0,7467.0,0.9998660953401178,0.6250167403240927,4825.0,1.0,0.8087046632124353,4825.0,2643.0,0.9996216420734014,0.289553368660106,2642.0
0.48,0.4,0.5,0.45,7468.0,0.9998660953401178,0.5962415617588032,0.7044310171198389,0.650336289439321,0.6501071237279057,0.6250167403240927,0.7340297308155886,0.2659702691844114,0.48,0.4,7467.0,5481.0,1986.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25000000000000006,0.6123177669070683,0.4082847395769632,5481.0,1986.0,7467.0,0.9998660953401178,0.6250167403240927,4825.0,1.0,0.8087046632124353,4825.0,2643.0,0.9996216420734014,0.289553368660106,2642.0
0.48,0.4,0.5,0.475,7468.0,0.9998660953401178,0.5962415617588032,0.7044310171198389,0.650336289439321,0.6501071237279057,0.6250167403240927,0.7340297308155886,0.2659702691844114,0.48,0.4,7467.0,5481.0,1986.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25000000000000006,0.6123177669070683,0.4082847395769632,5481.0,1986.0,7467.0,0.9998660953401178,0.6250167403240927,4825.0,1.0,0.8087046632124353,4825.0,2643.0,0.9996216420734014,0.289553368660106,2642.0
0.48,0.4,0.5,0.5,7468.0,0.9998660953401178,0.5962415617588032,0.7044310171198389,0.650336289439321,0.6501071237279057,0.6250167403240927,0.7340297308155886,0.2659702691844114,0.48,0.4,7467.0,5481.0,1986.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25000000000000006,0.6123177669070683,0.4082847395769632,5481.0,1986.0,7467.0,0.9998660953401178,0.6250167403240927,4825.0,1.0,0.8087046632124353,4825.0,2643.0,0.9996216420734014,0.289553368660106,2642.0
0.48,0.4,0.525,0.35,7468.0,0.9915640064274237,0.5962732919254659,0.709476954945624,0.652875123435545,0.6501071237279057,0.6257933828494261,0.7392302498311951,0.2607697501688049,0.48,0.4,7405.0,5474.0,1931.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.24946438136047142,0.6091385823714306,0.4095363330775805,5474.0,1931.0,7405.0,0.9915640064274237,0.6257933828494261,4825.0,0.9939896373056994,0.8135946622185154,4796.0,2643.0,0.9871358304956489,0.28056726715216557,2609.0
0.48,0.4,0.525,0.375,7468.0,0.9963845741831816,0.5962732919254659,0.70665988815455,0.651466590040008,0.6501071237279057,0.6254535680688079,0.735653809971778,0.264346190028222,0.48,0.4,7441.0,5474.0,1967.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.24999999999999994,0.6108946612073074,0.40923585664658857,5474.0,1967.0,7441.0,0.9963845741831816,0.6254535680688079,4825.0,0.9973056994818653,0.8108894430590191,4812.0,2643.0,0.9947029890276201,0.28604031951312286,2629.0
0.48,0.4,0.525,0.4,7468.0,0.998393144081414,0.5962732919254659,0.7048435923309788,0.6505584421282223,0.6501071237279057,0.6251341201716738,0.7341738197424893,0.2658261802575107,0.48,0.4,7456.0,5474.0,1982.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.24986609534011778,0.6117708103290382,0.4084308880407818,5474.0,1982.0,7456.0,0.998393144081414,0.6251341201716738,4825.0,0.9989637305699481,0.8095435684647303,4820.0,2643.0,0.9973514945138101,0.2879362670713202,2636.0
