value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,4,1.0,0.0,0.4450642466545105,0.435663104057312,0.26523005962371826,0.0,0.0,0.0,0.0
0.10_0.20,128,0.828125,0.171875,0.1105915829539299,0.11101628094911575,-0.565140962600708,0.5751409530639648,0.038388364017009666,0.1005233004689216,0.24715350076556206
0.20_0.30,764,0.7238219895287958,0.2761780104712042,0.10194326192140579,0.09127872437238693,-0.716178297996521,0.7261782884597778,0.07442750036716468,0.11111528500914586,0.2577842290699485
0.30_0.40,1998,0.6346346346346347,0.36536536536536535,0.08947634696960449,0.05067163705825806,-0.3463110625743866,0.35631105303764343,0.07801203429698943,0.1077705636620521,0.18689156636595722
0.40_0.50,3077,0.6252843678908028,0.3747156321091973,0.0839611068367958,0.04830414056777954,-0.5175073146820068,0.5275073051452637,0.08682453632354738,0.11965670585632311,0.20509407758712705
0.50_0.55,1518,0.6337285902503293,0.3662714097496706,0.08594834804534912,0.054091498255729675,-0.3341231048107147,0.34412309527397156,0.08664045333862304,0.11790992021560667,0.18908947944641102
0.55_0.60,1521,0.6245890861275477,0.37541091387245235,0.08183606714010239,0.051776349544525146,-0.6496301889419556,0.6596301794052124,0.08706361055374146,0.12439686059951782,0.21039134263992307
0.60_0.65,1407,0.6197583511016347,0.3802416488983653,0.07885736972093582,0.04334914684295654,-0.47251632809638977,0.4825163185596466,0.08231220245361331,0.11365396380424501,0.17616171121597293
0.65_0.70,1360,0.6183823529411765,0.3816176470588235,0.08010859787464142,0.04012036323547363,-0.4960785508155823,0.5060785412788391,0.07877460420131685,0.10823990404605865,0.17571140378713618
0.70_0.80,2296,0.6136759581881533,0.3863240418118467,0.08407600969076157,0.0447210818529129,-0.5160143375396729,0.5260143280029297,0.08311039209365845,0.10736609250307083,0.18421265184879385
0.80_0.90,1231,0.5580828594638505,0.44191714053614944,0.07372557371854782,0.024595677852630615,-0.20182907581329346,0.2118290662765503,0.082364022731781,0.1038445234298706,0.14292798936367038
0.90_1.00,353,0.45892351274787535,0.5410764872521246,0.04644186422228813,0.0008208751678466797,-0.14309191703796387,0.1530919075012207,0.09145282506942749,0.10539754629135131,0.13113217592239382
