t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,constraint_satisfied,objective,hard_constraint
0.5,0.05,7442.0,0.5440741736092448,0.5598913311928871,0.0,0.27994566559644357,0.5491803278688525,0.5598913311928871,1.0,0.0,0.5,0.05,4049.0,4049.0,0.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06517065305025532,0.4893380838229278,0.13318124054664426,4049.0,0.0,4049.0,0.5440741736092448,0.5598913311928871,4807.0,0.5471187851050552,0.6098859315589353,2630.0,2635.0,0.5385199240986718,0.46723044397463004,1419.0,,,
0.5,0.07,7442.0,0.5440741736092448,0.5598913311928871,0.0,0.27994566559644357,0.5491803278688525,0.5598913311928871,1.0,0.0,0.5,0.07,4049.0,4049.0,0.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06517065305025532,0.4893380838229278,0.13318124054664426,4049.0,0.0,4049.0,0.5440741736092448,0.5598913311928871,4807.0,0.5471187851050552,0.6098859315589353,2630.0,2635.0,0.5385199240986718,0.46723044397463004,1419.0,,,
0.5,0.09,7442.0,0.5440741736092448,0.5598913311928871,0.0,0.27994566559644357,0.5491803278688525,0.5598913311928871,1.0,0.0,0.5,0.09,4049.0,4049.0,0.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06517065305025532,0.4893380838229278,0.13318124054664426,4049.0,0.0,4049.0,0.5440741736092448,0.5598913311928871,4807.0,0.5471187851050552,0.6098859315589353,2630.0,2635.0,0.5385199240986718,0.46723044397463004,1419.0,,,
0.5,0.11,7442.0,0.5440741736092448,0.5598913311928871,0.0,0.27994566559644357,0.5491803278688525,0.5598913311928871,1.0,0.0,0.5,0.11,4049.0,4049.0,0.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06517065305025532,0.4893380838229278,0.13318124054664426,4049.0,0.0,4049.0,0.5440741736092448,0.5598913311928871,4807.0,0.5471187851050552,0.6098859315589353,2630.0,2635.0,0.5385199240986718,0.46723044397463004,1419.0,,,
0.5,0.13,7442.0,0.5440741736092448,0.5598913311928871,0.0,0.27994566559644357,0.5491803278688525,0.5598913311928871,1.0,0.0,0.5,0.13,4049.0,4049.0,0.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06517065305025532,0.4893380838229278,0.13318124054664426,4049.0,0.0,4049.0,0.5440741736092448,0.5598913311928871,4807.0,0.5471187851050552,0.6098859315589353,2630.0,2635.0,0.5385199240986718,0.46723044397463004,1419.0,,,
0.5,0.15,7442.0,0.5442085460897608,0.5598913311928871,1.0,0.7799456655964436,0.5491803278688525,0.56,0.9997530864197531,0.0002469135802469136,0.5,0.15,4050.0,4049.0,1.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06530502553077135,0.4893380838229278,0.1334558410426168,4049.0,1.0,4050.0,0.5442085460897608,0.56,4807.0,0.5473268150613688,0.6100342075256556,2631.0,2635.0,0.5385199240986718,0.46723044397463004,1419.0,,,
0.5,0.17,7442.0,0.5442085460897608,0.5598913311928871,1.0,0.7799456655964436,0.5491803278688525,0.56,0.9997530864197531,0.0002469135802469136,0.5,0.17,4050.0,4049.0,1.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06530502553077135,0.4893380838229278,0.1334558410426168,4049.0,1.0,4050.0,0.5442085460897608,0.56,4807.0,0.5473268150613688,0.6100342075256556,2631.0,2635.0,0.5385199240986718,0.46723044397463004,1419.0,,,
0.5,0.19,7442.0,0.5443429185702768,0.5598913311928871,1.0,0.7799456655964436,0.5491803278688525,0.5601086151567514,0.999506294742039,0.0004937052579609973,0.5,0.19,4051.0,4049.0,2.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06543939801128723,0.48933808382292787,0.133730441538589,4049.0,2.0,4051.0,0.5443429185702768,0.5601086151567514,4807.0,0.5473268150613688,0.6100342075256556,2631.0,2635.0,0.538899430740038,0.4676056338028169,1420.0,,,
0.5,0.21,7442.0,0.5444772910507928,0.5598913311928871,1.0,0.7799456655964436,0.5491803278688525,0.5602171767028628,0.9992596248766041,0.0007403751233958539,0.5,0.21,4052.0,4049.0,3.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06557377049180324,0.48933808382292787,0.1340050420345615,4049.0,3.0,4052.0,0.5444772910507928,0.5602171767028628,4807.0,0.5475348450176826,0.6101823708206687,2632.0,2635.0,0.538899430740038,0.4676056338028169,1420.0,,,
0.5,0.23,7442.0,0.5446116635313087,0.5598913311928871,1.0,0.7799456655964436,0.5491803278688525,0.5603256846780162,0.999013076733284,0.0009869232667160128,0.5,0.23,4053.0,4049.0,4.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06570814297231922,0.48933808382292787,0.13427964253053398,4049.0,4.0,4053.0,0.5446116635313087,0.5603256846780162,4807.0,0.5477428749739962,0.610330421572351,2633.0,2635.0,0.538899430740038,0.4676056338028169,1420.0,,,
