prediction_candidate,min_ev,bid_offset_steps,min_q,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,trade_count,order_count,order_coverage,fill_rate,correct_count,correct_fill_rate,wrong_fill_forced,wrong_fill_printed,sum_pnl,mean_accepted_pnl,mean_pnl_filled,win_pnl_sum,loss_pnl_sum,mean_bid,median_bid,mean_expected_ev,negative_expected_ev_share,mean_model_fill_prob,realized_correct_fill_rate_submitted,submitted_fill_calibration_gap
xgboost,-0.25,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
xgboost,-0.245,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
xgboost,-0.24,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
xgboost,-0.235,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
xgboost,-0.23,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
xgboost,-0.225,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
xgboost,-0.22,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
xgboost,-0.215,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
xgboost,-0.21,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
xgboost,-0.205,-4.0,0.0,606.0,1.0,0.7375415282392026,0.6754098360655738,0.7064756821523882,0.7062706270627063,0.7062706270627063,0.4966996699669967,0.5033003300330033,0.5840346534653467,0.4413118811881187,606.0,301.0,305.0,0.7768814559763897,0.19519776677557366,0.5753487103950692,0.41254125412541254,0.5419680552738267,0.7611910888677342,301.0,305.0,606.0,1.0,0.7062706270627063,239.0,606.0,1.0,0.3943894389438944,428.0,0.1425233644859813,1.0,0.5674157303370787,12.909999999999998,0.0213036303630363,0.05401673640167364,34.440000000000005,-21.53,0.25694719471947197,0.31,0.022483440173575807,0.5627062706270627,0.152786918606818,0.1425233644859813,0.01026355412083671
