t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.45,0.3,7716.0,0.7367807153965785,0.5368376609668567,0.619198312236287,0.5780179866015718,0.5426386728875064,0.5505716798592788,0.07452047693105235,0.5754390664812071,0.12950194255447908,0.833245382585752,0.16675461741424802,0.45,0.3,5685.0,4737.0,948.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.305,7716.0,0.7419647485743909,0.5368376609668567,0.6214574898785425,0.5791475754226996,0.5426386728875064,0.5514410480349345,0.07633488854328675,0.5769011440581064,0.13231883716909076,0.8274235807860262,0.1725764192139738,0.45,0.305,5725.0,4737.0,988.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.31,7716.0,0.7468895800933126,0.5368376609668567,0.6208576998050682,0.5788476803859625,0.5426386728875064,0.551795939614784,0.07737169517884922,0.5785835656646598,0.13372605060077516,0.8219677251431546,0.1780322748568454,0.45,0.31,5763.0,4737.0,1026.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.315,7716.0,0.7527216174183515,0.5368376609668567,0.6227824463118581,0.5798100536393573,0.5426386728875064,0.5526859504132231,0.07931570762052872,0.5802611092421337,0.136689683932327,0.815599173553719,0.184400826446281,0.45,0.315,5808.0,4737.0,1071.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.32,7716.0,0.7585536547433903,0.5368376609668567,0.6218637992831542,0.5793507301250054,0.5426386728875064,0.5530497180932855,0.08048211508553657,0.5822677818915682,0.13822182437104893,0.8093285494618144,0.19067145053818554,0.45,0.32,5853.0,4737.0,1116.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.325,7716.0,0.7650336962156558,0.5368376609668567,0.6200686106346484,0.5784531358007525,0.5426386728875064,0.5532779942402168,0.08151892172109902,0.5846001943613074,0.13944388405508623,0.8024733186515332,0.19752668134846688,0.45,0.325,5903.0,4737.0,1166.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.33,7716.0,0.7715137376879212,0.5368376609668567,0.6167763157894737,0.5768069883781652,0.5426386728875064,0.5531664706870485,0.08203732503888017,0.5871441103549626,0.1397226397949966,0.7957332437426508,0.20426675625734925,0.45,0.33,5953.0,4737.0,1216.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.335,7716.0,0.7783825816485226,0.5368376609668567,0.6138691883372734,0.5753534246520651,0.5426386728875064,0.5531135531135531,0.08268532918610684,0.58978693290985,0.14019525454414475,0.7887112887112887,0.2112887112887113,0.45,0.335,6006.0,4737.0,1269.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.34,7716.0,0.7851218247796786,0.5368376609668567,0.6101438304314913,0.573490745699174,0.5426386728875064,0.5528227137669198,0.08294453084499749,0.59252733858223,0.13998431033319586,0.7819412347309344,0.2180587652690657,0.45,0.34,6058.0,4737.0,1321.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.345,7716.0,0.7909538621047175,0.5368376609668567,0.6127379209370425,0.5747877909519497,0.5426386728875064,0.5538259872194002,0.08514774494556757,0.594056443934055,0.14333275198849563,0.7761756513190234,0.22382434868097656,0.45,0.345,6103.0,4737.0,1366.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.35,7716.0,0.7997667185069984,0.5368376609668567,0.603905160390516,0.5703714106786864,0.5426386728875064,0.5524226219413385,0.08385173665111455,0.598295487972241,0.1401510429826357,0.7676227515799708,0.23237724842002916,0.45,0.35,6171.0,4737.0,1434.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.355,7716.0,0.8078019699326076,0.5368376609668567,0.5955882352941176,0.5662129481304872,0.5426386728875064,0.5509385528637895,0.08229652669777078,0.602289566253159,0.13663946930001983,0.7599871650890422,0.24001283491095782,0.45,0.355,6233.0,4737.0,1496.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.36,7716.0,0.8153188180404355,0.5368376609668567,0.5984555984555985,0.5676466297112276,0.5426386728875064,0.5520584962645049,0.08488854328667708,0.6043303214111296,0.14046712580705822,0.7529804482594182,0.2470195517405818,0.45,0.36,6291.0,4737.0,1554.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.365,7716.0,0.8254276827371695,0.5368376609668567,0.5949754901960784,0.5659065755814676,0.5426386728875064,0.5517349662427382,0.08540694660445818,0.6082847754681648,0.14040618810280914,0.7437588318417334,0.2562411681582666,0.45,0.365,6369.0,4737.0,1632.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.37,7716.0,0.8322965266977709,0.5368376609668567,0.5905044510385756,0.5636710560027162,0.5426386728875064,0.5509187169106198,0.08475894245723178,0.611366332177582,0.1386385510555267,0.7376206789162255,0.26237932108377454,0.45,0.37,6422.0,4737.0,1685.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.375,7716.0,0.8402021772939346,0.5368376609668567,0.5876288659793815,0.5622332634731191,0.5426386728875064,0.5505167360789758,0.08488854328667703,0.6145378889894656,0.13813394553469457,0.7306802406293382,0.2693197593706617,0.45,0.375,6483.0,4737.0,1746.0,0.5621581425626355,0.2575298189139094,0.71414223785388
0.45,0.38,7716.0,0.8491446345256609,0.5368376609668567,0.5823691460055096,0.5596034034861832,0.5426386728875064,0.5494505494505495,0.08398133748055996,0.6185318492386229,0.13577528397921004,0.722985347985348,0.27701465201465203,0.45,0.38,6552.0,4737.0,1815.0,0.5621581425626355,0.2575298189139094,0.71414223785388
