slice,bucket,feature,false_count,false_share
volatility_regime,low,rv_5,261,0.25339805825242717
volatility_regime,mid,rv_5,355,0.3446601941747573
volatility_regime,high,rv_5,414,0.40194174757281553
volume_regime,low,volume,341,0.33106796116504855
volume_regime,mid,volume,339,0.329126213592233
volume_regime,high,volume,350,0.33980582524271846
session,asia,timestamp_hour,348,0.3378640776699029
session,europe,timestamp_hour,326,0.31650485436893205
session,us,timestamp_hour,356,0.34563106796116505
