slice,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
abs_return_1bp_to_5bp,2842.0,0.4672765657987333,0.5378250591016549,0.6120331950207469,0.5749291270612009,0.5186488388458832,0.5647590361445783,0.06052076002814922,0.4509743927156974,0.13419999229602073,0.6370481927710844,0.3629518072289157,0.575,0.345,1328.0,846.0,482.0,0.5411616711899998,0.26167360749128465,0.7229144609425519
abs_return_ge_5bp,4034.0,0.5017352503718394,0.5970381917381138,0.631578947368421,0.6143085695532674,0.5676747645017353,0.6096837944664032,0.11006445215666837,0.4425329356190175,0.24871471318334668,0.633893280632411,0.36610671936758893,0.575,0.345,2024.0,1283.0,741.0,0.5884278963154069,0.2512003403825042,0.7001528743880129
abs_return_lt_1bp,840.0,0.45595238095238094,0.49166666666666664,0.5174825174825175,0.5045745920745921,0.5035714285714286,0.5013054830287206,0.0011904761904761457,0.47684478856432144,0.0024965695736350966,0.6266318537859008,0.3733681462140992,0.575,0.345,383.0,240.0,143.0,0.5025170638789995,0.2739065680315145,0.751645135714955
