epoch,loss,train_sample_count,train_mean_gap,train_median_gap,train_min_gap,train_violation_rate,train_max_violation,train_p90_violation,train_p95_violation,train_p99_violation,train_coverage,validation_sample_count,validation_mean_gap,validation_median_gap,validation_min_gap,validation_violation_rate,validation_max_violation,validation_p90_violation,validation_p95_violation,validation_p99_violation,validation_coverage
1,0.1692605432002775,15657.0,0.040539681911468506,0.013868898153305054,-0.581352710723877,0.4917289391326563,0.5913527011871338,0.19558361172676086,0.23736393451690674,0.3158058822154999,0.5082710608673436,7432.0,0.019029656425118446,-0.004021570086479187,-0.47631657123565674,0.5247578040904198,0.4863165616989136,0.23611603677272797,0.2791873514652252,0.3530997931957245,0.47524219590958017
2,0.1570006546474272,15657.0,0.04821787402033806,0.022025585174560547,-0.555489182472229,0.47569777096506355,0.5654891729354858,0.17855539917945862,0.2205779254436493,0.29424142837524414,0.5243022290349364,7432.0,0.030499350279569626,0.005775928497314453,-0.5780055522918701,0.506324004305705,0.588005542755127,0.21684125065803528,0.2618240714073181,0.33185139298439026,0.49367599569429493
3,0.1485038976515493,15657.0,0.0422554612159729,0.015907198190689087,-0.6106492877006531,0.486044580698729,0.6206492781639099,0.16585354506969452,0.20781955122947693,0.29140955209732056,0.513955419301271,7432.0,0.024636171758174896,0.0030118823051452637,-0.6040520668029785,0.5119752421959096,0.6140520572662354,0.2140449434518814,0.25859397649765015,0.3308076858520508,0.48802475780409044
4,0.13750193484367862,15657.0,0.03822851553559303,0.013531863689422607,-0.7203546166419983,0.4916650699367695,0.7303546071052551,0.15355494618415833,0.2009548395872116,0.29224616289138794,0.5083349300632305,7432.0,0.01721896603703499,-0.0024178847670555115,-0.6971040368080139,0.5247578040904198,0.7071040272712708,0.20961681008338928,0.2659546732902527,0.35302484035491943,0.47524219590958017
5,0.12602822963268526,15657.0,0.03650091961026192,0.009429395198822021,-0.7573574781417847,0.5018202720827745,0.7673574686050415,0.14106053113937378,0.18202118575572968,0.27248328924179077,0.49817972791722553,7432.0,0.025701722130179405,-0.0004584193229675293,-0.7612565159797668,0.5199138858988159,0.7712565064430237,0.18849879503250122,0.23337025940418243,0.31183335185050964,0.48008611410118407
6,0.11997822215480189,15657.0,0.04331934452056885,0.01466822624206543,-0.797961413860321,0.4866194034617104,0.8079614043235779,0.12915296852588654,0.1696997731924057,0.25849825143814087,0.5133805965382896,7432.0,0.03604331240057945,0.008527755737304688,-0.7447818517684937,0.5033638320775027,0.7547818422317505,0.17628684639930725,0.21946284174919128,0.3040561079978943,0.4966361679224973
7,0.11581434093175395,15657.0,0.03547067567706108,0.007208585739135742,-0.6419668793678284,0.5088458836303251,0.6519668698310852,0.13370463252067566,0.17290066182613373,0.2724594175815582,0.49115411636967493,7432.0,0.020534738898277283,-0.005244821310043335,-0.7684124708175659,0.5302744886975242,0.7784124612808228,0.1924368441104889,0.23863227665424347,0.34536635875701904,0.4697255113024758
8,0.11230379991954373,15657.0,0.03357095643877983,0.004143059253692627,-0.8185431957244873,0.5205978156735007,0.8285431861877441,0.13033625483512878,0.1676165759563446,0.2625691294670105,0.47940218432649934,7432.0,0.02623453550040722,-0.0005404651165008545,-0.7132364511489868,0.5208557588805167,0.7232364416122437,0.18646110594272614,0.23068338632583618,0.31738242506980896,0.47914424111948334
9,0.10912256207196944,15657.0,0.0334010124206543,0.005409061908721924,-0.8193211555480957,0.5169572715079517,0.8293211460113525,0.12285907566547394,0.1613917052745819,0.25288400053977966,0.48304272849204827,7432.0,0.024800291284918785,-0.001930341124534607,-0.7844245433807373,0.5277179763186222,0.7944245338439941,0.18968839943408966,0.23095518350601196,0.31787118315696716,0.47228202368137784
10,0.10469873778281673,15657.0,0.03695949539542198,0.006720185279846191,-0.7598474621772766,0.5133167273424027,0.7698474526405334,0.10974805802106857,0.14670787751674652,0.2360992133617401,0.48668327265759725,7432.0,0.024493344128131866,-0.002043098211288452,-0.7936442494392395,0.5269106566200216,0.8036442399024963,0.18656587600708008,0.2304179072380066,0.32487693428993225,0.4730893433799785
11,0.10082839261139592,15657.0,0.02940126694738865,0.0007311999797821045,-0.7364044785499573,0.5390560132847927,0.7464044690132141,0.11487068235874176,0.15081240236759186,0.23704347014427185,0.46094398671520725,7432.0,0.015842726454138756,-0.009432628750801086,-0.8048860430717468,0.5421151776103337,0.8148860335350037,0.19844582676887512,0.24825142323970795,0.34278756380081177,0.4578848223896663
12,0.09787773124633296,15657.0,0.01947901025414467,-0.007747143507003784,-0.8160940408706665,0.5746950245896404,0.8260940313339233,0.11827988922595978,0.15234288573265076,0.24062775075435638,0.4253049754103596,7432.0,0.009642061777412891,-0.015310078859329224,-0.8035979866981506,0.5528794402583423,0.8135979771614075,0.20522813498973846,0.2550875246524811,0.34563225507736206,0.4471205597416577
13,0.09600666646034486,15657.0,0.030894029885530472,0.004990905523300171,-0.693234920501709,0.5232164527048604,0.7032349109649658,0.10610558837652206,0.13994596898555756,0.2286374568939209,0.47678354729513955,7432.0,0.02678888663649559,0.0002654045820236206,-0.7702634334564209,0.5207212055974165,0.7802634239196777,0.1899757981300354,0.23531104624271393,0.3263852894306183,0.4792787944025834
14,0.09294387217490904,15657.0,0.024089699611067772,0.00038063526153564453,-0.7112114429473877,0.5409082199655106,0.7212114334106445,0.11367198824882507,0.15083080530166626,0.2396698147058487,0.45909178003448936,7432.0,0.02155350334942341,0.0008858442306518555,-0.7602702975273132,0.5199138858988159,0.7702702879905701,0.206258624792099,0.25472304224967957,0.3581606447696686,0.48008611410118407
