value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
DOWN,7633,0.5053059085549587,0.4946940914450413,0.04062032327055931,0.011726856231689453,-0.797961413860321,0.8079614043235779,0.1300454139709473,0.16669723391532895,0.24810040473937994
UP,8024,0.521061814556331,0.478938185443669,0.045886848121881485,0.01758226752281189,-0.6289447546005249,0.6389447450637817,0.12880510091781616,0.1729100510478019,0.26142600804567295
