variant,coverage,accepted_sample_accuracy,selection_score,utility,accepted_count,target_met
median,0.7012587038028923,0.6986824517853734,0.6062006896852578,0.27865559721478317,5237.0,False
best_plus_mean,0.7087573647562935,0.6967693179671264,0.6016578631632822,0.27892340653454734,5293.0,False
rank_mean,0.7043385109801821,0.6967680608365019,0.5997742925149494,0.2771826459560792,5260.0,False
mean,0.7016604177825388,0.6965648854961832,0.5978145811044602,0.27584359935725766,5240.0,False
