epoch,fit_loss,calibration_mae
1.0,0.01593995885923505,0.14611473285464002
2.0,0.014348829216841195,0.14495791717726175
3.0,0.01385299525120192,0.1424223037578707
4.0,0.013242287147376273,0.14125027874406001
5.0,0.01270215715178185,0.1402286361535144
6.0,0.012241471507069137,0.1434474672328404
7.0,0.011791038740840223,0.14653261113851784
8.0,0.011252150456938479,0.14348328362226714
9.0,0.010714654810726643,0.1439110227641818
10.0,0.010139972799354129,0.1468734603213535
11.0,0.009407975141786866,0.15497108900910173
12.0,0.008796192343450256,0.1526029761672412
13.0,0.008204643355889453,0.15499024851173174
14.0,0.007668204916020234,0.15609892245528637
15.0,0.00701968379629155,0.15652369999735097
