variant,coverage,accepted_sample_accuracy,selection_score,utility,accepted_count,target_met
hybrid_catboost_confidence_with_continuation_fill,0.7517407605784682,0.6811542572141076,0.5563169322279287,0.27236207820032143,5614.0,False
continuation_only,0.7400910551687199,0.6808395151076534,0.5507586783385129,0.2676754151044457,5527.0,False
