catboost_confidence,continuation_cutoff,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.1,0.35,7468.0,1.0,0.6522169928164478,0.6435441562226756,0.6478805745195617,0.6501071237279057,0.6482324584895555,0.5405731119442957,0.45942688805570436,0.1,0.35,7468.0,4037.0,3431.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2964649169791109,0.5930999422613734,0.49985659389671916,4037.0,3431.0,7468.0,1.0,0.6482324584895555,4825.0,1.0,0.9993782383419689,4825.0,2643.0,1.0,0.007188800605372683,2643.0
0.1,0.375,7468.0,1.0,0.6522169928164478,0.6435441562226756,0.6478805745195617,0.6501071237279057,0.6482324584895555,0.5405731119442957,0.45942688805570436,0.1,0.375,7468.0,4037.0,3431.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2964649169791109,0.5930999422613734,0.49985659389671916,4037.0,3431.0,7468.0,1.0,0.6482324584895555,4825.0,1.0,0.9993782383419689,4825.0,2643.0,1.0,0.007188800605372683,2643.0
0.1,0.4,7468.0,1.0,0.6522169928164478,0.6435441562226756,0.6478805745195617,0.6501071237279057,0.6482324584895555,0.5405731119442957,0.45942688805570436,0.1,0.4,7468.0,4037.0,3431.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2964649169791109,0.5930999422613734,0.49985659389671916,4037.0,3431.0,7468.0,1.0,0.6482324584895555,4825.0,1.0,0.9993782383419689,4825.0,2643.0,1.0,0.007188800605372683,2643.0
0.1,0.425,7468.0,0.9998660953401178,0.652378592666006,0.6435441562226756,0.6479613744443408,0.6501071237279057,0.6483192714610955,0.5405115843042722,0.45948841569572785,0.1,0.425,7467.0,4036.0,3431.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.296598821638993,0.5929870461068795,0.5001775731632665,4036.0,3431.0,7467.0,0.9998660953401178,0.6483192714610955,4825.0,1.0,0.9993782383419689,4825.0,2643.0,0.9996216420734014,0.007191521574564724,2642.0
0.1,0.45,7468.0,0.9989287627209427,0.6524435623914662,0.6436278798483522,0.6480357211199093,0.6501071237279057,0.6483914209115281,0.5403485254691689,0.4596514745308311,0.1,0.45,7460.0,4031.0,3429.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2964649169791108,0.5926482286069165,0.500237582209574,4031.0,3429.0,7460.0,0.9989287627209427,0.6483914209115281,4825.0,0.9991709844559585,0.9993777224642191,4821.0,2643.0,0.9984865682936057,0.0071996968548692685,2639.0
0.1,0.475,7468.0,0.989421531869309,0.6537208719619143,0.644496762801648,0.6491088173817812,0.6501071237279057,0.6494789552036812,0.5401272161320883,0.45987278386791175,0.1,0.475,7389.0,3991.0,3398.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.29579539367970004,0.5889083707121207,0.5022774482251252,3991.0,3398.0,7389.0,0.989421531869309,0.6494789552036812,4825.0,0.9912953367875648,0.9993727785908426,4783.0,2643.0,0.9860007567158532,0.0072908672294704525,2606.0
0.1,0.5,7468.0,0.9467059453668988,0.6580392156862745,0.649306625577812,0.6536729206320433,0.6501071237279057,0.654031117397454,0.541018387553041,0.458981612446959,0.1,0.5,7070.0,3825.0,3245.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2916443492233529,0.5723030648806391,0.5095977413368893,3825.0,3245.0,7070.0,0.9467059453668988,0.654031117397454,4825.0,0.9550259067357513,0.9993489583333334,4608.0,2643.0,0.9315172152856602,0.007717303005686434,2462.0
0.1,0.525,7468.0,0.8572576325656133,0.6705235753543535,0.6573853989813243,0.6639544871678389,0.6501071237279057,0.6644798500468604,0.5399875039050297,0.4600124960949703,0.1,0.525,6402.0,3457.0,2945.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28200321371183723,0.536308875021557,0.5258223886384541,3457.0,2945.0,6402.0,0.8572576325656133,0.6644798500468604,4825.0,0.8783419689119171,0.9992921189240208,4238.0,2643.0,0.8187665531592887,0.00878003696857671,2164.0
0.1,0.55,7468.0,0.7517407605784682,0.6868752015478877,0.6740947075208914,0.6804849545343896,0.6501071237279057,0.6811542572141076,0.5523690773067331,0.4476309226932668,0.1,0.55,5614.0,3101.0,2513.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.27236207820032143,0.48958078106587616,0.5563169322279287,3101.0,2513.0,5614.0,0.7517407605784682,0.6811542572141076,4825.0,0.7892227979274612,0.9992121848739496,3808.0,2643.0,0.6833144154370034,0.010520487264673311,1806.0
0.1,0.575,7468.0,0.6711301553294055,0.7014978601997147,0.6915760869565217,0.6965369735781182,0.6501071237279057,0.6971268954509178,0.5594573024740622,0.4405426975259378,0.1,0.575,5012.0,2804.0,2208.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2645956079271558,0.45085172030405385,0.5868794461928921,2804.0,2208.0,5012.0,0.6711301553294055,0.6971268954509178,4825.0,0.7208290155440414,0.9991374353076481,3478.0,2643.0,0.5804010594021944,0.012385919165580182,1534.0
0.1,0.6,7468.0,0.6238618103910016,0.7088846880907372,0.7030784508440914,0.7059815694674143,0.6501071237279057,0.7063747585318738,0.5677183945052586,0.43228160549474137,0.1,0.6,4659.0,2645.0,2014.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25749866095340124,0.42799716671819243,0.6016363681279856,2645.0,2014.0,4659.0,0.6238618103910016,0.7063747585318738,4825.0,0.6787564766839378,0.9990839694656488,3275.0,2643.0,0.5236473704124102,0.013728323699421965,1384.0
0.1,0.625,7468.0,0.6009641135511515,0.7151775263363246,0.7101298701298702,0.7126536982330973,0.6501071237279057,0.7130124777183601,0.571078431372549,0.42892156862745096,0.1,0.625,4488.0,2563.0,1925.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25602570969469735,0.4152941149694119,0.6164925060726052,2563.0,1925.0,4488.0,0.6009641135511515,0.7130124777183601,4825.0,0.6598963730569948,0.9990577889447236,3184.0,2643.0,0.49337873628452517,0.014570552147239263,1304.0
0.1,0.65,7468.0,0.5926620246384574,0.7158642462509865,0.7114164904862579,0.7136403683686222,0.6501071237279057,0.7139629462268414,0.5725259828287392,0.4274740171712607,0.1,0.65,4426.0,2534.0,1892.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25361542581681845,0.4117320723611648,0.615971994511885,2534.0,1892.0,4426.0,0.5926620246384574,0.7139629462268414,4825.0,0.6516062176165803,0.9990458015267175,3144.0,2643.0,0.4850548618993568,0.014820592823712949,1282.0
0.1,0.675,7468.0,0.5903856454204607,0.7159810126582279,0.7118553960659224,0.7139182043620751,0.6501071237279057,0.7142209117713767,0.5733726468586982,0.4266273531413019,0.1,0.675,4409.0,2528.0,1881.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2529459025174076,0.4107552451905228,0.6158068715594426,2528.0,1881.0,4409.0,0.5903856454204607,0.7142209117713767,4825.0,0.6493264248704663,0.999042451324609,3133.0,2643.0,0.48278471433976544,0.014890282131661442,1276.0
