cutoff,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.35,7468.0,1.0,0.649864096861873,0.6416252557731658,0.6457446763175194,0.5162024638457419,0.6460899839314408,0.5419121585431173,0.4580878414568827,0.35,0.0,7468.0,4047.0,3421.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.2921799678628816,0.5949033670005233,0.4911385345422404,4047.0,3421.0,7468.0,1.0,0.6460899839314408,4825.0,1.0,1.0,4825.0,2643.0,1.0,0.0,2643.0
0.375,7468.0,1.0,0.649864096861873,0.6416252557731658,0.6457446763175194,0.5162024638457419,0.6460899839314408,0.5419121585431173,0.4580878414568827,0.375,0.0,7468.0,4047.0,3421.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.2921799678628816,0.5949033670005233,0.4911385345422404,4047.0,3421.0,7468.0,1.0,0.6460899839314408,4825.0,1.0,1.0,4825.0,2643.0,1.0,0.0,2643.0
0.4,7468.0,1.0,0.649864096861873,0.6416252557731658,0.6457446763175194,0.5162024638457419,0.6460899839314408,0.5419121585431173,0.4580878414568827,0.4,0.0,7468.0,4047.0,3421.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.2921799678628816,0.5949033670005233,0.4911385345422404,4047.0,3421.0,7468.0,1.0,0.6460899839314408,4825.0,1.0,1.0,4825.0,2643.0,1.0,0.0,2643.0
0.425,7468.0,0.9998660953401178,0.6500247157686604,0.6416252557731658,0.6458249857709131,0.5162024638457419,0.6461765099772332,0.5418508102316861,0.4581491897683139,0.425,0.0,7467.0,4046.0,3421.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.29231387252276386,0.5947908131508732,0.491456602993322,4046.0,3421.0,7467.0,0.9998660953401178,0.6461765099772332,4825.0,1.0,1.0,4825.0,2643.0,0.9996216420734014,0.0,2642.0
0.45,7468.0,0.9987948580610605,0.6502475247524753,0.6417081017841474,0.6459778132683114,0.5162024638457419,0.6463332886445904,0.5416275640166243,0.4583724359833758,0.45,0.0,7459.0,4040.0,3419.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.2923138725227637,0.5943403846022483,0.4918290597371901,4040.0,3419.0,7459.0,0.9987948580610605,0.6463332886445904,4825.0,0.9991709844559585,1.0,4821.0,2643.0,0.9981082103670071,0.0,2638.0
0.475,7468.0,0.9892876272094269,0.6515,0.6425619834710744,0.6470309917355372,0.5162024638457419,0.6474011911207364,0.5414185165132648,0.4585814834867352,0.475,0.0,7388.0,4000.0,3388.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.291644349223353,0.5906112418444445,0.49380087705842635,4000.0,3388.0,7388.0,0.9892876272094269,0.6474011911207364,4825.0,0.9912953367875648,1.0,4783.0,2643.0,0.9856223987892546,0.0,2605.0
0.5,7468.0,0.946036422067488,0.6561357702349869,0.6472952086553323,0.6517154894451596,0.5162024638457419,0.6520877565463553,0.5421089879688605,0.4578910120311394,0.5,0.0,7065.0,3830.0,3235.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.2877611140867703,0.5737051978066425,0.5015835923866865,3830.0,3235.0,7065.0,0.946036422067488,0.6520877565463553,4825.0,0.9548186528497409,1.0,4607.0,2643.0,0.9300037835792659,0.0,2458.0
0.525,7468.0,0.853776111408677,0.6690814256737178,0.6557264957264958,0.6624039607001068,0.5162024638457419,0.6629548306148055,0.5412484316185696,0.4587515683814304,0.525,0.0,6376.0,3451.0,2925.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.2782538832351366,0.5364336996188533,0.5187106690590868,3451.0,2925.0,6376.0,0.853776111408677,0.6629548306148055,4825.0,0.8760621761658031,1.0,4227.0,2643.0,0.8130911842603102,0.0,2149.0
0.55,7468.0,0.7400910551687199,0.6863384414737529,0.6739837398373983,0.6801610906555756,0.5162024638457419,0.6808395151076534,0.5549122489596526,0.44508775104034737,0.55,0.0,5527.0,3067.0,2460.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.2676754151044457,0.48601216037475553,0.5507586783385129,3067.0,2460.0,5527.0,0.7400910551687199,0.6808395151076534,4825.0,0.7798963730569948,1.0,3763.0,2643.0,0.6674233825198638,0.0,1764.0
0.575,7468.0,0.6381896089983932,0.7026423520655005,0.6931216931216931,0.6978820225935969,0.5162024638457419,0.6984892992026857,0.5637851447754931,0.4362148552245069,0.575,0.0,4766.0,2687.0,2079.0,0.5321190487678232,0.26860115621395303,0.7396872765680228,0.25334761649705406,0.4386581770019448,0.5775513367346412,2687.0,2079.0,4766.0,0.6381896089983932,0.6984892992026857,4825.0,0.6899481865284974,1.0,3329.0,2643.0,0.5437003405221339,0.0,1437.0
