abstain_low_conf_count,abstain_low_conf_share,active_count,active_covered_gap_norm_mean,active_covered_gap_norm_median,active_share,alpha,bucket_miss_threshold,clamp_over_pside_count,clamp_over_pside_share,coverage_feasible,coverage_overall,covered_count,covered_feasible_count,covered_gap_norm_mean,covered_gap_norm_median,covered_gap_norm_q25,covered_gap_norm_q75,delta_norm,delta_quantile,feasible_count,feasible_covered_gap_norm_mean,infeasible_count,max_possible_coverage,mean_p_pred,mean_p_side,non_active_share,sample_count,side_violation_count,side_violation_rate
8236.0,1.0,0.0,nan,nan,0.0,0.5,0.0,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,-1.3349636564455478,0.5,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,1.0,8236.0,0.0,0.0
8236.0,1.0,0.0,nan,nan,0.0,0.5,0.025,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,-1.3349636564455478,0.5,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,1.0,8236.0,0.0,0.0
8236.0,1.0,0.0,nan,nan,0.0,0.5,0.05,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,-1.3349636564455478,0.5,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,1.0,8236.0,0.0,0.0
8236.0,1.0,0.0,nan,nan,0.0,0.5,0.075,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,-1.3349636564455478,0.5,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,1.0,8236.0,0.0,0.0
8236.0,1.0,0.0,nan,nan,0.0,0.5,0.1,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,-1.3349636564455478,0.5,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,1.0,8236.0,0.0,0.0
8236.0,1.0,0.0,nan,nan,0.0,0.5,0.15,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,-1.3349636564455478,0.5,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,1.0,8236.0,0.0,0.0
7756.0,0.9417192812044682,213.0,0.6554263060587382,0.7666710508647347,0.02586206896551724,0.5,0.2,267.0,0.03241864983001457,0.993273174733388,0.735065565808645,6054.0,6054.0,0.9944790802259164,1.0,1.0,1.0,-1.3349636564455478,0.5,6095.0,0.9944790804189703,2141.0,0.7400437105390967,0.5624298919857339,0.5651863688744982,0.9741379310344828,8236.0,0.0,0.0
5414.0,0.6573579407479359,1427.0,0.6134803710834086,0.6595774861894834,0.17326372025254977,0.5,0.3,1395.0,0.16937833899951432,0.9407711238720262,0.6962117532782904,5734.0,5734.0,0.9614424088349686,1.0,1.0,1.0,-1.3349636564455478,0.5,6095.0,0.9614424091326171,2141.0,0.7400437105390967,0.5431216733407266,0.5651863688744982,0.8267362797474502,8236.0,0.0,0.0
3458.0,0.41986401165614373,2898.0,0.5613121386264026,0.5770127484861607,0.3518698397280233,0.5,0.5,1880.0,0.22826614861583294,0.8567678424938474,0.6340456532297232,5222.0,5222.0,0.9001149239423195,1.0,1.0,1.0,-1.3349636564455478,0.5,6095.0,0.9001149246611716,2141.0,0.7400437105390967,0.5060648131882289,0.5651863688744982,0.6481301602719767,8236.0,0.0,0.0
0.0,0.0,6298.0,0.5115213199353958,0.5103296184240034,0.7646915978630403,0.5,1.0,1938.0,0.2353084021369597,0.5135356849876949,0.38003885381253033,3130.0,3130.0,0.6471404806306486,0.7323211979263817,0.34679923154332276,1.0,-1.3349636564455478,0.5,6095.0,0.6471404834374207,2141.0,0.7400437105390967,0.3640576135665277,0.5651863688744982,0.2353084021369597,8236.0,0.0,0.0
