q_quantile,q_value,sigma_high_quantile,sigma_high,sample_count,coverage,covered_count,legal_rate,feasible_count,max_possible_coverage,coverage_feasible,pred_to_p_side_distance_q25,pred_to_p_side_distance_median,pred_to_p_side_distance_mean,pred_to_p_side_distance_q75,pred_to_lowest_safe_distance_q25,pred_to_lowest_safe_distance_median,pred_to_lowest_safe_distance_mean,pred_to_lowest_safe_distance_q75,normalized_lowest_safe_gap_q25,normalized_lowest_safe_gap_median,normalized_lowest_safe_gap_mean,normalized_lowest_safe_gap_q75,covered_normalized_lowest_safe_gap_mean,covered_normalized_lowest_safe_gap_median,mean_pred,mean_lowest_safe,fallback_rate,fallback_coverage,non_fallback_coverage,non_fallback_norm_gap_q25,non_fallback_norm_gap_median,non_fallback_norm_gap_mean,non_fallback_norm_gap_q75
0.7,0.6297640379162583,0.0,0.01,5184.0,0.7573302469135802,3926.0,1.0,3926.0,0.7573302469135802,1.0,0.0,0.0,0.0,0.0,0.10131154770836877,0.22277043707241156,0.2526580940744968,0.3669843310554287,1.0,1.0,1.0,1.0,1.0,1.0,0.5928220906041156,0.42818383347951317,1.0,0.7573302469135802,,,,,
0.7,0.6297640379162583,0.1,0.0565658290575098,5184.0,0.7484567901234568,3880.0,1.0,3926.0,0.7573302469135802,0.9882832399388691,0.0,0.0,0.0017306052932128003,0.0,0.10271624631361752,0.2248245672403052,0.25408294154604916,0.3691278646920955,1.0,1.0,0.9937570209291136,1.0,0.9937570209291136,1.0,0.5910914853109028,0.42818383347951317,0.9797453703703703,0.754873006497342,0.4380952380952381,0.16877810987043113,0.42912977166680777,0.4734182870643732,0.7068811443765464
0.7,0.6297640379162583,0.2,0.0674450424536394,5184.0,0.7307098765432098,3788.0,1.0,3926.0,0.7573302469135802,0.9648497198166073,0.0,0.0,0.006795003945522786,0.0,0.10221698572258431,0.22502960314010656,0.25485201969546006,0.3716219973210176,1.0,1.0,0.9817621474502007,1.0,0.9817621474502007,1.0,0.5860270866585928,0.42818383347951317,0.9402006172839507,0.7503077554370127,0.42258064516129035,0.2223066992485226,0.4380327579787205,0.4726336987890119,0.7040934746802883
0.7,0.6297640379162583,0.3,0.07639721115382989,5184.0,0.6990740740740741,3624.0,1.0,3926.0,0.7573302469135802,0.9230769230769231,0.0,0.0,0.018104950776192702,0.0,0.09786468273224977,0.22230303989314973,0.253915103308293,0.3730288485719371,1.0,1.0,0.9541040239675884,1.0,0.9541040239675884,1.0,0.5747171398279229,0.42818383347951317,0.8609182098765432,0.7477033385615057,0.39805825242718446,0.18200685926574853,0.3832591560461408,0.42046335490780495,0.5983324844843735
0.7,0.6297640379162583,0.4,0.08527767657167468,5184.0,0.6547067901234568,3394.0,1.0,3926.0,0.7573302469135802,0.8644931227712684,0.0,0.0,0.036685298147151386,0.0,0.08984022548257822,0.2115010747893982,0.24916540454421213,0.37443542624839404,1.0,1.0,0.9065450729203376,1.0,0.9065450729203376,1.0,0.5561367924569642,0.42818383347951317,0.7270447530864198,0.753250198991775,0.392226148409894,0.1744189889229373,0.3806777843124857,0.4284936531380643,0.6322784567490545
0.7,0.6297640379162583,0.5,0.09584842060207982,5184.0,0.6080246913580247,3152.0,1.0,3926.0,0.7573302469135802,0.8028527763627101,0.0,0.0,0.05931843522957015,0.08276908856327422,0.07999999999999996,0.19,0.23958185673374158,0.36570868879602425,0.8504301997281262,1.0,0.8364513168640411,1.0,0.8364513168640411,1.0,0.5335036553745456,0.42818383347951317,0.5426311728395061,0.7909704941343761,0.3909742724588781,0.19289230290662346,0.3951349660633372,0.4438991917534601,0.6715174848063723
0.7,0.6297640379162583,0.6,0.1095775683823572,5184.0,0.5817901234567902,3016.0,1.0,3926.0,0.7573302469135802,0.7682119205298014,0.0,0.0,0.07649936240184628,0.1099023456621307,0.07,0.17122751158386323,0.2274827317840062,0.34218406853625977,0.4776132643962584,1.0,0.7676482601124718,1.0,0.7676482601124718,1.0,0.5163227282022694,0.42818383347951317,0.37191358024691357,0.866701244813278,0.4130835380835381,0.22374797191242812,0.430557327618507,0.4789792955384493,0.7232902643429022
0.7,0.6297640379162583,0.7,0.13039739405536815,5184.0,0.5696373456790124,2953.0,1.0,3926.0,0.7573302469135802,0.7521650534895568,0.0,0.033261235488179636,0.08467804729169366,0.1236109565216583,0.06999999999999995,0.1666906175758516,0.22018114765143842,0.325420589268191,0.43440927760726544,1.0,0.7293332979714207,1.0,0.7293332979714207,1.0,0.5081440433124219,0.42818383347951317,0.2822145061728395,0.8981544771018455,0.4404729911314163,0.26293715134407236,0.46961598825860934,0.5123375405183678,0.7646227318262924
0.7,0.6297640379162583,0.8,0.16710759315779833,5184.0,0.5652006172839507,2930.0,1.0,3926.0,0.7573302469135802,0.7463066734589914,0.0,0.05814407927169474,0.09653166970214726,0.16924248168212536,0.06273185958437245,0.1518317340555032,0.20146603681233002,0.29000000000000004,0.38837437006007575,0.7501208326244511,0.6742704871013004,1.0,0.6742704871013004,0.7501208326244511,0.49629042090196834,0.42818383347951317,0.16724537037037038,0.9123414071510957,0.4954829742876998,0.2969102058263269,0.5279048333477758,0.5538160482500282,0.8571667144285668
0.7,0.6297640379162583,0.85,0.18626895651989905,5184.0,0.5642361111111112,2925.0,1.0,3926.0,0.7573302469135802,0.7450331125827815,0.0,0.06162239831183841,0.09874573533138405,0.175372008617932,0.061341991341991364,0.15000000000000002,0.19801064215911884,0.2863360189954007,0.38342661566283454,0.7172648328462256,0.663808353952046,1.0,0.663808353952046,0.7172648328462256,0.4940763552727316,0.42818383347951317,0.13869598765432098,0.9207232267037552,0.5068309070548712,0.3078462756941339,0.5484998846197507,0.5654615268712923,0.8813207874290745
0.7,0.6297640379162583,0.9,0.20874002055445617,5184.0,0.5634645061728395,2921.0,1.0,3926.0,0.7573302469135802,0.7440142638818136,0.0,0.07034972820467894,0.10562444111944247,0.1936376947146729,0.06000000000000005,0.15,0.1861652691516826,0.27610092521292795,0.3767596090723184,0.6412175491780102,0.6383421885704738,1.0,0.6383421885704738,0.6412175491780102,0.4871976494846732,0.42818383347951317,0.07465277777777778,0.9405684754521964,0.5330414842609964,0.33966628417640304,0.580321409900321,0.5868586362199273,0.9153170436999857
0.7,0.6297640379162583,0.95,0.23487895301677933,5184.0,0.5630787037037037,2919.0,1.0,3926.0,0.7573302469135802,0.7435048395313296,0.0,0.0746247829799162,0.10923418472552845,0.20125167839290226,0.06000000000000005,0.14999999999999997,0.1799386865988426,0.27,0.370431320836614,0.6245524795381815,0.6237019638475567,1.0,0.6237019638475567,0.6245524795381815,0.48358790587858713,0.42818383347951317,0.007137345679012345,0.9459459459459459,0.5603264037303284,0.3675946418106387,0.6196765904520166,0.6191352401078426,0.9907182645256645
0.7,0.6297640379162583,0.98,0.2545492222419309,5184.0,0.5630787037037037,2919.0,1.0,3926.0,0.7573302469135802,0.7435048395313296,0.0,0.07473852415691187,0.10932079986254976,0.2013977641933901,0.06000000000000005,0.14999999999999997,0.1797848623883875,0.27,0.370431320836614,0.624420650549601,0.6233995940367315,0.9987834394575573,0.6233995940367315,0.624420650549601,0.4835012907415659,0.42818383347951317,0.00038580246913580245,1.0,0.5629100733307604,0.3702515016131995,0.6241154541867016,0.6231413832681588,0.9985802814143532
0.7,0.6297640379162583,1.0,0.3039484749725993,5184.0,0.5630787037037037,2919.0,1.0,3926.0,0.7573302469135802,0.7435048395313296,0.0,0.07473852415691187,0.1093290936550855,0.2013977641933901,0.06000000000000005,0.14999999999999997,0.1797701330219931,0.27,0.370431320836614,0.624420650549601,0.6233566506541345,0.998582374505348,0.6233566506541345,0.624420650549601,0.48349299694903014,0.42818383347951317,0.0,,0.5630787037037037,0.370431320836614,0.624420650549601,0.6233566506541345,0.998582374505348
0.75,0.8329551422785805,0.0,0.01,5184.0,0.7573302469135802,3926.0,1.0,3926.0,0.7573302469135802,1.0,0.0,0.0,0.0,0.0,0.10131154770836877,0.22277043707241156,0.2526580940744968,0.3669843310554287,1.0,1.0,1.0,1.0,1.0,1.0,0.5928220906041156,0.42818383347951317,1.0,0.7573302469135802,,,,,
0.75,0.8329551422785805,0.1,0.0565658290575098,5184.0,0.7486496913580247,3881.0,1.0,3926.0,0.7573302469135802,0.9885379521141111,0.0,0.0,0.0015652556786792684,0.0,0.10274181332444854,0.22479157444461775,0.25410900056241553,0.3691012074559445,1.0,1.0,0.9946421271774548,1.0,0.9946421271774548,1.0,0.5912568349254363,0.42818383347951317,0.9797453703703703,0.754873006497342,0.44761904761904764,0.2923289021958958,0.5206544889206377,0.557576501610686,0.8647643952791619
0.75,0.8329551422785805,0.2,0.0674450424536394,5184.0,0.7336033950617284,3803.0,1.0,3926.0,0.7573302469135802,0.9686704024452368,0.0,0.0,0.00618194260513601,0.0,0.10170943397744131,0.22414432776980656,0.25421283991576027,0.37101612490269253,1.0,1.0,0.980715756728919,1.0,0.980715756728919,1.0,0.5866401479989797,0.42818383347951317,0.9402006172839507,0.7503077554370127,0.47096774193548385,0.2222038530227549,0.4902192754639393,0.4976850879457487,0.7638389395357882
0.75,0.8329551422785805,0.3,0.07639721115382989,5184.0,0.7044753086419753,3652.0,1.0,3926.0,0.7573302469135802,0.9302088639836984,0.0,0.0,0.016514281596793363,0.0,0.09500127264156785,0.22037702026852787,0.252933056467095,0.37200012098760504,1.0,1.0,0.9531468306997879,1.0,0.9531468306997879,1.0,0.5763078090073223,0.42818383347951317,0.8609182098765432,0.7477033385615057,0.4368932038834951,0.20902666341577536,0.4304749567138841,0.45680071655754034,0.6624303260090472
0.75,0.8329551422785805,0.4,0.08527767657167468,5184.0,0.6670524691358025,3458.0,1.0,3926.0,0.7573302469135802,0.8807947019867549,0.0,0.0,0.03343212042589892,0.0,0.08650997916385292,0.2081580221035438,0.24674018737256914,0.3715367785910145,1.0,1.0,0.903207387434112,1.0,0.903207387434112,1.0,0.5593899701782167,0.42818383347951317,0.7270447530864198,0.753250198991775,0.43745583038869257,0.20346240049332553,0.4232444985258739,0.4592748719663314,0.6849133232042199
0.75,0.8329551422785805,0.5,0.09584842060207982,5184.0,0.6290509259259259,3261.0,1.0,3926.0,0.7573302469135802,0.8306164034640856,0.0,0.0,0.05369630405342069,0.06690294524524454,0.07743106042469716,0.1862393530677512,0.23572097579860174,0.35812784599599073,0.7855721589227469,1.0,0.8325535342253148,1.0,0.8325535342253148,1.0,0.539125786550695,0.42818383347951317,0.5426311728395061,0.7909704941343761,0.4369464361029102,0.21560661898577652,0.4414413756983412,0.4729315396802621,0.721828984342523
0.75,0.8329551422785805,0.6,0.1095775683823572,5184.0,0.6086033950617284,3155.0,1.0,3926.0,0.7573302469135802,0.8036169128884361,0.0,0.0,0.06851446586754222,0.09339877393406845,0.07000000000000006,0.17000000000000004,0.22399562640970586,0.33424045320744733,0.5024056267874164,1.0,0.7697896671692834,1.0,0.7697896671692834,1.0,0.5243076247365734,0.42818383347951317,0.37191358024691357,0.866701244813278,0.4557739557739558,0.2529832362294641,0.48276715045165625,0.5105703503497904,0.7841493611295045
0.75,0.8329551422785805,0.7,0.13039739405536815,5184.0,0.6008873456790124,3115.0,1.0,3926.0,0.7573302469135802,0.7934284258787571,0.0,0.014454322065167058,0.07523855956544406,0.10712870863747545,0.07,0.16612590381677617,0.21707254783613267,0.31999999999999995,0.463951770512248,1.0,0.736137586798933,1.0,0.736137586798933,1.0,0.5175835310386716,0.42818383347951317,0.2822145061728395,0.8981544771018455,0.48400967481859714,0.28595286071215437,0.5218576418383626,0.5436249766122578,0.8222617587935306
0.75,0.8329551422785805,0.8,0.16710759315779833,5184.0,0.5985725308641975,3103.0,1.0,3926.0,0.7573302469135802,0.7903718797758533,0.0,0.038149966708755256,0.08493268559989366,0.1482287565925417,0.06933365773079789,0.15504110650036984,0.20194898877513898,0.296946725749699,0.42893197696511526,0.8008682791168471,0.694785130909928,1.0,0.694785130909928,0.8008682791168471,0.5078894050042221,0.42818383347951317,0.16724537037037038,0.9123414071510957,0.5355570998378504,0.3280165072183482,0.5886259935884802,0.5903625697290251,0.9267954103577123
0.75,0.8329551422785805,0.85,0.18626895651989905,5184.0,0.5979938271604939,3100.0,1.0,3926.0,0.7573302469135802,0.7896077432501274,0.0,0.04199658691263641,0.08655659150986608,0.15478452980610513,0.06838110159622485,0.15140972447390588,0.19946335570938806,0.291188348723297,0.4232195172124624,0.7756819927032264,0.6874365186900597,1.0,0.6874365186900597,0.7756819927032264,0.5062654990942496,0.42818383347951317,0.13869598765432098,0.9207232267037552,0.5460246360582307,0.34137005302594725,0.606204938660285,0.6025648925099198,0.9562853693473592
0.75,0.8329551422785805,0.9,0.20874002055445617,5184.0,0.5978009259259259,3099.0,1.0,3926.0,0.7573302469135802,0.7893530310748854,0.0,0.05095321183976215,0.0919638649758323,0.16827107305858363,0.06730294289363241,0.15000000000000002,0.19050667451780773,0.28,0.4185363720205422,0.7124402907799274,0.6684335656539048,1.0,0.6684335656539048,0.7124402907799274,0.5008582256282834,0.42818383347951317,0.07465277777777778,0.9405684754521964,0.5701480091723994,0.37663117384039546,0.6458110583357624,0.6243055283222855,0.993312051779639
0.75,0.8329551422785805,0.95,0.23487895301677933,5184.0,0.597608024691358,3098.0,1.0,3926.0,0.7573302469135802,0.7890983188996434,0.0,0.05491599519230661,0.09447703113097858,0.1736567606810523,0.06691505386083359,0.15000000000000002,0.18637944307167006,0.2764408107353118,0.4175308869700263,0.6958113898686593,0.6596841751961222,1.0,0.6596841751961222,0.6958113898686593,0.49834505947313706,0.42818383347951317,0.007137345679012345,0.9459459459459459,0.5951039440450748,0.4109032222908473,0.6897434876732984,0.6557954863720492,1.0
0.75,0.8329551422785805,0.98,0.2545492222419309,5184.0,0.597608024691358,3098.0,1.0,3926.0,0.7573302469135802,0.7890983188996434,0.0,0.0549651105216577,0.09451893209050045,0.17383555296849945,0.06691505386083359,0.15000000000000002,0.18630932861906788,0.2764408107353118,0.4175308869700263,0.6954628884585017,0.659580641611233,1.0,0.659580641611233,0.6954628884585017,0.49830315851361523,0.42818383347951317,0.00038580246913580245,1.0,0.5974527209571594,0.4173769337682462,0.695045573318263,0.659360732464987,1.0
0.75,0.8329551422785805,1.0,0.3039484749725993,5184.0,0.597608024691358,3098.0,1.0,3926.0,0.7573302469135802,0.7890983188996434,0.0,0.0549651105216577,0.09451893209050045,0.17383555296849945,0.06691505386083359,0.15000000000000002,0.18630932861906788,0.2764408107353118,0.4175308869700263,0.6954628884585017,0.659580641611233,1.0,0.659580641611233,0.6954628884585017,0.49830315851361523,0.42818383347951317,0.0,,0.597608024691358,0.4175308869700263,0.6954628884585017,0.659580641611233,1.0
0.8,1.038096322510749,0.0,0.01,5184.0,0.7573302469135802,3926.0,1.0,3926.0,0.7573302469135802,1.0,0.0,0.0,0.0,0.0,0.10131154770836877,0.22277043707241156,0.2526580940744968,0.3669843310554287,1.0,1.0,1.0,1.0,1.0,1.0,0.5928220906041156,0.42818383347951317,1.0,0.7573302469135802,,,,,
0.8,1.038096322510749,0.1,0.0565658290575098,5184.0,0.7501929012345679,3889.0,1.0,3926.0,0.7573302469135802,0.9905756495160468,0.0,0.0,0.0014004471154443713,0.0,0.10229526856038196,0.224515251706354,0.2536677739998095,0.36857552686984985,1.0,1.0,0.9933556548695449,1.0,0.9933556548695449,1.0,0.5914216434886713,0.42818383347951317,0.9797453703703703,0.754873006497342,0.5238095238095238,0.24200406796740653,0.5252144188200026,0.5301843961392761,0.8731672417029904
0.8,1.038096322510749,0.2,0.0674450424536394,5184.0,0.7386188271604939,3829.0,1.0,3926.0,0.7573302469135802,0.9752929190015283,0.0,0.0,0.005574289033968655,0.0,0.09999999999999998,0.22268963038578832,0.2528786602344395,0.36884501289689564,1.0,1.0,0.9780771665712248,1.0,0.9780771665712248,1.0,0.5872478015701469,0.42818383347951317,0.9402006172839507,0.7503077554370127,0.5548387096774193,0.1974308569575876,0.509948145053516,0.511962039541973,0.8018952263335588
0.8,1.038096322510749,0.3,0.07639721115382989,5184.0,0.7143132716049383,3703.0,1.0,3926.0,0.7573302469135802,0.9431991849210393,0.0,0.0,0.014955104804403244,0.0,0.09273544979003918,0.21866220251994867,0.2504828650522966,0.36871026988337274,1.0,1.0,0.9486203056662242,1.0,0.9486203056662242,1.0,0.5778669857997124,0.42818383347951317,0.8609182098765432,0.7477033385615057,0.507628294036061,0.20342037474124747,0.4694678120985397,0.48016664448641677,0.7324725302513397
0.8,1.038096322510749,0.4,0.08527767657167468,5184.0,0.6822916666666666,3537.0,1.0,3926.0,0.7573302469135802,0.9009169638308712,0.0,0.0,0.030261928555493485,0.0,0.08486945784988154,0.20382622270198641,0.24353957135303259,0.36462945342899244,1.0,1.0,0.8996165690076474,1.0,0.8996165690076474,1.0,0.562560162048622,0.42818383347951317,0.7270447530864198,0.753250198991775,0.49328621908127207,0.22122401473680353,0.4722173633320248,0.4913235022636808,0.7507370807724841
0.8,1.038096322510749,0.5,0.09584842060207982,5184.0,0.6514274691358025,3377.0,1.0,3926.0,0.7573302469135802,0.8601630157921548,0.0,0.0,0.048197433975140404,0.050592415411741004,0.07743106042469716,0.181525857805665,0.23207568004004248,0.35,0.7729283937162693,1.0,0.8328973521589244,1.0,0.8328973521589244,1.0,0.5446246566289752,0.42818383347951317,0.5426311728395061,0.7909704941343761,0.4858709405314213,0.24333012778995838,0.49039802678551503,0.5101513526394857,0.801384957981046
0.8,1.038096322510749,0.6,0.1095775683823572,5184.0,0.6352237654320988,3293.0,1.0,3926.0,0.7573302469135802,0.8387671930718288,0.0,0.0,0.0607294260301351,0.07713547388282449,0.07000000000000006,0.17000000000000004,0.22146201409631752,0.326962268792141,0.5521525133960363,1.0,0.780649167378737,1.0,0.780649167378737,1.0,0.5320926645739805,0.42818383347951317,0.37191358024691357,0.866701244813278,0.49815724815724816,0.2897639709861391,0.5468868332037831,0.5546718299495567,0.8570245166525525
