parameter,min_ev,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,trade_count,order_count,order_coverage,fill_rate,correct_count,correct_fill_rate,wrong_fill_forced,wrong_fill_printed,sum_pnl,mean_accepted_pnl,mean_pnl_filled,win_pnl_sum,loss_pnl_sum,mean_bid,median_bid,mean_expected_ev,negative_expected_ev_share,mean_model_fill_prob,realized_correct_fill_rate_submitted,submitted_fill_calibration_gap
0.8,0.0,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,129.0,270.0,0.41033434650455924,0.196048632218845,472.0,0.1440677966101695,1.0,0.9344262295081968,11.690000000000001,0.017765957446808513,0.09062015503875967,31.32,-19.63,0.16551671732522796,0.0,0.004605901355569091,0.5896656534954408,0.41904779116061597,0.3253588516746411,0.09368893948597484
0.8,0.01,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,73.0,156.0,0.23708206686930092,0.11094224924012158,472.0,0.08898305084745763,1.0,0.9354838709677419,10.16,0.015440729483282675,0.13917808219178085,19.8,-9.64,0.0975835866261398,0.0,0.004605901355569091,0.5896656534954408,0.42599876027761024,0.336,0.08999876027761022
0.8,0.02,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,30.0,69.0,0.10486322188449848,0.04559270516717325,472.0,0.029661016949152543,1.0,0.875,1.3900000000000001,0.0021124620060790278,0.04633333333333334,5.99,-4.6,0.04455927051671733,0.0,0.004605901355569091,0.5896656534954408,0.4387804031233332,0.2641509433962264,0.1746294597271068
0.8,0.03,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,6.0,14.0,0.02127659574468085,0.00911854103343465,472.0,0.01059322033898305,1.0,1.0,2.0,0.00303951367781155,0.3333333333333334,2.25,-0.25,0.010638297872340425,0.0,0.004605901355569091,0.5896656534954408,0.4772915032242468,0.38461538461538464,0.09267611860886216
0.8,0.05,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,0.0,0.0,0.0,0.0,472.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.004605901355569091,0.5896656534954408,,,
0.9,0.0,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,153.0,289.0,0.439209726443769,0.23252279635258358,472.0,0.1864406779661017,1.0,0.9538461538461539,16.310000000000002,0.024787234042553195,0.1066013071895425,39.209999999999994,-22.9,0.19348024316109422,0.0,0.006419507586659919,0.560790273556231,0.4811361142754956,0.39285714285714285,0.08827897141835273
0.9,0.01,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,98.0,193.0,0.2933130699088146,0.14893617021276595,472.0,0.11864406779661017,1.0,0.9523809523809523,12.16,0.018480243161094225,0.12408163265306123,25.79,-13.63,0.12682370820668692,0.0,0.006419507586659919,0.560790273556231,0.46902501865632784,0.3708609271523179,0.09816409150400995
0.9,0.02,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,51.0,106.0,0.16109422492401215,0.07750759878419453,472.0,0.059322033898305086,1.0,0.9130434782608695,6.6899999999999995,0.010167173252279635,0.13117647058823528,13.3,-6.609999999999999,0.06796352583586626,0.0,0.006419507586659919,0.560790273556231,0.4630025691125378,0.3373493975903614,0.12565317152217637
0.9,0.03,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,15.0,37.0,0.05623100303951368,0.022796352583586626,472.0,0.014830508474576272,1.0,0.875,0.56,0.0008510638297872341,0.03733333333333333,3.12,-2.56,0.02419452887537994,0.0,0.006419507586659919,0.560790273556231,0.45752395431279314,0.2413793103448276,0.21614464396796554
0.9,0.05,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,0.0,1.0,0.001519756838905775,0.0,472.0,0.0,,,0.0,0.0,,0.0,0.0,0.000729483282674772,0.0,0.006419507586659919,0.560790273556231,0.28883862495422363,0.0,0.28883862495422363
0.95,0.0,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,167.0,303.0,0.46048632218844987,0.25379939209726443,472.0,0.21398305084745764,1.0,0.9545454545454546,17.91,0.027218844984802433,0.10724550898203593,43.050000000000004,-25.14,0.21443768996960486,0.0,0.007825308805305088,0.5395136778115501,0.5201493509344061,0.42616033755274263,0.09398901338166343
0.95,0.01,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,111.0,206.0,0.3130699088145897,0.16869300911854104,472.0,0.1440677966101695,1.0,0.9534883720930233,14.95,0.022720364741641335,0.1346846846846847,29.91,-14.959999999999997,0.1425987841945289,0.0,0.007825308805305088,0.5395136778115501,0.5143007431794366,0.4171779141104294,0.09712282906900721
0.95,0.02,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,63.0,132.0,0.2006079027355623,0.09574468085106383,472.0,0.06991525423728813,1.0,0.9333333333333333,5.33,0.008100303951367781,0.08460317460317461,15.15,-9.82,0.08623100303951367,0.0,0.007825308805305088,0.5395136778115501,0.48633618256851685,0.3235294117647059,0.16280677080381095
0.95,0.03,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,29.0,59.0,0.08966565349544073,0.044072948328267476,472.0,0.02754237288135593,1.0,0.875,0.4600000000000002,0.0006990881458966568,0.015862068965517253,5.51,-5.05,0.038480243161094226,0.0,0.007825308805305088,0.5395136778115501,0.4960884140543885,0.3023255813953488,0.1937628326590397
0.95,0.05,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,1.0,7.0,0.010638297872340425,0.001519756838905775,472.0,0.00211864406779661,,,0.41000000000000003,0.0006231003039513678,0.41000000000000003,0.41000000000000003,0.0,0.005592705167173253,0.0,0.007825308805305088,0.5395136778115501,0.4918325388765635,0.14285714285714285,0.3489753960194206
