bin_index,limit_price,empirical_gc,mean_h2_gc,upper_0.8,upper_0.9,upper_0.95
0,0.01,0.0,0.008993743918836117,0.01612551760757035,0.02299004270077471,0.029806673773350886
0,0.02,0.0,0.018637698143720627,0.01612551760757035,0.02299004270077471,0.029806673773350886
0,0.03,0.0,0.028049875050783157,0.01612551760757035,0.02299004270077471,0.029806673773350886
0,0.04,0.01020408163265306,0.034273743629455566,0.029942423559697215,0.03872111896922205,0.047021239728140644
0,0.05,0.01020408163265306,0.04428580775856972,0.029942423559697215,0.03872111896922205,0.047021239728140644
0,0.06,0.01020408163265306,0.05614957958459854,0.029942423559697215,0.03872111896922205,0.047021239728140644
0,0.07,0.02040816326530612,0.062434177845716476,0.04272704329366381,0.05286513659686045,0.0622280956867187
0,0.08,0.02040816326530612,0.07065854966640472,0.04272704329366381,0.05286513659686045,0.0622280956867187
0,0.09,0.030612244897959183,0.07990862429141998,0.05500193021831546,0.06623584074530633,0.0764570956032081
0,0.1,0.05102040816326531,0.09479875862598419,0.0786863305246063,0.09166826886340322,0.10325709754800565
0,0.11,0.061224489795918366,0.10866769403219223,0.09024421744536533,0.10395467590566797,0.1161118434387964
0,0.12,0.07142857142857142,0.12088747322559357,0.10166567714182573,0.11603482550523113,0.12870460304827244
0,0.13,0.09183673469387756,0.1309157907962799,0.12418870556816415,0.13971137752690063,0.15327514365732645
0,0.14,0.10204081632653061,0.14492253959178925,0.1353206398785102,0.15135364543579527,0.16531105635555593
0,0.15,0.10204081632653061,0.15729787945747375,0.1353206398785102,0.15135364543579527,0.16531105635555593
0,0.16,0.10204081632653061,0.16876037418842316,0.1353206398785102,0.15135364543579527,0.16531105635555593
0,0.17,0.12244897959183673,0.18101388216018677,0.15737654859903333,0.17432350931216048,0.1889822835344356
0,0.18,0.14285714285714285,0.19587792456150055,0.1792010954316656,0.19694319219570927,0.2122074714860211
0,0.19,0.15306122448979592,0.20586428046226501,0.19003940712748243,0.20814105921353937,0.22367737538144403
0,0.2,0.15306122448979592,0.2197435200214386,0.19003940712748243,0.20814105921353937,0.22367737538144403
0,0.21,0.16326530612244897,0.232627272605896,0.2008336119068674,0.21927213865380574,0.23506214608566636
0,0.22,0.17346938775510204,0.24248839914798737,0.21158688858815497,0.23034123668946171,0.24636789505786097
0,0.23,0.20408163265306123,0.2537226974964142,0.24362675007767406,0.26321535509380045,0.279860255674997
0,0.24,0.22448979591836735,0.2639271020889282,0.2648236042071358,0.284884421437408,0.3018734057488959
0,0.25,0.23469387755102042,0.2801048457622528,0.2753779808024401,0.2956522114790731,0.3127948231916118
0,0.26,0.25510204081632654,0.29637643694877625,0.296405020522038,0.31706397015394255,0.334479649518096
0,0.27,0.2653061224489796,0.3082989752292633,0.30687984575850064,0.32771121070362424,0.34524722553895343
0,0.28,0.2653061224489796,0.3194759786128998,0.30687984575850064,0.32771121070362424,0.34524722553895343
0,0.29,0.2755102040816326,0.3332464396953583,0.3173301361211222,0.3383212680102421,0.35596734219177417
0,0.3,0.2857142857142857,0.3509760797023773,0.3277567222120373,0.348895399273573,0.3666416011452142
0,0.31,0.29591836734693877,0.3622583746910095,0.33816035483833384,0.35943474099998407,0.37727145046159916
0,0.32,0.3163265306122449,0.3766506612300873,0.3589014147124997,0.38041307512977207,0.39840304193994847
0,0.33,0.32653061224489793,0.3940030336380005,0.36924001648231225,0.3908538457362322,0.40890705032889224
0,0.34,0.336734693877551,0.41615426540374756,0.3795580256060673,0.4012634010135088,0.41937120417250695
0,0.35,0.37755102040816324,0.4426157772541046,0.42063269537697934,0.4426024310811339,0.4608457986299014
0,0.36,0.40816326530612246,0.46111059188842773,0.4512410446116137,0.4733070658140197,0.49156912738063696
0,0.37,0.4387755102040816,0.48146501183509827,0.4816875988112744,0.5037664153906907,0.5219792264734808
0,0.38,0.4489795918367347,0.4982675313949585,0.4918013272796981,0.5138662844211347,0.5320479277232164
0,0.39,0.47959183673469385,0.5147221684455872,0.5220387973780742,0.5440086570974816,0.5620532385982524
0,0.4,0.5102040816326531,0.5472429990768433,0.5521220168170886,0.5739171880428169,0.591759931227139
0,0.41,0.5102040816326531,0.5717597007751465,0.5521220168170886,0.5739171880428169,0.591759931227139
0,0.42,0.5204081632653061,0.5897794961929321,0.5621155752064073,0.5838348815926755,0.6015959934415591
0,0.43,0.5306122448979592,0.6092724800109863,0.5720920077561438,0.5937266143666955,0.6113989054194002
0,0.44,0.5306122448979592,0.6348137259483337,0.5720920077561438,0.5937266143666955,0.6113989054194002
0,0.45,0.5408163265306123,0.6609411239624023,0.5820512618961499,0.6035923072987115,0.6211685669556994
0,0.46,0.5816326530612245,0.6860610842704773,0.6217146837286701,0.6427919513861908,0.6599112430462184
0,0.47,0.6530612244897959,0.7120159864425659,0.6904314538329045,0.7103392346744002,0.7263678024581901
