t_follow,t_reversal,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.5,0.25,7468.0,0.9492501339046598,0.6575449569976545,0.6439114391143912,0.6507281980560229,0.6411355115158007,0.6512907321201862,0.5412611087600507,0.4587388912399492,0.5,0.25,7089.0,3837.0,3252.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2872254954472415,0.5753367007489694,0.49923026824698186,3837.0,3252.0,7089.0,0.9492501339046598,0.6512907321201862,4825.0,0.9568911917098446,1.0,4617.0,2643.0,0.9353007945516458,0.0,2472.0
0.5,0.275,7468.0,0.9492501339046598,0.6575449569976545,0.6439114391143912,0.6507281980560229,0.6411355115158007,0.6512907321201862,0.5412611087600507,0.4587388912399492,0.5,0.275,7089.0,3837.0,3252.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2872254954472415,0.5753367007489694,0.49923026824698186,3837.0,3252.0,7089.0,0.9492501339046598,0.6512907321201862,4825.0,0.9568911917098446,1.0,4617.0,2643.0,0.9353007945516458,0.0,2472.0
0.5,0.3,7468.0,0.9492501339046598,0.6575449569976545,0.6439114391143912,0.6507281980560229,0.6411355115158007,0.6512907321201862,0.5412611087600507,0.4587388912399492,0.5,0.3,7089.0,3837.0,3252.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2872254954472415,0.5753367007489694,0.49923026824698186,3837.0,3252.0,7089.0,0.9492501339046598,0.6512907321201862,4825.0,0.9568911917098446,1.0,4617.0,2643.0,0.9353007945516458,0.0,2472.0
0.5,0.325,7468.0,0.9492501339046598,0.6575449569976545,0.6439114391143912,0.6507281980560229,0.6411355115158007,0.6512907321201862,0.5412611087600507,0.4587388912399492,0.5,0.325,7089.0,3837.0,3252.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2872254954472415,0.5753367007489694,0.49923026824698186,3837.0,3252.0,7089.0,0.9492501339046598,0.6512907321201862,4825.0,0.9568911917098446,1.0,4617.0,2643.0,0.9353007945516458,0.0,2472.0
0.5,0.35,7468.0,0.9492501339046598,0.6575449569976545,0.6439114391143912,0.6507281980560229,0.6411355115158007,0.6512907321201862,0.5412611087600507,0.4587388912399492,0.5,0.35,7089.0,3837.0,3252.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2872254954472415,0.5753367007489694,0.49923026824698186,3837.0,3252.0,7089.0,0.9492501339046598,0.6512907321201862,4825.0,0.9568911917098446,1.0,4617.0,2643.0,0.9353007945516458,0.0,2472.0
0.5,0.375,7468.0,0.9492501339046598,0.6575449569976545,0.6439114391143912,0.6507281980560229,0.6411355115158007,0.6512907321201862,0.5412611087600507,0.4587388912399492,0.5,0.375,7089.0,3837.0,3252.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2872254954472415,0.5753367007489694,0.49923026824698186,3837.0,3252.0,7089.0,0.9492501339046598,0.6512907321201862,4825.0,0.9568911917098446,1.0,4617.0,2643.0,0.9353007945516458,0.0,2472.0
0.5,0.4,7468.0,0.949384038564542,0.6575449569976545,0.6440209037811251,0.6507829303893897,0.6411355115158007,0.6513399153737659,0.5411847672778561,0.45881523272214386,0.5,0.4,7090.0,3837.0,3253.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2873594001071238,0.5753367007489694,0.4994630096307802,3837.0,3253.0,7090.0,0.949384038564542,0.6513399153737659,4825.0,0.9568911917098446,1.0,4617.0,2643.0,0.9356791524782444,0.0004043671653861706,2473.0
0.5,0.425,7468.0,0.9499196572040707,0.6577233654597552,0.6439324116743471,0.6508278885670511,0.6411355115158007,0.651395545531435,0.5411615449675783,0.45883845503242177,0.5,0.425,7094.0,3839.0,3255.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.28762720942688796,0.5754530596743677,0.4998274048445375,3839.0,3255.0,7094.0,0.9499196572040707,0.651395545531435,4825.0,0.9570984455958549,0.9997834560415765,4618.0,2643.0,0.9368142262580401,0.0016155088852988692,2476.0
0.5,0.45,7468.0,0.9532672737011249,0.6568831168831168,0.6436219027225452,0.650252509802831,0.6411355115158007,0.6507936507936508,0.5408062930186824,0.4591937069813176,0.5,0.45,7119.0,3850.0,3269.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.28749330476700596,0.576963590243838,0.49828673702876936,3850.0,3269.0,7119.0,0.9532672737011249,0.6507936507936508,4825.0,0.9597927461139897,0.9969768948391277,4631.0,2643.0,0.9413545213772229,0.006430868167202572,2488.0
0.5,0.475,7468.0,0.9638457418318157,0.654994850669413,0.6412190706095353,0.6481069606394742,0.6411355115158007,0.6486524034454015,0.5395943317588219,0.4604056682411781,0.5,0.475,7198.0,3884.0,3314.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2865559721478308,0.5819320276819213,0.4924217237007956,3884.0,3314.0,7198.0,0.9638457418318157,0.6486524034454015,4825.0,0.9687046632124352,0.9878048780487805,4674.0,2643.0,0.9549754067347711,0.020602218700475437,2524.0
0.525,0.25,7468.0,0.8678361006963042,0.664033850493653,0.6529291553133515,0.6584815029035023,0.6411355115158007,0.6590032402407036,0.5469834902021293,0.4530165097978707,0.525,0.25,6481.0,3545.0,2936.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2759775040171397,0.5439938403507729,0.5073173325624175,3545.0,2936.0,6481.0,0.8678361006963042,0.6590032402407036,4825.0,0.8851813471502591,1.0,4271.0,2643.0,0.8361710177828225,0.0,2210.0
0.525,0.275,7468.0,0.8678361006963042,0.664033850493653,0.6529291553133515,0.6584815029035023,0.6411355115158007,0.6590032402407036,0.5469834902021293,0.4530165097978707,0.525,0.275,6481.0,3545.0,2936.0,0.6980303236560473,0.2194073726069125,0.6276137918385261,0.2759775040171397,0.5439938403507729,0.5073173325624175,3545.0,2936.0,6481.0,0.8678361006963042,0.6590032402407036,4825.0,0.8851813471502591,1.0,4271.0,2643.0,0.8361710177828225,0.0,2210.0
