t_follow,t_reversal,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.5,0.25,7468.0,0.8967595072308516,0.6615511098931214,0.6538713910761155,0.6577112504846184,0.6373861810391002,0.6580558459011497,0.5448708376885173,0.45512916231148276,0.5,0.25,6697.0,3649.0,3048.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2834761649705409,0.5537523554172527,0.5119186621914077,3649.0,3048.0,6697.0,0.8967595072308516,0.6580558459011497,4825.0,0.9133678756476684,1.0,4407.0,2643.0,0.8664396519107075,0.0,2290.0
0.5,0.275,7468.0,0.8967595072308516,0.6615511098931214,0.6538713910761155,0.6577112504846184,0.6373861810391002,0.6580558459011497,0.5448708376885173,0.45512916231148276,0.5,0.275,6697.0,3649.0,3048.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2834761649705409,0.5537523554172527,0.5119186621914077,3649.0,3048.0,6697.0,0.8967595072308516,0.6580558459011497,4825.0,0.9133678756476684,1.0,4407.0,2643.0,0.8664396519107075,0.0,2290.0
0.5,0.3,7468.0,0.8967595072308516,0.6615511098931214,0.6538713910761155,0.6577112504846184,0.6373861810391002,0.6580558459011497,0.5448708376885173,0.45512916231148276,0.5,0.3,6697.0,3649.0,3048.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2834761649705409,0.5537523554172527,0.5119186621914077,3649.0,3048.0,6697.0,0.8967595072308516,0.6580558459011497,4825.0,0.9133678756476684,1.0,4407.0,2643.0,0.8664396519107075,0.0,2290.0
0.5,0.325,7468.0,0.8967595072308516,0.6615511098931214,0.6538713910761155,0.6577112504846184,0.6373861810391002,0.6580558459011497,0.5448708376885173,0.45512916231148276,0.5,0.325,6697.0,3649.0,3048.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2834761649705409,0.5537523554172527,0.5119186621914077,3649.0,3048.0,6697.0,0.8967595072308516,0.6580558459011497,4825.0,0.9133678756476684,1.0,4407.0,2643.0,0.8664396519107075,0.0,2290.0
0.5,0.35,7468.0,0.8967595072308516,0.6615511098931214,0.6538713910761155,0.6577112504846184,0.6373861810391002,0.6580558459011497,0.5448708376885173,0.45512916231148276,0.5,0.35,6697.0,3649.0,3048.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2834761649705409,0.5537523554172527,0.5119186621914077,3649.0,3048.0,6697.0,0.8967595072308516,0.6580558459011497,4825.0,0.9133678756476684,1.0,4407.0,2643.0,0.8664396519107075,0.0,2290.0
0.5,0.375,7468.0,0.897027316550616,0.6617365105450561,0.6538713910761155,0.6578039508105857,0.6373861810391002,0.658157934020003,0.5450067174205105,0.45499328257948946,0.5,0.375,6699.0,3651.0,3048.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.28374397429030535,0.5537523554172527,0.5124022887026893,3651.0,3048.0,6699.0,0.897027316550616,0.658157934020003,4825.0,0.9133678756476684,1.0,4407.0,2643.0,0.8671963677639046,0.0008726003490401396,2292.0
0.5,0.4,7468.0,0.8974290305302625,0.661829134720701,0.6537704918032787,0.6577998132619899,0.6373861810391002,0.6581617427633543,0.5449119665771411,0.45508803342285886,0.5,0.4,6702.0,3652.0,3050.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.28387787895018757,0.5538732488485406,0.5125322075769999,3652.0,3050.0,6702.0,0.8974290305302625,0.6581617427633543,4825.0,0.9135751295336788,0.9997731397459165,4408.0,2643.0,0.8679530836171018,0.0017436791630340018,2294.0
0.5,0.425,7468.0,0.9010444563470809,0.6612991266375546,0.6535073409461664,0.6574032337918605,0.6373861810391002,0.6577500371526229,0.5445088423242681,0.4554911576757319,0.5,0.425,6729.0,3664.0,3065.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.28427959292983385,0.5553219171873406,0.5119185541418685,3664.0,3065.0,6729.0,0.9010444563470809,0.6577500371526229,4825.0,0.9160621761658031,0.9970588235294118,4420.0,2643.0,0.8736284525160802,0.00822867042009528,2309.0
0.5,0.45,7468.0,0.9136314943760043,0.6592073335130763,0.649325626204239,0.6542664798586576,0.6373861810391002,0.654697347207973,0.5436025208852411,0.4563974791147589,0.5,0.45,6823.0,3709.0,3114.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.28267273701124795,0.5616755101322989,0.5032669787305953,3709.0,3114.0,6823.0,0.9136314943760043,0.654697347207973,4825.0,0.9270466321243523,0.9852448021462106,4473.0,2643.0,0.8891411275066212,0.02553191489361702,2350.0
0.5,0.475,7468.0,0.9433583288698447,0.6528795811518324,0.6455813953488372,0.6492304882503348,0.6373861810391002,0.6495386799148332,0.5422285308729595,0.4577714691270405,0.5,0.475,7045.0,3820.0,3225.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.28213711837171923,0.5749874826890258,0.49068393115665315,3820.0,3225.0,7045.0,0.9433583288698447,0.6495386799148332,4825.0,0.9504663212435234,0.9609681639773223,4586.0,2643.0,0.9303821415058645,0.06872712484749899,2459.0
0.525,0.25,7468.0,0.8224424209962506,0.6702253855278766,0.6642599277978339,0.6672426566628553,0.6373861810391002,0.6675350048844024,0.5490068381634646,0.4509931618365353,0.525,0.25,6142.0,3372.0,2770.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2755757900374932,0.5229085154014789,0.5270057417709321,3372.0,2770.0,6142.0,0.8224424209962506,0.6675350048844024,4825.0,0.8497409326424871,1.0,4100.0,2643.0,0.7726068861142641,0.0,2042.0
0.525,0.275,7468.0,0.8224424209962506,0.6702253855278766,0.6642599277978339,0.6672426566628553,0.6373861810391002,0.6675350048844024,0.5490068381634646,0.4509931618365353,0.525,0.275,6142.0,3372.0,2770.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2755757900374932,0.5229085154014789,0.5270057417709321,3372.0,2770.0,6142.0,0.8224424209962506,0.6675350048844024,4825.0,0.8497409326424871,1.0,4100.0,2643.0,0.7726068861142641,0.0,2042.0
0.525,0.3,7468.0,0.8224424209962506,0.6702253855278766,0.6642599277978339,0.6672426566628553,0.6373861810391002,0.6675350048844024,0.5490068381634646,0.4509931618365353,0.525,0.3,6142.0,3372.0,2770.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2755757900374932,0.5229085154014789,0.5270057417709321,3372.0,2770.0,6142.0,0.8224424209962506,0.6675350048844024,4825.0,0.8497409326424871,1.0,4100.0,2643.0,0.7726068861142641,0.0,2042.0
0.525,0.325,7468.0,0.8224424209962506,0.6702253855278766,0.6642599277978339,0.6672426566628553,0.6373861810391002,0.6675350048844024,0.5490068381634646,0.4509931618365353,0.525,0.325,6142.0,3372.0,2770.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2755757900374932,0.5229085154014789,0.5270057417709321,3372.0,2770.0,6142.0,0.8224424209962506,0.6675350048844024,4825.0,0.8497409326424871,1.0,4100.0,2643.0,0.7726068861142641,0.0,2042.0
0.525,0.35,7468.0,0.8224424209962506,0.6702253855278766,0.6642599277978339,0.6672426566628553,0.6373861810391002,0.6675350048844024,0.5490068381634646,0.4509931618365353,0.525,0.35,6142.0,3372.0,2770.0,0.6975460429274479,0.21950794574382834,0.6276131105635633,0.2755757900374932,0.5229085154014789,0.5270057417709321,3372.0,2770.0,6142.0,0.8224424209962506,0.6675350048844024,4825.0,0.8497409326424871,1.0,4100.0,2643.0,0.7726068861142641,0.0,2042.0
