override_threshold,max_base_confidence,min_first_minute_abs_return,min_follow_reversal_probability,low_risk_filter_threshold,low_follow_filter_threshold,max_continuation_risk,max_continuation_follow_reversal,include_abstains,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.4,0.15,0.0,0.0,0.5,0.45,0.5,0.55,False,7468.0,0.6863952865559722,0.625837676842889,0.6012295081967213,0.6135335925198051,0.6491697911087306,0.6141240733515412,0.5239953179867343,0.4760046820132657,0.4,0.5,5126.0,2686.0,2440.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.15666845206213179,0.5146488290542592,0.3044181648096479,2686.0,2440.0,5126.0,0.6863952865559722,0.6141240733515412,4825.0,0.7015544041450777,0.6493353028064993,3385.0,2643.0,0.6587211502080969,0.5456634118322803,1741.0
0.4,0.15,0.0,0.0,0.5,0.45,0.5,0.55,True,7468.0,0.734467059453669,0.6171526586620927,0.5953307392996109,0.6062416989808518,0.6491697911087306,0.6069279854147676,0.5314494074749316,0.46855059252506837,0.4,0.5,5485.0,2915.0,2570.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.15707016604177826,0.5373066598376995,0.2923287161361881,2915.0,2570.0,5485.0,0.734467059453669,0.6069279854147676,4825.0,0.7384455958549223,0.6168958742632613,3563.0,2643.0,0.7272039349224366,0.5884495317377731,1922.0
0.4,0.15,0.0,0.0,0.5,0.45,0.5,0.65,False,7468.0,0.7070166041778254,0.6260775862068966,0.6017628205128205,0.6139202033598585,0.6491697911087306,0.6145833333333334,0.5272727272727272,0.4727272727272727,0.4,0.5,5280.0,2784.0,2496.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.16202463845741838,0.5220114777092584,0.31038520296226185,2784.0,2496.0,5280.0,0.7070166041778254,0.6145833333333334,4825.0,0.7216580310880829,0.6591039632395175,3482.0,2643.0,0.6802875520242149,0.5283648498331479,1798.0
0.4,0.15,0.0,0.0,0.5,0.45,0.5,0.65,True,7468.0,0.7550883770755222,0.6176568204447395,0.595963442498096,0.6068101314714177,0.6491697911087306,0.6075545309452031,0.5343145947863096,0.4656854052136904,0.4,0.5,5639.0,3013.0,2626.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.16242635243706482,0.5443629417210807,0.29837878369076865,3013.0,2626.0,5639.0,0.7550883770755222,0.6075545309452031,4825.0,0.7585492227979275,0.6270491803278688,3660.0,2643.0,0.7487703367385546,0.5715007579585649,1979.0
0.4,0.15,0.0,0.0,0.5,0.45,0.5,1.0,False,7468.0,0.7106320299946438,0.6255805644873169,0.60207336523126,0.6138269648592884,0.6491697911087306,0.614471452798191,0.5274166195590729,0.47258338044092707,0.4,0.5,5307.0,2799.0,2508.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.1626941617568291,0.5234204181333657,0.310828840680371,2799.0,2508.0,5307.0,0.7106320299946438,0.614471452798191,4825.0,0.7249740932642487,0.6606632361349343,3498.0,2643.0,0.684449489216799,0.5251520176893312,1809.0
0.4,0.15,0.0,0.0,0.5,0.45,0.5,1.0,True,7468.0,0.7587038028923406,0.6172391017173051,0.5962850644427596,0.6067620830800324,0.6491697911087306,0.6074832333215673,0.5344158136251324,0.46558418637486765,0.4,0.5,5666.0,3028.0,2638.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.1630958757364757,0.5457141775489551,0.29886684723679297,3028.0,2638.0,5666.0,0.7587038028923406,0.6074832333215673,4825.0,0.7618652849740932,0.6286724700761698,3676.0,2643.0,0.7529322739311388,0.5683417085427136,1990.0
0.4,0.15,0.0,0.0,0.5,0.45,0.55,0.55,False,7468.0,0.775307980717729,0.6291913214990138,0.6109898107714702,0.620090566135242,0.6491697911087306,0.620552677029361,0.5253886010362694,0.47461139896373056,0.4,0.5,5790.0,3042.0,2748.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.18693090519550087,0.5423914986069693,0.34464202642482006,3042.0,2748.0,5790.0,0.775307980717729,0.620552677029361,4825.0,0.7937823834196891,0.6900783289817233,3830.0,2643.0,0.741581536133182,0.4846938775510204,1960.0
0.4,0.15,0.0,0.0,0.5,0.45,0.55,0.55,True,7468.0,0.8233797536154258,0.6212167532864568,0.6052814454482279,0.6132490993673423,0.6491697911087306,0.6137583346885672,0.5319564156773459,0.4680435843226541,0.4,0.5,6149.0,3271.0,2878.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.18733261917514726,0.5639357828867922,0.3321878569509988,3271.0,2878.0,6149.0,0.8233797536154258,0.6137583346885672,4825.0,0.8306735751295337,0.6594311377245509,4008.0,2643.0,0.8100643208475218,0.5282578234469874,2141.0
0.4,0.15,0.0,0.0,0.5,0.45,0.55,0.65,False,7468.0,0.7971344402785216,0.6295353278166773,0.6111704019921737,0.6203528649044254,0.6491697911087306,0.6208634302032588,0.5278011086846968,0.4721988913153032,0.4,0.5,5953.0,3142.0,2811.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.19268880557043383,0.5497479580262613,0.3505039041204208,3142.0,2811.0,5953.0,0.7971344402785216,0.6208634302032588,4825.0,0.8151295336787565,0.6981947622679888,3933.0,2643.0,0.7642830117290957,0.47029702970297027,2020.0
0.4,0.15,0.0,0.0,0.5,0.45,0.55,0.65,True,7468.0,0.8452062131762186,0.6217739543162266,0.6055763345800748,0.6136751444481507,0.6491697911087306,0.6142268694550064,0.5340621039290241,0.4659378960709759,0.4,0.5,6312.0,3371.0,2941.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.19309051955008041,0.571014751834897,0.338153294515779,3371.0,2941.0,6312.0,0.8452062131762186,0.6142268694550064,4825.0,0.8520207253886011,0.6679639990270008,4111.0,2643.0,0.8327657964434355,0.5138573375738301,2201.0
