blend_weight,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
1.0,0.5,0.2,7468.0,0.6859935725763256,0.6000511770726714,0.6345679012345679,0.6173095391536196,0.5883770755222282,0.6082373609213352,0.7628342767909428,0.23716572320905718,0.5,0.2,5123.0,3908.0,1215.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.1485002678093198,0.5184078050950843,0.28645453704556484,3908.0,1215.0,5123.0,0.6859935725763256,0.6082373609213352,4825.0,0.6972020725388601,0.6958977407847801,3364.0,2643.0,0.665531592886871,0.4405912450255827,1759.0
1.0,0.5,0.21,7468.0,0.6972415640064275,0.6000511770726714,0.636643571978445,0.6183473745255582,0.5883770755222282,0.6091799500672173,0.7505281352026119,0.24947186479738814,0.5,0.21,5207.0,3908.0,1299.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.15224959828602042,0.5220114777092583,0.29165948410586096,3908.0,1299.0,5207.0,0.6972415640064275,0.6091799500672173,4825.0,0.7092227979274611,0.695791934541204,3422.0,2643.0,0.6753688989784336,0.44313725490196076,1785.0
1.0,0.5,0.22,7468.0,0.7078200321371184,0.6000511770726714,0.6335268505079826,0.616789013790327,0.5883770755222282,0.6087779038970866,0.7393113885735906,0.26068861142640937,0.5,0.22,5286.0,3908.0,1378.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.15399035886448847,0.5262269820489205,0.2926310586829104,3908.0,1378.0,5286.0,0.7078200321371184,0.6087779038970866,4825.0,0.720621761658031,0.6951394880644234,3477.0,2643.0,0.684449489216799,0.4427860696517413,1809.0
1.0,0.5,0.23,7468.0,0.7175950723085164,0.6000511770726714,0.6299104066161269,0.6149807918443991,0.5883770755222282,0.6081358462399702,0.7292405299496174,0.27075947005038253,0.5,0.23,5359.0,3908.0,1451.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.15519550080342803,0.5302827413300797,0.2926655700959822,3908.0,1451.0,5359.0,0.7175950723085164,0.6081358462399702,4825.0,0.7316062176165803,0.6940509915014165,3530.0,2643.0,0.6920166477487704,0.44231820667031163,1829.0
1.0,0.5,0.24,7468.0,0.7275040171397965,0.6000511770726714,0.6308196721311475,0.6154354246019095,0.5883770755222282,0.6086876495490521,0.7193079330020247,0.28069206699797533,0.5,0.24,5433.0,3908.0,1525.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.15814140332083557,0.5335553456854129,0.29639175129561274,3908.0,1525.0,5433.0,0.7275040171397965,0.6086876495490521,4825.0,0.7419689119170985,0.6941340782122905,3580.0,2643.0,0.7010972379871359,0.4436049649217485,1853.0
1.0,0.5,0.25,7468.0,0.7366095340117836,0.6000511770726714,0.6283741368487131,0.6142126569606923,0.5883770755222282,0.6082530449009271,0.7104162879476459,0.2895837120523541,0.5,0.25,5501.0,3908.0,1593.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.15948044991965726,0.537182038089569,0.2968834372921935,3908.0,1593.0,5501.0,0.7366095340117836,0.6082530449009271,4825.0,0.7504663212435233,0.6945595139464237,3621.0,2643.0,0.7113129020052971,0.4420212765957447,1880.0
1.0,0.5,0.26,7468.0,0.747589716122121,0.6000511770726714,0.6256716417910447,0.6128614094318581,0.5883770755222282,0.6077377753895755,0.6999820884828944,0.3000179115171055,0.5,0.26,5583.0,3908.0,1675.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.16108730583824318,0.5415267353898041,0.2974687957415226,3908.0,1675.0,5583.0,0.747589716122121,0.6077377753895755,4825.0,0.7606217616580311,0.6940054495912806,3670.0,2643.0,0.7237987135830496,0.4422373235755358,1913.0
1.0,0.5,0.27,7468.0,0.7593733261917515,0.6000511770726714,0.6250709018718095,0.6125610394722405,0.5883770755222282,0.6078293070005291,0.6891200846411568,0.31087991535884324,0.5,0.27,5671.0,3908.0,1763.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.16376539903588652,0.5457141775489551,0.3000937226359588,3908.0,1763.0,5671.0,0.7593733261917515,0.6078293070005291,4825.0,0.7740932642487046,0.6934404283801874,3735.0,2643.0,0.7325009458948165,0.44266528925619836,1936.0
1.0,0.5,0.28,7468.0,0.7692822710230316,0.6000511770726714,0.6216657593903103,0.6108584682314908,0.5883770755222282,0.6069625761531767,0.6802436901653612,0.3197563098346388,0.5,0.28,5745.0,3908.0,1837.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.1645688269951795,0.5498697318583067,0.29928693554201025,3908.0,1837.0,5745.0,0.7692822710230316,0.6069625761531767,4825.0,0.7836269430051813,0.6918804549061095,3781.0,2643.0,0.7430949678395763,0.4434826883910387,1964.0
1.0,0.5,0.29,7468.0,0.7789234065345474,0.6000511770726714,0.6196961760083813,0.6098736765405264,0.5883770755222282,0.6064981949458483,0.6718239642427368,0.3281760357572632,0.5,0.29,5817.0,3908.0,1909.0,0.6295692550879273,0.26206578254793766,0.7458750862428396,0.165907873594001,0.553631435587136,0.29967206146459646,3908.0,1909.0,5817.0,0.7789234065345474,0.6064981949458483,4825.0,0.7921243523316062,0.6912611198325485,3822.0,2643.0,0.7548240635641317,0.44411027568922307,1995.0
