blend_weight,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
1.0,0.5,0.2,7468.0,0.5428494911622924,0.6570471527956712,0.8439306358381503,0.7504888943169108,0.6468934118907338,0.6650222002960039,0.9573260976813024,0.04267390231869758,0.5,0.2,4054.0,3881.0,173.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.17916443492233522,0.42642998032499846,0.42014971551903363,3881.0,173.0,4054.0,0.5428494911622924,0.6650222002960039,4825.0,0.5597927461139897,0.9403924472417623,2701.0,2643.0,0.5119182746878547,0.11529933481152993,1353.0
1.0,0.5,0.21,7468.0,0.5484734868773433,0.6570471527956712,0.813953488372093,0.7355003205838822,0.6468934118907338,0.665283203125,0.947509765625,0.052490234375,0.5,0.21,4096.0,3881.0,215.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.18130690948044992,0.42846620484986525,0.4231533489181018,3881.0,215.0,4096.0,0.5484734868773433,0.665283203125,4825.0,0.5658031088082901,0.941025641025641,2730.0,2643.0,0.516836927733636,0.11420204978038068,1366.0
1.0,0.5,0.22,7468.0,0.5543652919121586,0.6570471527956712,0.803088803088803,0.7300679779422371,0.6468934118907338,0.6661835748792271,0.93743961352657,0.06256038647342996,0.5,0.22,4140.0,3881.0,259.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.18425281199785756,0.43018163600640896,0.4283139878037763,3881.0,259.0,4140.0,0.5543652919121586,0.6661835748792271,4825.0,0.5726424870466321,0.9417300036192544,2763.0,2643.0,0.5209988649262202,0.11328976034858387,1377.0
1.0,0.5,0.23,7468.0,0.5617300482056775,0.6570471527956712,0.7834394904458599,0.7202433216207655,0.6468934118907338,0.666507747318236,0.9251489868891537,0.07485101311084624,0.5,0.23,4195.0,3881.0,314.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.18706480985538299,0.432819384010406,0.43220062863655273,3881.0,314.0,4195.0,0.5617300482056775,0.666507747318236,4825.0,0.5805181347150259,0.9425205283827205,2801.0,2643.0,0.5274309496783958,0.11190817790530846,1394.0
1.0,0.5,0.24,7468.0,0.5700321371183718,0.6570471527956712,0.776595744680851,0.7168214487382611,0.6468934118907338,0.6676062955132722,0.9116748884190745,0.08832511158092553,0.5,0.24,4257.0,3881.0,376.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.19108194965184785,0.43528736914050464,0.4389788521296819,3881.0,376.0,4257.0,0.5700321371183718,0.6676062955132722,4825.0,0.5900518134715026,0.9434492448191079,2847.0,2643.0,0.5334846765039728,0.11063829787234042,1410.0
1.0,0.5,0.25,7468.0,0.5787359400107124,0.6570471527956712,0.7664399092970522,0.7117435310463617,0.6468934118907338,0.6682091624248033,0.8979639055992596,0.10203609440074039,0.5,0.25,4322.0,3881.0,441.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.1946973754686663,0.4382000482325658,0.4443116249164231,3881.0,441.0,4322.0,0.5787359400107124,0.6682091624248033,4825.0,0.5995854922279793,0.944348427238161,2893.0,2643.0,0.5406734771093454,0.10916724982505248,1429.0
1.0,0.5,0.26,7468.0,0.5883770755222282,0.6570471527956712,0.7602339181286549,0.708640535462163,0.6468934118907338,0.6690942193900774,0.8832498862084661,0.11675011379153391,0.5,0.26,4394.0,3881.0,513.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.1989823245848956,0.4412452554630659,0.45095629272222565,3881.0,513.0,4394.0,0.5883770755222282,0.6690942193900774,4825.0,0.6103626943005181,0.9453310696095076,2945.0,2643.0,0.5482406356413166,0.10766045548654245,1449.0
1.0,0.5,0.27,7468.0,0.5998928762720943,0.6570471527956712,0.7579298831385642,0.7074885179671178,0.6468934118907338,0.6705357142857142,0.8662946428571429,0.13370535714285714,0.5,0.27,4480.0,3881.0,599.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.20460632029994638,0.4445708919689569,0.4602332811169145,3881.0,599.0,4480.0,0.5998928762720943,0.6705357142857142,4825.0,0.6236269430051814,0.9464938517779994,3009.0,2643.0,0.5565645100264851,0.10605030591434399,1471.0
1.0,0.5,0.28,7468.0,0.6156936261381896,0.6570471527956712,0.7573221757322176,0.7071846642639443,0.6468934118907338,0.6726837755545889,0.8440626359286646,0.15593736407133538,0.5,0.28,4598.0,3881.0,717.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.2126405998928762,0.4489170448119081,0.4736745961204716,3881.0,717.0,4598.0,0.6156936261381896,0.6726837755545889,4825.0,0.6420725388601036,0.94770819883796,3098.0,2643.0,0.5675368898978433,0.10466666666666667,1500.0
1.0,0.5,0.29,7468.0,0.6296197107659347,0.6570471527956712,0.7454323995127893,0.7012397761542302,0.6468934118907338,0.672479795831561,0.8253934495959167,0.17460655040408338,0.5,0.29,4702.0,3881.0,821.0,0.6946517027152461,0.2210823371363136,0.6323041222485293,0.21719335832886985,0.45410700965579953,0.47828673354656287,3881.0,821.0,4702.0,0.6296197107659347,0.672479795831561,4825.0,0.656580310880829,0.9485479797979798,3168.0,2643.0,0.5804010594021944,0.10234680573663625,1534.0
