blend_weight,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.25,0.5,0.2,7468.0,0.6173004820567756,0.6480879780054987,0.7881773399014779,0.7181326589534882,0.6423406534547402,0.6665943600867679,0.8678958785249458,0.13210412147505424,0.5,0.2,4610.0,4001.0,609.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.20567755757900372,0.45366448201163595,0.4533693196941266,4001.0,609.0,4610.0,0.6173004820567756,0.6665943600867679,4825.0,0.6379274611398964,0.9291747888239116,3078.0,2643.0,0.5796443435489973,0.13903394255874674,1532.0
0.25,0.5,0.21,7468.0,0.6268077129084092,0.6480879780054987,0.7720588235294118,0.7100734007674552,0.6423406534547402,0.6660969878231148,0.8547318948942534,0.14526810510574664,0.5,0.21,4681.0,4001.0,680.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.20822174611676492,0.4574855007492829,0.4551439242899138,4001.0,680.0,4681.0,0.6268077129084092,0.6660969878231148,4825.0,0.6472538860103627,0.9301953250080052,3123.0,2643.0,0.5894816496405599,0.1367137355584082,1558.0
0.25,0.5,0.22,7468.0,0.6363149437600428,0.6480879780054987,0.7709720372836218,0.7095300076445603,0.6423406534547402,0.6675084175084175,0.8419612794612794,0.15803872053872053,0.5,0.22,4752.0,4001.0,751.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.2131762185324049,0.4599666972877699,0.4634601152418542,4001.0,751.0,4752.0,0.6363149437600428,0.6675084175084175,4825.0,0.6584455958549222,0.9313818067359144,3177.0,2643.0,0.5959137343927355,0.13523809523809524,1575.0
0.25,0.5,0.23,7468.0,0.6459560792715586,0.6480879780054987,0.7703523693803159,0.7092201736929074,0.6423406534547402,0.6689469320066335,0.8293946932006634,0.17060530679933664,0.5,0.23,4824.0,4001.0,823.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.2182645956079271,0.46243458113750074,0.47199021117979084,4001.0,823.0,4824.0,0.6459560792715586,0.6689469320066335,4825.0,0.6698445595854923,0.932549504950495,3232.0,2643.0,0.602345819144911,0.13379396984924624,1592.0
0.25,0.5,0.24,7468.0,0.6580074986609534,0.6480879780054987,0.764512595837897,0.7063002869216979,0.6423406534547402,0.6697191697191697,0.8142043142043142,0.18579568579568578,0.5,0.24,4914.0,4001.0,913.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.22335297268344934,0.46618372235498745,0.4791093338805415,4001.0,913.0,4914.0,0.6580074986609534,0.6697191697191697,4825.0,0.6831088082901554,0.9338592233009708,3296.0,2643.0,0.6121831252364737,0.13164400494437578,1618.0
0.25,0.5,0.25,7468.0,0.6685859667916444,0.6480879780054987,0.7560483870967742,0.7020681825511365,0.6423406534547402,0.6695373522932105,0.8013218505908272,0.19867814940917283,0.5,0.25,4993.0,4001.0,992.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.22670058918050356,0.4700454114291197,0.4822950797269697,4001.0,992.0,4993.0,0.6685859667916444,0.6695373522932105,4825.0,0.6938860103626943,0.9348864994026285,3348.0,2643.0,0.6223987892546349,0.12948328267477205,1645.0
0.25,0.5,0.26,7468.0,0.6807712908409213,0.6480879780054987,0.7562326869806094,0.7021603324930541,0.6423406534547402,0.6711250983477577,0.786978756884343,0.21302124311565696,0.5,0.26,5084.0,4001.0,1083.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.2329941081949652,0.47316867111314337,0.49241237304836694,4001.0,1083.0,5084.0,0.6807712908409213,0.6711250983477577,4825.0,0.707979274611399,0.9361826697892272,3416.0,2643.0,0.6311010215664018,0.12829736211031176,1668.0
0.25,0.5,0.27,7468.0,0.6933583288698447,0.6480879780054987,0.7502124044180118,0.6991501912117553,0.6423406534547402,0.6713016608729239,0.772692159134801,0.22730784086519892,0.5,0.27,5178.0,4001.0,1177.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.23754686663095873,0.4773947330244051,0.49759004487972636,4001.0,1177.0,5178.0,0.6933583288698447,0.6713016608729239,4825.0,0.7214507772020725,0.9367997701809825,3481.0,2643.0,0.6420734014377601,0.126694166175604,1697.0
0.25,0.5,0.28,7468.0,0.7042046063202999,0.6480879780054987,0.7480127186009539,0.6980503483032263,0.6423406534547402,0.6719908727895038,0.7607910249096786,0.23920897509032135,0.5,0.28,5259.0,4001.0,1258.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.24223352972683454,0.4806095486949179,0.5040131441096272,4001.0,1258.0,5259.0,0.7042046063202999,0.6719908727895038,4825.0,0.7334715025906736,0.9378355467646228,3539.0,2643.0,0.6507756337495271,0.125,1720.0
0.25,0.5,0.29,7468.0,0.7183985002678093,0.6480879780054987,0.7375366568914956,0.6928123174484971,0.6423406534547402,0.670829450139795,0.7457595526561044,0.2542404473438956,0.5,0.29,5365.0,4001.0,1364.0,0.70243530382818,0.22036857625836553,0.6305691583226959,0.24544724156400646,0.48628759942229804,0.5047367892078554,4001.0,1364.0,5365.0,0.7183985002678093,0.670829450139795,4825.0,0.7465284974093265,0.9389228206551916,3602.0,2643.0,0.6670450245932652,0.12308564946114578,1763.0
