variant,direction,feature_count,blend_weight,coverage,accepted_sample_accuracy,selection_score,utility,accepted_count,continuation_accepted_accuracy,reversal_accepted_accuracy,accepted
impulse_meta_blend_regime_threshold,regime_threshold_and_conservative_filter,506,0.25,0.7004552758435993,0.6904989485757981,0.5731677148869168,0.2668719871451526,5231.0,0.9799275160301087,0.05900243309002433,False
direct_impulse_flow_subset,reversal_feature_refinement,569,1.0,0.7005891805034815,0.6878822629969419,0.5629739070936435,0.2632565613283342,5232.0,0.9740078256008944,0.06892382103990327,False
direct_reversal_expanded,reversal_feature_expansion,93,1.0,0.7007230851633637,0.6864131473342251,0.557315118167927,0.26124799143010174,5233.0,0.9799163179916318,0.047936893203883495,False
flow_imbalance_ablation,feature_ablation,263,1.0,0.703401178361007,0.6858937749857225,0.5563628415279218,0.26151580074986613,5253.0,0.9676519799219185,0.07978404319136173,False
asymmetric_follow_relative_meta,asymmetric_reversal_features,578,1.0,0.7013926084627745,0.6265750286368843,0.3469420531159824,0.17755757900374933,5238.0,0.7111432706222865,0.4627033090297252,False
