value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,4,1.0,0.0,0.8475422859191895,0.8391996026039124,0.8130886554718018,0.0,0.0,0.0,0.0
0.10_0.20,128,1.0,0.0,0.6313210725784302,0.6781405210494995,0.03977537155151367,0.0,0.0,0.0,0.0
0.20_0.30,764,0.930628272251309,0.0693717277486911,0.3351260721683502,0.30746617913246155,-0.2720385789871216,0.2820385694503784,0.0,0.01266600489616407,0.0938165864348412
0.30_0.40,1998,0.8858858858858859,0.11411411411411411,0.23477858304977417,0.1887778788805008,-0.2328430414199829,0.24284303188323975,0.006434750556945795,0.02858703136444077,0.09079951524734496
0.40_0.50,3077,0.8804029899252519,0.11959701007474813,0.22989073395729065,0.1977386474609375,-0.3806025981903076,0.39060258865356445,0.006820583343505867,0.03371657133102409,0.09482916831970191
0.50_0.55,1518,0.88866930171278,0.11133069828722003,0.25242576003074646,0.24663254618644714,-0.18500971794128418,0.19500970840454102,0.0045522630214691155,0.0325313091278076,0.0790794390439983
0.55_0.60,1521,0.9178172255095332,0.08218277449046679,0.2505122721195221,0.2395002841949463,-0.29661619663238525,0.3066161870956421,0.0,0.01911073923110962,0.09399552345275862
0.60_0.65,1407,0.9367448471926084,0.06325515280739161,0.24187931418418884,0.23435133695602417,-0.3278076648712158,0.33780765533447266,0.0,0.013937669992446946,0.0834107923507691
0.65_0.70,1360,0.9294117647058824,0.07058823529411765,0.23021291196346283,0.20700713992118835,-0.30322879552841187,0.3132287859916687,0.0,0.01610092222690581,0.06861604630947113
0.70_0.80,2296,0.9163763066202091,0.08362369337979095,0.20432287454605103,0.17400091886520386,-0.34047627449035645,0.3504762649536133,0.0,0.018145307898521423,0.07727368474006664
0.80_0.90,1231,0.9025182778229082,0.09748172217709179,0.16614995896816254,0.11812400817871094,-0.11971098184585571,0.12971097230911255,0.0,0.017075836658477783,0.05231643915176392
0.90_1.00,353,0.8441926345609065,0.1558073654390935,0.12940384447574615,0.08454275131225586,-0.06618320941925049,0.07618319988250732,0.015399658679962161,0.02801340818405146,0.05037961244583131
