t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.45,0.3,7716.0,0.7418351477449455,0.5381818181818182,0.6091515729265967,0.5736666955542075,0.5370658372213583,0.5511879804332634,0.07594608605495073,0.5770134581142777,0.1316192629252498,0.8167365478686234,0.18326345213137665,0.45,0.3,5724.0,4675.0,1049.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.305,7716.0,0.7467599792638673,0.5381818181818182,0.6071757129714811,0.5726787655766497,0.5370658372213583,0.5511975008677542,0.07646448937273193,0.5789194632637321,0.1320813933973711,0.8113502256161055,0.1886497743838945,0.45,0.305,5762.0,4675.0,1087.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.31,7716.0,0.7532400207361327,0.5381818181818182,0.6033421284080914,0.5707619732949548,0.5370658372213583,0.550929112181693,0.0767236910316226,0.5815996602924172,0.1319183903805023,0.8043702684101858,0.19562973158981417,0.45,0.31,5812.0,4675.0,1137.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.315,7716.0,0.7594608605495076,0.5381818181818182,0.6,0.5690909090909091,0.5370658372213583,0.5506825938566553,0.07698289269051324,0.5841566433153843,0.13178467380529374,0.7977815699658704,0.2022184300341297,0.45,0.315,5860.0,4675.0,1185.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.32,7716.0,0.7643856920684292,0.5381818181818182,0.6001635322976288,0.5691726752397235,0.5370658372213583,0.5510342488979315,0.07801969932607569,0.5858182280973995,0.13318073010371395,0.7926415734147169,0.20735842658528314,0.45,0.32,5898.0,4675.0,1223.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.325,7716.0,0.7708657335406947,0.5381818181818182,0.5954438334642577,0.5668128258230379,0.5370658372213583,0.5504371217215871,0.07776049766718508,0.588687198719961,0.13209136844875713,0.7859784801613988,0.2140215198386012,0.45,0.325,5948.0,4675.0,1273.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.33,7716.0,0.7770865733540695,0.5381818181818182,0.595003785011355,0.5665928015965866,0.5370658372213583,0.5507004669779854,0.07879730430274759,0.5908846203157271,0.13335480666368313,0.7796864576384256,0.22031354236157438,0.45,0.33,5996.0,4675.0,1321.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.335,7716.0,0.7842146189735615,0.5381818181818182,0.595203488372093,0.5666926532769556,0.5370658372213583,0.5511485704842175,0.08022291342664596,0.5932923838829028,0.13521648955210494,0.7725995703189555,0.22740042968104446,0.45,0.335,6051.0,4675.0,1376.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.34,7716.0,0.7923794712286159,0.5381818181818182,0.5962473940236275,0.5672146061027228,0.5370658372213583,0.5518482172064115,0.08216692586832558,0.5959079397693449,0.1378852678152426,0.7646385345109584,0.23536146548904155,0.45,0.34,6114.0,4675.0,1439.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.345,7716.0,0.7998963193364438,0.5381818181818182,0.5958583834335337,0.567020100807676,0.5370658372213583,0.5521710952689566,0.08346293416277865,0.5985120655315418,0.13945071280836213,0.757453013609851,0.24254698639014907,0.45,0.345,6172.0,4675.0,1497.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.35,7716.0,0.8078019699326076,0.5381818181818182,0.5943517329910141,0.5662667755864161,0.5370658372213583,0.5522220439595701,0.08437013996889589,0.6014282292858025,0.1402829728645854,0.7500401090967431,0.24995989090325685,0.45,0.35,6233.0,4675.0,1558.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.355,7716.0,0.8148004147226542,0.5381818181818182,0.5905707196029777,0.5643762688923979,0.5370658372213583,0.5516144425003976,0.0841109383100051,0.6044375387137405,0.13915571572373792,0.7435979004294576,0.2564020995705424,0.45,0.355,6287.0,4675.0,1612.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.36,7716.0,0.8228356661482633,0.5381818181818182,0.5854241338112306,0.5618029759965244,0.5370658372213583,0.5506378957316113,0.0833333333333333,0.6080716786756846,0.137045246893959,0.7363364309340054,0.26366356906599464,0.45,0.36,6349.0,4675.0,1674.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.365,7716.0,0.8329445308449974,0.5381818181818182,0.5799086757990868,0.5590452469904525,0.5370658372213583,0.5495565582697993,0.08255572835666154,0.612531143081042,0.13477800972111367,0.7274000311187179,0.2725999688812821,0.45,0.365,6427.0,4675.0,1752.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.37,7716.0,0.8404613789528252,0.5381818181818182,0.5762430939226519,0.5572124560522351,0.5370658372213583,0.548804934464148,0.08203732503888023,0.6158019380912767,0.13322030991516678,0.7208943716268311,0.2791056283731688,0.45,0.37,6485.0,4675.0,1810.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.375,7716.0,0.8497926386728875,0.5381818181818182,0.5738575982996812,0.5560197082407496,0.5370658372213583,0.5484215342382187,0.08229652669777088,0.6194740155870609,0.13284903745281454,0.7129784962635352,0.28702150373646484,0.45,0.375,6557.0,4675.0,1882.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.38,7716.0,0.8595127008812856,0.5381818181818182,0.5717935615738375,0.5549876898778279,0.5370658372213583,0.5481001206272618,0.0826853291861068,0.6232284379323438,0.13267258705399915,0.7049155609167672,0.2950844390832328,0.45,0.38,6632.0,4675.0,1957.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.385,7716.0,0.8668999481596682,0.5381818181818182,0.5675273088381331,0.5528545635099756,0.5370658372213583,0.5470174914037973,0.08151892172109904,0.6266502319630023,0.13008679732829326,0.6989086560023919,0.301091343997608,0.45,0.385,6689.0,4675.0,2014.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.39,7716.0,0.8758424053913945,0.5381818181818182,0.5698511761881901,0.5540164971850041,0.5370658372213583,0.5479431784551643,0.08398133748055991,0.6292301120857275,0.13346681264535243,0.691772713820657,0.308227286179343,0.45,0.39,6758.0,4675.0,2083.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.395,7716.0,0.8846552617936755,0.5381818181818182,0.5643886564388656,0.5512852373103418,0.5370658372213583,0.5464400820392616,0.08216692586832555,0.6334383695062015,0.12971573845831125,0.6848813360679754,0.3151186639320246,0.45,0.395,6826.0,4675.0,2151.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.4,7716.0,0.8933385173665112,0.5381818181818182,0.5622182146077548,0.5502000163947864,0.5370658372213583,0.5459161468156101,0.08203732503888031,0.6369070545721843,0.1288058036882406,0.6782242855070362,0.3217757144929639,0.45,0.4,6893.0,4675.0,2218.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.405,7716.0,0.9031881804043546,0.5381818181818182,0.5636442894507411,0.5509130538162796,0.5370658372213583,0.5465633519873726,0.0841109383100051,0.6399520458965459,0.13143318917305627,0.6708279523604534,0.32917204763954655,0.45,0.405,6969.0,4675.0,2294.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.41,7716.0,0.9127786417833074,0.5381818181818182,0.5616554054054054,0.5499186117936118,0.5370658372213583,0.5460741161436887,0.0841109383100051,0.6436876973631321,0.13067041463518056,0.663779639358228,0.33622036064177196,0.45,0.41,7043.0,4675.0,2368.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.415,7716.0,0.9248315189217211,0.5381818181818182,0.5591223080048761,0.5486520630933471,0.5370658372213583,0.5454035874439462,0.08398133748055997,0.6484019515089237,0.1295204884641748,0.6551289237668162,0.34487107623318386,0.45,0.415,7136.0,4675.0,2461.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.42,7716.0,0.9351995852773458,0.5381818181818182,0.5576544667453759,0.547918142463597,0.5370658372213583,0.5450388026607539,0.08424053913945051,0.6522879142441225,0.1291462516779408,0.6478658536585366,0.3521341463414634,0.45,0.42,7216.0,4675.0,2541.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.425,7716.0,0.9466044582685329,0.5381818181818182,0.5557246101179155,0.5469532141498669,0.5370658372213583,0.5444961664841182,0.08424053913945041,0.6566444696824464,0.12828942148890585,0.6400602409638554,0.35993975903614456,0.45,0.425,7304.0,4675.0,2629.0,0.5598507318973588,0.2591430252497046,0.717866800099093
0.45,0.43,7716.0,0.9578797304302747,0.5381818181818182,0.5537555228276878,0.5459686705047531,0.5370658372213583,0.5439047490190773,0.0841109383100052,0.6609723111145691,0.12725334616237183,0.632526045190096,0.3674739548099039,0.45,0.43,7391.0,4675.0,2716.0,0.5598507318973588,0.2591430252497046,0.717866800099093
