value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,1202,0.026622296173044926,0.9733777038269551,-0.018901711329817772,-0.018205879256129265,-0.0692790225148201,0.07927902042865753,0.051957561075687414,0.058538483642041686,0.07010544396936894
0.10_0.20,1797,0.04618809126321647,0.9538119087367836,-0.03411649912595749,-0.03235733509063721,-0.16470155119895935,0.1747015416622162,0.08097002655267717,0.0914265364408493,0.11385450810194014
0.20_0.30,2165,0.08175519630484988,0.9182448036951502,-0.0270207691937685,-0.025116562843322754,-0.16732951998710632,0.17732951045036316,0.07229413688182831,0.0852032035589218,0.12395095318555847
0.30_0.40,2451,0.09179926560587515,0.9082007343941249,-0.023375332355499268,-0.02215510606765747,-0.2372380793094635,0.24723806977272034,0.06719475984573364,0.07812784612178802,0.10769692063331604
0.40_0.50,2479,0.09721661960467931,0.9027833803953207,-0.019646668806672096,-0.018501877784729004,-0.15486031770706177,0.1648603081703186,0.060534483194351195,0.07227506041526795,0.09704601228237116
0.50_0.60,2433,0.07685984381422113,0.9231401561857788,-0.01736491546034813,-0.016559958457946777,-0.16185209155082703,0.17185208201408386,0.053224992752075206,0.06368845701217653,0.08998923301696768
0.60_0.70,1769,0.09892594686263426,0.9010740531373658,-0.01712404005229473,-0.016394853591918945,-0.20816895365715027,0.2181689441204071,0.053015828132629395,0.0671050190925598,0.09429417371749868
0.70_0.80,956,0.08472803347280335,0.9152719665271967,-0.018570467829704285,-0.017563074827194214,-0.20604431629180908,0.21604430675506592,0.05383032560348511,0.06421838700771332,0.10656352639198313
0.80_0.90,357,0.06162464985994398,0.938375350140056,-0.03199351951479912,-0.024487793445587158,-0.4721857011318207,0.4821856915950775,0.0760621547698975,0.11276925802230821,0.2154096698760986
0.90_1.00,48,0.0,1.0,-0.08831873536109924,-0.05279874801635742,-0.43665724992752075,0.4466572403907776,0.23830897212028518,0.35621200799942004,0.4460567703843117
