variant,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,coverage_constraint_satisfied,constraint_satisfied,fallback_reason,objective,hard_constraint
experiment_a_expert_only,0.45,0.3,7468.0,0.70915907873594,0.6236559139784946,0.7974683544303798,0.7105621342044373,0.6497054097482592,0.6418051359516617,0.8955815709969789,0.10441842900302115,0.45,0.3,5296.0,4743.0,553.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2011247991430102,0.5040011307491927,0.39905624585413163,4743.0,553.0,5296.0,0.70915907873594,0.6418051359516617,4825.0,0.7127461139896373,0.8929921488804885,3439.0,2643.0,0.70261066969353,0.17662897145934303,1857.0,True,,,,
experiment_a_expert_only,0.45,0.305,7468.0,0.7139796464916979,0.6236559139784946,0.7928692699490663,0.7082625919637804,0.6497054097482592,0.6423480870217554,0.8895348837209303,0.11046511627906977,0.45,0.305,5332.0,4743.0,589.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2032672737011247,0.5053278009325101,0.40224834914292085,4743.0,589.0,5332.0,0.7139796464916979,0.6423480870217554,4825.0,0.7181347150259068,0.8937950937950938,3465.0,2643.0,0.7063942489595157,0.17568291376539905,1867.0,True,,,,
experiment_a_expert_only,0.45,0.31,7468.0,0.7188002142474558,0.6236559139784946,0.7872,0.7054279569892473,0.6497054097482592,0.6426974664679582,0.8835692995529061,0.11643070044709389,0.45,0.31,5368.0,4743.0,625.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.20514193893947502,0.5067831268442058,0.40479236200486074,4743.0,625.0,5368.0,0.7188002142474558,0.6426974664679582,4825.0,0.7233160621761658,0.8945558739255014,3490.0,2643.0,0.7105561861520999,0.17465388711395102,1878.0,True,,,,
experiment_a_expert_only,0.45,0.315,7468.0,0.7236207820032137,0.6236559139784946,0.7791225416036308,0.7013892277910627,0.6497054097482592,0.6426720947446336,0.8776831976313841,0.12231680236861583,0.45,0.315,5404.0,4743.0,661.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.20648098553829672,0.5084976875389489,0.4060608152175345,4743.0,661.0,5404.0,0.7236207820032137,0.6426720947446336,4825.0,0.7280829015544041,0.8952462282949046,3513.0,2643.0,0.7154748391978812,0.17345319936541512,1891.0,True,,,,
experiment_a_expert_only,0.45,0.32,7468.0,0.7280396357793251,0.6236559139784946,0.7780979827089337,0.7008769483437142,0.6497054097482592,0.6433695052418613,0.8723560787198823,0.1276439212801177,0.45,0.32,5437.0,4743.0,694.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2087573647562935,0.5095499342670116,0.4096897099134971,4743.0,694.0,5437.0,0.7280396357793251,0.6433695052418613,4825.0,0.7332642487046632,0.8959864330130017,3538.0,2643.0,0.7185017026106697,0.17272248551869404,1899.0,True,,,,
experiment_a_expert_only,0.45,0.325,7468.0,0.732860203535083,0.6236559139784946,0.7767123287671233,0.7001841213728089,0.6497054097482592,0.6440708934770693,0.8666179426274438,0.13338205737255618,0.45,0.325,5473.0,4743.0,730.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.21116764863417245,0.510731120503201,0.41346148718354625,4743.0,730.0,5473.0,0.732860203535083,0.6440708934770693,4825.0,0.738860103626943,0.896774193548387,3565.0,2643.0,0.7219069239500567,0.1719077568134172,1908.0,True,,,,
experiment_a_expert_only,0.45,0.33,7468.0,0.7366095340117836,0.6236559139784946,0.7783641160949868,0.7010100150367407,0.6497054097482592,0.6449736411561534,0.8622068714779131,0.1377931285220869,0.45,0.33,5501.0,4743.0,758.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2135779325120514,0.5113861561969254,0.41764511988432956,4743.0,758.0,5501.0,0.7366095340117836,0.6449736411561534,4825.0,0.7436269430051814,0.8974358974358975,3588.0,2643.0,0.7237987135830496,0.17145844223732357,1913.0,True,,,,
experiment_a_expert_only,0.45,0.335,7468.0,0.7412961971076594,0.6236559139784946,0.776796973518285,0.7002264437483898,0.6497054097482592,0.645592485549133,0.8567557803468208,0.14324421965317918,0.45,0.335,5536.0,4743.0,793.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.21585431173004824,0.5125631109325032,0.42112728584260717,4743.0,793.0,5536.0,0.7412961971076594,0.645592485549133,4825.0,0.7490155440414508,0.8981737686773658,3614.0,2643.0,0.7272039349224366,0.17065556711758584,1922.0,True,,,,
experiment_a_expert_only,0.45,0.34,7468.0,0.7466523835029459,0.6236559139784946,0.773109243697479,0.6983825788379868,0.6497054097482592,0.6459827833572453,0.850609756097561,0.14939024390243902,0.45,0.34,5576.0,4743.0,833.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.21799678628816285,0.5141281927762681,0.42401251157029624,4743.0,833.0,5576.0,0.7466523835029459,0.6459827833572453,4825.0,0.7548186528497409,0.8989566172432729,3642.0,2643.0,0.7317442300416194,0.16959669079627715,1934.0,True,,,,
experiment_a_expert_only,0.45,0.345,7468.0,0.7550883770755222,0.6236559139784946,0.7678571428571429,0.6957565284178188,0.6497054097482592,0.646568540521369,0.8411065791807057,0.1588934208192942,0.45,0.345,5639.0,4743.0,896.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.22134440278521691,0.5165965419407612,0.4284666752775104,4743.0,896.0,5639.0,0.7550883770755222,0.646568540521369,4825.0,0.7639378238341968,0.9001627780792186,3686.0,2643.0,0.738933030646992,0.1679467485919099,1953.0,True,,,,
