abstain_low_conf_count,abstain_low_conf_share,active_count,active_covered_gap_norm_mean,active_covered_gap_norm_median,active_share,alpha,bucket_miss_threshold,clamp_over_pside_count,clamp_over_pside_share,coverage_feasible,coverage_overall,covered_count,covered_feasible_count,covered_gap_norm_mean,covered_gap_norm_median,covered_gap_norm_q25,covered_gap_norm_q75,delta_norm,delta_quantile,feasible_count,feasible_covered_gap_norm_mean,infeasible_count,max_possible_coverage,mean_p_pred,mean_p_side,non_active_share,sample_count,side_violation_count,side_violation_rate
1226.0,1.0,0.0,nan,nan,0.0,0.5,0.0,0.0,0.0,1.0,0.7626427406199021,935.0,935.0,1.0,1.0,1.0,1.0,-0.861168827941416,0.5,935.0,1.0,291.0,0.7626427406199021,0.5989336246857843,0.5989336246857843,1.0,1226.0,0.0,0.0
1226.0,1.0,0.0,nan,nan,0.0,0.5,0.025,0.0,0.0,1.0,0.7626427406199021,935.0,935.0,1.0,1.0,1.0,1.0,-0.861168827941416,0.5,935.0,1.0,291.0,0.7626427406199021,0.5989336246857843,0.5989336246857843,1.0,1226.0,0.0,0.0
1163.0,0.9486133768352365,15.0,0.8108683711458733,0.8511615430825772,0.012234910277324634,0.5,0.05,48.0,0.03915171288743882,0.9989304812834224,0.7618270799347472,934.0,934.0,0.9987850216561833,1.0,1.0,1.0,-0.861168827941416,0.5,935.0,0.9987850216561833,291.0,0.7626427406199021,0.5980003836176953,0.5989336246857843,0.9877650897226754,1226.0,0.0,0.0
1163.0,0.9486133768352365,15.0,0.8108683711458733,0.8511615430825772,0.012234910277324634,0.5,0.075,48.0,0.03915171288743882,0.9989304812834224,0.7618270799347472,934.0,934.0,0.9987850216561833,1.0,1.0,1.0,-0.861168827941416,0.5,935.0,0.9987850216561833,291.0,0.7626427406199021,0.5980003836176953,0.5989336246857843,0.9877650897226754,1226.0,0.0,0.0
1163.0,0.9486133768352365,15.0,0.8108683711458733,0.8511615430825772,0.012234910277324634,0.5,0.1,48.0,0.03915171288743882,0.9989304812834224,0.7618270799347472,934.0,934.0,0.9987850216561833,1.0,1.0,1.0,-0.861168827941416,0.5,935.0,0.9987850216561833,291.0,0.7626427406199021,0.5980003836176953,0.5989336246857843,0.9877650897226754,1226.0,0.0,0.0
1163.0,0.9486133768352365,15.0,0.8108683711458733,0.8511615430825772,0.012234910277324634,0.5,0.15,48.0,0.03915171288743882,0.9989304812834224,0.7618270799347472,934.0,934.0,0.9987850216561833,1.0,1.0,1.0,-0.861168827941416,0.5,935.0,0.9987850216561833,291.0,0.7626427406199021,0.5980003836176953,0.5989336246857843,0.9877650897226754,1226.0,0.0,0.0
1163.0,0.9486133768352365,15.0,0.8108683711458733,0.8511615430825772,0.012234910277324634,0.5,0.2,48.0,0.03915171288743882,0.9989304812834224,0.7618270799347472,934.0,934.0,0.9987850216561833,1.0,1.0,1.0,-0.861168827941416,0.5,935.0,0.9987850216561833,291.0,0.7626427406199021,0.5980003836176953,0.5989336246857843,0.9877650897226754,1226.0,0.0,0.0
1026.0,0.8368678629690048,75.0,0.6360309754493005,0.7236525498236667,0.061174551386623165,0.5,0.3,125.0,0.10195758564437195,0.9796791443850268,0.7471451876019576,916.0,916.0,0.9872849249065259,1.0,1.0,1.0,-0.861168827941416,0.5,935.0,0.9872849249387555,291.0,0.7626427406199021,0.593257519493934,0.5989336246857843,0.9388254486133768,1226.0,0.0,0.0
500.0,0.4078303425774878,464.0,0.46061529494568737,0.42310393341597435,0.37846655791190864,0.5,0.5,262.0,0.2137030995106036,0.825668449197861,0.6296900489396411,772.0,772.0,0.8581669752253556,1.0,0.9883151434082683,1.0,-0.861168827941416,0.5,935.0,0.8581669767965727,291.0,0.7626427406199021,0.5179186982413635,0.5989336246857843,0.6215334420880914,1226.0,0.0,0.0
0.0,0.0,959.0,0.4361178755935283,0.3997287298834792,0.7822185970636215,0.5,1.0,267.0,0.21778140293637846,0.5272727272727272,0.40212071778140296,493.0,493.0,0.5665084682554711,0.5631313317395525,0.23607589520251349,0.9885122156243217,-0.861168827941416,0.5,935.0,0.5665084732227065,291.0,0.7626427406199021,0.39744206219570094,0.5989336246857843,0.21778140293637846,1226.0,0.0,0.0
