bin_index,limit_price,empirical_gc,mean_h2_gc
0,0.01,0.0,0.008993743918836117
0,0.02,0.0,0.018637698143720627
0,0.03,0.0,0.028049875050783157
0,0.04,0.01020408163265306,0.034273743629455566
0,0.05,0.01020408163265306,0.04428580775856972
0,0.06,0.01020408163265306,0.05614957958459854
0,0.07,0.02040816326530612,0.062434177845716476
0,0.08,0.02040816326530612,0.07065854966640472
0,0.09,0.030612244897959183,0.07990862429141998
0,0.1,0.05102040816326531,0.09479875862598419
0,0.11,0.061224489795918366,0.10866769403219223
0,0.12,0.07142857142857142,0.12088747322559357
0,0.13,0.09183673469387756,0.1309157907962799
0,0.14,0.10204081632653061,0.14492253959178925
0,0.15,0.10204081632653061,0.15729787945747375
0,0.16,0.10204081632653061,0.16876037418842316
0,0.17,0.12244897959183673,0.18101388216018677
0,0.18,0.14285714285714285,0.19587792456150055
0,0.19,0.15306122448979592,0.20586428046226501
0,0.2,0.15306122448979592,0.2197435200214386
0,0.21,0.16326530612244897,0.232627272605896
0,0.22,0.17346938775510204,0.24248839914798737
0,0.23,0.20408163265306123,0.2537226974964142
0,0.24,0.22448979591836735,0.2639271020889282
0,0.25,0.23469387755102042,0.2801048457622528
0,0.26,0.25510204081632654,0.29637643694877625
0,0.27,0.2653061224489796,0.3082989752292633
0,0.28,0.2653061224489796,0.3194759786128998
0,0.29,0.2755102040816326,0.3332464396953583
0,0.3,0.2857142857142857,0.3509760797023773
0,0.31,0.29591836734693877,0.3622583746910095
0,0.32,0.3163265306122449,0.3766506612300873
0,0.33,0.32653061224489793,0.3940030336380005
0,0.34,0.336734693877551,0.41615426540374756
0,0.35,0.37755102040816324,0.4426157772541046
0,0.36,0.40816326530612246,0.46111059188842773
0,0.37,0.4387755102040816,0.48146501183509827
0,0.38,0.4489795918367347,0.4982675313949585
0,0.39,0.47959183673469385,0.5147221684455872
0,0.4,0.5102040816326531,0.5472429990768433
0,0.41,0.5102040816326531,0.5717597007751465
0,0.42,0.5204081632653061,0.5897794961929321
0,0.43,0.5306122448979592,0.6092724800109863
0,0.44,0.5306122448979592,0.6348137259483337
0,0.45,0.5408163265306123,0.6609411239624023
0,0.46,0.5816326530612245,0.6860610842704773
0,0.47,0.6530612244897959,0.7120159864425659
0,0.48,0.673469387755102,0.7340758442878723
0,0.49,0.6836734693877551,0.7552146911621094
0,0.5,0.7448979591836735,0.7816507816314697
0,0.51,0.7857142857142857,0.8047488331794739
0,0.52,0.8061224489795918,0.8285295367240906
0,0.53,0.8163265306122449,0.8490714430809021
0,0.54,0.8469387755102041,0.8661223649978638
0,0.55,0.8571428571428571,0.889854371547699
0,0.56,0.8775510204081632,0.9074550271034241
0,0.57,0.9183673469387755,0.9202756881713867
0,0.58,0.9591836734693877,0.9342209696769714
0,0.59,0.9591836734693877,0.9495678544044495
0,0.6,0.9693877551020408,0.9597691297531128
0,0.61,0.9693877551020408,0.9680681228637695
0,0.62,0.9795918367346939,0.9744665026664734
0,0.63,0.9897959183673469,0.9797501564025879
0,0.64,1.0,0.9849189519882202
0,0.65,1.0,0.9887956976890564
0,0.66,1.0,0.9920448064804077
0,0.67,1.0,0.9940422773361206
0,0.68,1.0,0.9948832988739014
0,0.69,1.0,0.996082067489624
0,0.7,1.0,0.9972414374351501
0,0.71,1.0,0.9978118538856506
0,0.72,1.0,0.9981386065483093
0,0.73,1.0,0.9987244009971619
0,0.74,1.0,0.9989929795265198
0,0.75,1.0,0.9993177056312561
0,0.76,1.0,0.9994564652442932
0,0.77,1.0,0.9995928406715393
0,0.78,1.0,0.9997341632843018
0,0.79,1.0,0.9998306035995483
0,0.8,1.0,0.9998847842216492
0,0.81,1.0,0.9999253153800964
0,0.82,1.0,0.9999673962593079
0,0.83,1.0,0.999980628490448
0,0.84,1.0,0.9999887347221375
0,0.85,1.0,0.9999921917915344
1,0.01,0.0,0.008993743918836117
1,0.02,0.0,0.018637698143720627
1,0.03,0.0,0.028049875050783157
1,0.04,0.01020408163265306,0.034273743629455566
1,0.05,0.01020408163265306,0.04428580775856972
1,0.06,0.01020408163265306,0.05614957958459854
1,0.07,0.02040816326530612,0.062434177845716476
1,0.08,0.02040816326530612,0.07065854966640472
1,0.09,0.030612244897959183,0.07990862429141998
1,0.1,0.05102040816326531,0.09479875862598419
1,0.11,0.061224489795918366,0.10866769403219223
1,0.12,0.07142857142857142,0.12088747322559357
1,0.13,0.09183673469387756,0.1309157907962799
1,0.14,0.10204081632653061,0.14492253959178925
1,0.15,0.10204081632653061,0.15729787945747375
1,0.16,0.10204081632653061,0.16876037418842316
1,0.17,0.12244897959183673,0.18101388216018677
1,0.18,0.14285714285714285,0.19587792456150055
1,0.19,0.15306122448979592,0.20586428046226501
1,0.2,0.15306122448979592,0.2197435200214386
1,0.21,0.16326530612244897,0.232627272605896
1,0.22,0.17346938775510204,0.24248839914798737
1,0.23,0.20408163265306123,0.2537226974964142
1,0.24,0.22448979591836735,0.2639271020889282
1,0.25,0.23469387755102042,0.2801048457622528
1,0.26,0.25510204081632654,0.29637643694877625
1,0.27,0.2653061224489796,0.3082989752292633
1,0.28,0.2653061224489796,0.3194759786128998
1,0.29,0.2755102040816326,0.3332464396953583
1,0.3,0.2857142857142857,0.3509760797023773
1,0.31,0.29591836734693877,0.3622583746910095
1,0.32,0.3163265306122449,0.3766506612300873
1,0.33,0.32653061224489793,0.3940030336380005
1,0.34,0.336734693877551,0.41615426540374756
1,0.35,0.37755102040816324,0.4426157772541046
1,0.36,0.40816326530612246,0.46111059188842773
1,0.37,0.4387755102040816,0.48146501183509827
1,0.38,0.4489795918367347,0.4982675313949585
1,0.39,0.47959183673469385,0.5147221684455872
1,0.4,0.5102040816326531,0.5472429990768433
1,0.41,0.5102040816326531,0.5717597007751465
1,0.42,0.5204081632653061,0.5897794961929321
1,0.43,0.5306122448979592,0.6092724800109863
1,0.44,0.5306122448979592,0.6348137259483337
1,0.45,0.5408163265306123,0.6609411239624023
1,0.46,0.5816326530612245,0.6860610842704773
1,0.47,0.6530612244897959,0.7120159864425659
1,0.48,0.673469387755102,0.7340758442878723
1,0.49,0.6836734693877551,0.7552146911621094
1,0.5,0.7448979591836735,0.7816507816314697
1,0.51,0.7857142857142857,0.8047488331794739
1,0.52,0.8061224489795918,0.8285295367240906
1,0.53,0.8163265306122449,0.8490714430809021
1,0.54,0.8469387755102041,0.8661223649978638
1,0.55,0.8571428571428571,0.889854371547699
1,0.56,0.8775510204081632,0.9074550271034241
1,0.57,0.9183673469387755,0.9202756881713867
1,0.58,0.9591836734693877,0.9342209696769714
1,0.59,0.9591836734693877,0.9495678544044495
1,0.6,0.9693877551020408,0.9597691297531128
1,0.61,0.9693877551020408,0.9680681228637695
1,0.62,0.9795918367346939,0.9744665026664734
1,0.63,0.9897959183673469,0.9797501564025879
1,0.64,1.0,0.9849189519882202
1,0.65,1.0,0.9887956976890564
1,0.66,1.0,0.9920448064804077
1,0.67,1.0,0.9940422773361206
1,0.68,1.0,0.9948832988739014
1,0.69,1.0,0.996082067489624
1,0.7,1.0,0.9972414374351501
1,0.71,1.0,0.9978118538856506
1,0.72,1.0,0.9981386065483093
1,0.73,1.0,0.9987244009971619
1,0.74,1.0,0.9989929795265198
1,0.75,1.0,0.9993177056312561
1,0.76,1.0,0.9994564652442932
1,0.77,1.0,0.9995928406715393
1,0.78,1.0,0.9997341632843018
1,0.79,1.0,0.9998306035995483
1,0.8,1.0,0.9998847842216492
1,0.81,1.0,0.9999253153800964
1,0.82,1.0,0.9999673962593079
1,0.83,1.0,0.999980628490448
1,0.84,1.0,0.9999887347221375
1,0.85,1.0,0.9999921917915344
2,0.01,0.0,0.008993743918836117
2,0.02,0.0,0.018637698143720627
2,0.03,0.0,0.028049875050783157
2,0.04,0.01020408163265306,0.034273743629455566
2,0.05,0.01020408163265306,0.04428580775856972
2,0.06,0.01020408163265306,0.05614957958459854
2,0.07,0.02040816326530612,0.062434177845716476
2,0.08,0.02040816326530612,0.07065854966640472
2,0.09,0.030612244897959183,0.07990862429141998
2,0.1,0.05102040816326531,0.09479875862598419
2,0.11,0.061224489795918366,0.10866769403219223
2,0.12,0.07142857142857142,0.12088747322559357
2,0.13,0.09183673469387756,0.1309157907962799
2,0.14,0.10204081632653061,0.14492253959178925
2,0.15,0.10204081632653061,0.15729787945747375
2,0.16,0.10204081632653061,0.16876037418842316
2,0.17,0.12244897959183673,0.18101388216018677
2,0.18,0.14285714285714285,0.19587792456150055
2,0.19,0.15306122448979592,0.20586428046226501
2,0.2,0.15306122448979592,0.2197435200214386
2,0.21,0.16326530612244897,0.232627272605896
2,0.22,0.17346938775510204,0.24248839914798737
2,0.23,0.20408163265306123,0.2537226974964142
2,0.24,0.22448979591836735,0.2639271020889282
2,0.25,0.23469387755102042,0.2801048457622528
2,0.26,0.25510204081632654,0.29637643694877625
2,0.27,0.2653061224489796,0.3082989752292633
2,0.28,0.2653061224489796,0.3194759786128998
2,0.29,0.2755102040816326,0.3332464396953583
2,0.3,0.2857142857142857,0.3509760797023773
2,0.31,0.29591836734693877,0.3622583746910095
2,0.32,0.3163265306122449,0.3766506612300873
2,0.33,0.32653061224489793,0.3940030336380005
2,0.34,0.336734693877551,0.41615426540374756
2,0.35,0.37755102040816324,0.4426157772541046
2,0.36,0.40816326530612246,0.46111059188842773
2,0.37,0.4387755102040816,0.48146501183509827
2,0.38,0.4489795918367347,0.4982675313949585
2,0.39,0.47959183673469385,0.5147221684455872
2,0.4,0.5102040816326531,0.5472429990768433
2,0.41,0.5102040816326531,0.5717597007751465
2,0.42,0.5204081632653061,0.5897794961929321
2,0.43,0.5306122448979592,0.6092724800109863
2,0.44,0.5306122448979592,0.6348137259483337
2,0.45,0.5408163265306123,0.6609411239624023
2,0.46,0.5816326530612245,0.6860610842704773
2,0.47,0.6530612244897959,0.7120159864425659
2,0.48,0.673469387755102,0.7340758442878723
2,0.49,0.6836734693877551,0.7552146911621094
2,0.5,0.7448979591836735,0.7816507816314697
2,0.51,0.7857142857142857,0.8047488331794739
2,0.52,0.8061224489795918,0.8285295367240906
2,0.53,0.8163265306122449,0.8490714430809021
2,0.54,0.8469387755102041,0.8661223649978638
2,0.55,0.8571428571428571,0.889854371547699
2,0.56,0.8775510204081632,0.9074550271034241
2,0.57,0.9183673469387755,0.9202756881713867
2,0.58,0.9591836734693877,0.9342209696769714
2,0.59,0.9591836734693877,0.9495678544044495
2,0.6,0.9693877551020408,0.9597691297531128
2,0.61,0.9693877551020408,0.9680681228637695
2,0.62,0.9795918367346939,0.9744665026664734
2,0.63,0.9897959183673469,0.9797501564025879
2,0.64,1.0,0.9849189519882202
2,0.65,1.0,0.9887956976890564
2,0.66,1.0,0.9920448064804077
2,0.67,1.0,0.9940422773361206
2,0.68,1.0,0.9948832988739014
2,0.69,1.0,0.996082067489624
2,0.7,1.0,0.9972414374351501
2,0.71,1.0,0.9978118538856506
2,0.72,1.0,0.9981386065483093
2,0.73,1.0,0.9987244009971619
2,0.74,1.0,0.9989929795265198
2,0.75,1.0,0.9993177056312561
2,0.76,1.0,0.9994564652442932
2,0.77,1.0,0.9995928406715393
2,0.78,1.0,0.9997341632843018
2,0.79,1.0,0.9998306035995483
2,0.8,1.0,0.9998847842216492
2,0.81,1.0,0.9999253153800964
2,0.82,1.0,0.9999673962593079
2,0.83,1.0,0.999980628490448
2,0.84,1.0,0.9999887347221375
2,0.85,1.0,0.9999921917915344
3,0.01,0.0,0.008993743918836117
3,0.02,0.0,0.018637698143720627
3,0.03,0.0,0.028049875050783157
3,0.04,0.01020408163265306,0.034273743629455566
3,0.05,0.01020408163265306,0.04428580775856972
3,0.06,0.01020408163265306,0.05614957958459854
3,0.07,0.02040816326530612,0.062434177845716476
3,0.08,0.02040816326530612,0.07065854966640472
3,0.09,0.030612244897959183,0.07990862429141998
3,0.1,0.05102040816326531,0.09479875862598419
3,0.11,0.061224489795918366,0.10866769403219223
3,0.12,0.07142857142857142,0.12088747322559357
3,0.13,0.09183673469387756,0.1309157907962799
3,0.14,0.10204081632653061,0.14492253959178925
3,0.15,0.10204081632653061,0.15729787945747375
