parameter,min_ev,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,trade_count,order_count,order_coverage,fill_rate,correct_count,correct_fill_rate,wrong_fill_forced,wrong_fill_printed,sum_pnl,mean_accepted_pnl,mean_pnl_filled,win_pnl_sum,loss_pnl_sum,mean_bid,median_bid,mean_expected_ev,negative_expected_ev_share,mean_model_fill_prob,realized_correct_fill_rate_submitted,submitted_fill_calibration_gap
0.25,0.0,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,242.0,464.0,0.7051671732522796,0.3677811550151976,472.0,0.2648305084745763,1.0,0.7435897435897436,20.57,0.031261398176291796,0.08500000000000002,50.6,-30.03,0.26186930091185406,0.01,0.011397480369818426,0.2948328267477204,0.4604758460524502,0.36023054755043227,0.10024529850201791
0.25,0.01,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,135.0,226.0,0.3434650455927052,0.20516717325227962,472.0,0.20127118644067796,1.0,0.95,20.79,0.031595744680851065,0.154,38.99,-18.2,0.18954407294832826,0.0,0.011397480369818426,0.2948328267477204,0.6502742637006959,0.510752688172043,0.13952157552865285
0.25,0.02,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,85.0,145.0,0.22036474164133737,0.12917933130699089,472.0,0.12076271186440678,1.0,0.9642857142857143,12.080000000000002,0.018358662613981766,0.14211764705882352,24.119999999999997,-12.04,0.11691489361702126,0.0,0.011397480369818426,0.2948328267477204,0.6489790266252351,0.48717948717948717,0.16179953944574793
0.25,0.03,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,49.0,94.0,0.14285714285714285,0.07446808510638298,472.0,0.06567796610169492,1.0,0.9444444444444444,6.36,0.00966565349544073,0.12979591836734694,13.680000000000001,-7.32,0.07314589665653495,0.0,0.011397480369818426,0.2948328267477204,0.6465414150025776,0.40789473684210525,0.2386466781604723
0.25,0.05,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,15.0,39.0,0.05927051671732523,0.022796352583586626,472.0,0.014830508474576272,1.0,0.875,0.9099999999999999,0.001382978723404255,0.06066666666666664,3.8699999999999997,-2.96,0.028221884498480242,0.0,0.011397480369818426,0.2948328267477204,0.6187724860036271,0.22580645161290322,0.39296603439072386
0.5,0.0,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,230.0,520.0,0.790273556231003,0.3495440729483283,472.0,0.19279661016949154,1.0,0.6906474820143885,17.42,0.026474164133738605,0.0757391304347826,38.1,-20.68,0.18837386018237084,0.01,0.007657350034108103,0.20972644376899696,0.28495276630298527,0.2388451443569554,0.04610762194602988
0.5,0.01,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,89.0,155.0,0.23556231003039513,0.135258358662614,472.0,0.1292372881355932,1.0,0.9642857142857143,14.710000000000003,0.022355623100303954,0.16528089887640451,26.02,-11.309999999999999,0.11949848024316109,0.0,0.007657350034108103,0.20972644376899696,0.5681564884549802,0.48031496062992124,0.087841527825059
0.5,0.02,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,50.0,90.0,0.13677811550151975,0.07598784194528875,472.0,0.0635593220338983,1.0,0.95,5.32,0.008085106382978723,0.1064,13.41,-8.09,0.06858662613981763,0.0,0.007657350034108103,0.20972644376899696,0.5847251901543579,0.42857142857142855,0.15615376158292932
0.5,0.03,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,21.0,47.0,0.07142857142857142,0.031914893617021274,472.0,0.023305084745762712,1.0,0.9,1.5099999999999998,0.00229483282674772,0.07190476190476189,5.11,-3.5999999999999996,0.033799392097264444,0.0,0.007657350034108103,0.20972644376899696,0.5641644067127807,0.2972972972972973,0.26686710941548336
0.5,0.05,881.0,0.7468785471055619,0.756838905775076,0.6778115501519757,0.7173252279635258,0.5357548240635641,0.7173252279635258,0.5,0.5,0.5845060790273556,0.4416033434650456,658.0,329.0,329.0,0.7881374052898248,0.19076902151654593,0.5657044153306044,0.3246311010215664,0.45948201601585864,0.7065153579598685,329.0,329.0,658.0,0.7468785471055619,0.7173252279635258,2.0,4.0,0.0060790273556231,0.00303951367781155,472.0,0.00211864406779661,1.0,1.0,0.41000000000000003,0.0006231003039513678,0.20500000000000002,0.63,-0.22,0.0018389057750759878,0.0,0.007657350034108103,0.20972644376899696,0.4280191713948554,0.3333333333333333,0.09468583806152209
