min_ev,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,trade_count,order_count,order_coverage,fill_rate,correct_count,correct_fill_rate,wrong_fill_forced,wrong_fill_printed,sum_pnl,mean_accepted_pnl,mean_pnl_filled,win_pnl_sum,loss_pnl_sum,mean_bid,median_bid,mean_expected_ev,negative_expected_ev_share,mean_model_fill_prob,realized_correct_fill_rate_submitted,submitted_fill_calibration_gap
-0.02,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,660.0,919.0,0.7399355877616747,0.5314009661835749,911.0,0.7025246981339188,1.0,0.9,235.55,0.18965378421900161,0.35689393939393943,244.925,-9.375,0.45931964573268924,0.575,0.11103889344292123,0.2632850241545894,0.8496937761142984,0.7119021134593994,0.13779166265489906
-0.015,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,657.0,916.0,0.7375201288244766,0.5289855072463768,911.0,0.7014270032930845,1.0,0.8888888888888888,235.95,0.189975845410628,0.3591324200913242,244.375,-8.425,0.4581924315619968,0.575,0.11103889344292123,0.2632850241545894,0.849825655674945,0.7115812917594655,0.13824436391547945
-0.01,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,657.0,916.0,0.7375201288244766,0.5289855072463768,911.0,0.7014270032930845,1.0,0.8888888888888888,235.95,0.189975845410628,0.3591324200913242,244.375,-8.425,0.4581924315619968,0.575,0.11103889344292123,0.2632850241545894,0.849825655674945,0.7115812917594655,0.13824436391547945
-0.005,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,657.0,916.0,0.7375201288244766,0.5289855072463768,911.0,0.7014270032930845,1.0,0.8888888888888888,235.95,0.189975845410628,0.3591324200913242,244.375,-8.425,0.4581924315619968,0.575,0.11103889344292123,0.2632850241545894,0.849825655674945,0.7115812917594655,0.13824436391547945
0.0,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,656.0,915.0,0.7367149758454107,0.5281803542673108,911.0,0.7003293084522503,1.0,0.8888888888888888,235.39999999999998,0.1895330112721417,0.35884146341463413,243.825,-8.425,0.45783011272141705,0.575,0.11103889344292123,0.2632850241545894,0.8498545714305623,0.7112597547380156,0.1385948166925467
0.005,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,656.0,915.0,0.7367149758454107,0.5281803542673108,911.0,0.7003293084522503,1.0,0.8888888888888888,235.39999999999998,0.1895330112721417,0.35884146341463413,243.825,-8.425,0.45783011272141705,0.575,0.11103889344292123,0.2632850241545894,0.8498545714305623,0.7112597547380156,0.1385948166925467
0.01,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,653.0,912.0,0.7342995169082126,0.5257648953301127,911.0,0.6992316136114161,1.0,0.875,235.8,0.18985507246376812,0.36110260336906586,243.275,-7.475,0.45670289855072466,0.575,0.11103889344292123,0.2632850241545894,0.8499006174253193,0.7109375,0.1389631174253193
0.015,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,653.0,912.0,0.7342995169082126,0.5257648953301127,911.0,0.6992316136114161,1.0,0.875,235.8,0.18985507246376812,0.36110260336906586,243.275,-7.475,0.45670289855072466,0.575,0.11103889344292123,0.2632850241545894,0.8499006174253193,0.7109375,0.1389631174253193
0.02,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,653.0,912.0,0.7342995169082126,0.5257648953301127,911.0,0.6992316136114161,1.0,0.875,235.8,0.18985507246376812,0.36110260336906586,243.275,-7.475,0.45670289855072466,0.575,0.11103889344292123,0.2632850241545894,0.8499006174253193,0.7109375,0.1389631174253193
0.025,1242.0,1.0,0.7492492492492493,0.7152777777777778,0.7322635135135136,0.7334943639291466,0.7334943639291466,0.5362318840579711,0.463768115942029,0.5793880837359099,0.4314090177133656,1242.0,666.0,576.0,0.7925585539117999,0.1880518726271942,0.5602134885564686,0.46698872785829315,0.5162418387450337,0.9045929500668268,666.0,576.0,1242.0,1.0,0.7334943639291466,650.0,909.0,0.7318840579710145,0.5233494363929146,911.0,0.6981339187705817,1.0,0.8571428571428571,236.175,0.19015700483091788,0.3633461538461539,242.72500000000002,-6.55,0.45559581320450887,0.575,0.11103889344292123,0.2632850241545894,0.8499012912341994,0.7106145251396648,0.1392867660945346
