alpha,calibration_abstain_low_conf_count,calibration_abstain_low_conf_share,calibration_active_count,calibration_active_covered_gap_norm_mean,calibration_active_covered_gap_norm_median,calibration_active_share,calibration_clamp_over_pside_count,calibration_clamp_over_pside_share,calibration_coverage_feasible,calibration_coverage_overall,calibration_covered_count,calibration_covered_feasible_count,calibration_covered_gap_norm_mean,calibration_covered_gap_norm_median,calibration_covered_gap_norm_q25,calibration_covered_gap_norm_q75,calibration_feasible_count,calibration_feasible_covered_gap_norm_mean,calibration_infeasible_count,calibration_max_possible_coverage,calibration_mean_p_pred,calibration_mean_p_side,calibration_non_active_share,calibration_sample_count,calibration_side_violation_count,calibration_side_violation_rate,epoch,loss,selected_bucket_miss_threshold,selected_delta_norm,selected_delta_quantile
0.01,357.0,0.2028409090909091,1400.0,0.4525824685379088,0.4867918556124775,0.7954545454545454,3.0,0.0017045454545454545,0.770387965162312,0.5528409090909091,973.0,973.0,0.6393683066113048,0.6138440843592534,0.4123435359622967,1.0,1263.0,0.6393683068649109,497.0,0.7176136363636364,0.448799774879674,0.5682228514151557,0.20454545454545456,1760.0,0.0,0.0,1,0.1561339037226779,0.5,0.583172072082109,0.6
0.01,357.0,0.2028409090909091,1397.0,0.4604931705559207,0.5037034470107752,0.79375,6.0,0.003409090909090909,0.779889152810768,0.5596590909090909,985.0,985.0,0.64343254216437,0.618181034204998,0.43205078096883986,1.0,1263.0,0.6434325431157973,497.0,0.7176136363636364,0.4517640375648456,0.5682228514151557,0.20625,1760.0,0.0,0.0,2,0.07770520794604506,0.5,0.5507701278729393,0.6
0.01,454.0,0.25795454545454544,1298.0,0.3791879967803406,0.3956580163193989,0.7375,8.0,0.004545454545454545,0.7434679334916865,0.5335227272727273,939.0,939.0,0.6562063453948639,0.6196315858652989,0.3694047662540734,1.0,1263.0,0.6562063466163816,497.0,0.7176136363636364,0.43415263663606346,0.5682228514151557,0.2625,1760.0,0.0,0.0,3,0.0761156507900783,0.5,0.4024270345792105,0.5
0.01,454.0,0.25795454545454544,1296.0,0.3831844217212636,0.40098149296463087,0.7363636363636363,10.0,0.005681818181818182,0.7403008709422011,0.53125,935.0,935.0,0.6609163558981065,0.626742235081687,0.3762722718761524,1.0,1263.0,0.6609163567532365,497.0,0.7176136363636364,0.43489470836347616,0.5682228514151557,0.2636363636363636,1760.0,0.0,0.0,4,0.07519834940986973,0.5,0.3909413877382773,0.5
0.01,454.0,0.25795454545454544,1302.0,0.384827200013055,0.3950863515338636,0.7397727272727272,4.0,0.0022727272727272726,0.7363420427553444,0.5284090909090909,930.0,930.0,0.6600012696846348,0.619346937076444,0.36972944421846426,1.0,1263.0,0.6600012702053659,497.0,0.7176136363636364,0.4338975104866705,0.5682228514151557,0.26022727272727275,1760.0,0.0,0.0,5,0.07391705363988876,0.5,0.3982581497221258,0.5
0.01,415.0,0.23579545454545456,1339.0,0.38297755589628724,0.3979353586605389,0.7607954545454545,6.0,0.003409090909090909,0.730799683293745,0.5244318181818182,923.0,923.0,0.6423542712941642,0.5961432086260785,0.36456157305888215,1.0,1263.0,0.6423542727211495,497.0,0.7176136363636364,0.4304021729462176,0.5682228514151557,0.23920454545454545,1760.0,0.0,0.0,6,0.07310297978775841,0.5,0.3671515147545996,0.5
0.01,357.0,0.2028409090909091,1396.0,0.4588462776948277,0.5041023705918202,0.7931818181818182,7.0,0.003977272727272727,0.784639746634996,0.5630681818181819,991.0,991.0,0.6417791707041443,0.6217001938737495,0.4261972878071856,1.0,1263.0,0.641779171768136,497.0,0.7176136363636364,0.4528953401227818,0.5682228514151557,0.20681818181818182,1760.0,0.0,0.0,7,0.07194364789341177,0.5,0.5043338598821681,0.6
0.01,357.0,0.2028409090909091,1399.0,0.45736654223469575,0.49792994373773997,0.7948863636363637,4.0,0.0022727272727272726,0.7767220902612827,0.5573863636363636,981.0,981.0,0.6415632205586981,0.6169555181786616,0.427451417674338,1.0,1263.0,0.6415632216434138,497.0,0.7176136363636364,0.45091935520176335,0.5682228514151557,0.20511363636363636,1760.0,0.0,0.0,8,0.07049568755818265,0.5,0.5054338602438005,0.6
0.01,454.0,0.25795454545454544,1306.0,0.37859130421043813,0.3907267320467264,0.7420454545454546,0.0,0.0,0.7339667458432304,0.5267045454545455,927.0,927.0,0.6561136343688831,0.6185203904911045,0.36487011481658893,1.0,1263.0,0.6561136350789317,497.0,0.7176136363636364,0.4322776444050867,0.5682228514151557,0.25795454545454544,1760.0,0.0,0.0,9,0.07032150815107993,0.5,0.34427066631227365,0.5
0.01,357.0,0.2028409090909091,1399.0,0.4656882572830111,0.5112548131166503,0.7948863636363637,4.0,0.0022727272727272726,0.7751385589865399,0.55625,979.0,979.0,0.6479764309985109,0.624817154522098,0.4246135760364369,1.0,1263.0,0.6479764318332307,497.0,0.7176136363636364,0.4525497801896924,0.5682228514151557,0.20511363636363636,1760.0,0.0,0.0,10,0.07031874358654022,0.5,0.4879725347819527,0.6
0.01,357.0,0.2028409090909091,1399.0,0.46497447057540964,0.4963708112630252,0.7948863636363637,4.0,0.0022727272727272726,0.7759303246239113,0.5568181818181818,980.0,980.0,0.6473199061139945,0.6281536505809981,0.43444096360032314,1.0,1263.0,0.6473199072311114,497.0,0.7176136363636364,0.4533582851174891,0.5682228514151557,0.20511363636363636,1760.0,0.0,0.0,11,0.06874392939997571,0.5,0.4853530171004789,0.6
0.01,357.0,0.2028409090909091,1401.0,0.4475537639382229,0.48501560601765076,0.7960227272727273,2.0,0.0011363636363636363,0.7727632620744259,0.5545454545454546,976.0,976.0,0.634910018176387,0.609305196459967,0.4066154283128819,1.0,1263.0,0.6349100189796008,497.0,0.7176136363636364,0.44947117778386575,0.5682228514151557,0.20397727272727273,1760.0,0.0,0.0,12,0.0678875172244651,0.5,0.4830443486769477,0.6
0.01,463.0,0.2630681818181818,1293.0,0.3935447768390284,0.42737121770976544,0.7346590909090909,4.0,0.0022727272727272726,0.7315914489311164,0.525,924.0,924.0,0.6738005996634169,0.6550384537875602,0.4032607147453092,1.0,1263.0,0.6738006002341013,497.0,0.7176136363636364,0.4388121956622402,0.5682228514151557,0.26534090909090907,1760.0,0.0,0.0,13,0.06774957504655633,0.5,0.35798188309688683,0.5
0.01,357.0,0.2028409090909091,1396.0,0.44642700205411123,0.4822508089636968,0.7931818181818182,7.0,0.003977272727272727,0.7664291369754552,0.55,968.0,968.0,0.6380044341944755,0.613460640458761,0.4047523676280389,1.0,1263.0,0.6380044346978954,497.0,0.7176136363636364,0.4497867367212397,0.5682228514151557,0.20681818181818182,1760.0,0.0,0.0,14,0.06715449571077313,0.5,0.46655899802738965,0.6
0.01,357.0,0.2028409090909091,1398.0,0.45029843542697157,0.47256925826799606,0.7943181818181818,5.0,0.002840909090909091,0.7672209026128266,0.5505681818181818,969.0,969.0,0.6386378775717036,0.6135551689779448,0.40259311118460456,1.0,1263.0,0.6386378779725568,497.0,0.7176136363636364,0.4506470060140752,0.5682228514151557,0.2056818181818182,1760.0,0.0,0.0,15,0.06483039406261273,0.5,0.44068223666868106,0.6
0.01,221.0,0.12556818181818183,1529.0,0.47447829693908,0.5132042349027823,0.86875,10.0,0.005681818181818182,0.7616785431512272,0.5465909090909091,962.0,962.0,0.5919285736106994,0.5908928115829983,0.39052124131692534,0.7872073137760653,1263.0,0.5919285740529033,497.0,0.7176136363636364,0.4479251086605021,0.5682228514151557,0.13125,1760.0,0.0,0.0,16,0.0653053361124226,0.5,0.5373177556782943,0.65
0.01,83.0,0.04715909090909091,1670.0,0.4870825529677298,0.5343562840886497,0.9488636363636364,7.0,0.003977272727272727,0.735550277117973,0.5278409090909091,929.0,929.0,0.5318040957122011,0.5655412195046335,0.35697404981684905,0.6923623655887526,1263.0,0.5318040969244792,497.0,0.7176136363636364,0.441364951948022,0.5682228514151557,0.05113636363636364,1760.0,0.0,0.0,17,0.06517655681818724,0.5,0.5481579264734444,0.68
