tau,lambda_wrong,theta,epoch,calibration_sample_count,calibration_coverage,calibration_precision_up,calibration_precision_down,calibration_balanced_precision,calibration_all_sample_accuracy,calibration_accepted_sample_accuracy,calibration_share_up_predictions,calibration_share_down_predictions,calibration_selected_t_up,calibration_selected_t_down,calibration_accepted_count,calibration_up_prediction_count,calibration_down_prediction_count,calibration_roc_auc,calibration_brier_score,calibration_log_loss,calibration_utility,calibration_downside_risk,calibration_selection_score,calibration_up_signal_count,calibration_down_signal_count,calibration_total_signal_count,calibration_signal_coverage,calibration_overall_signal_accuracy,calibration_trade_count,calibration_order_count,calibration_order_coverage,calibration_fill_rate,calibration_correct_count,calibration_correct_fill_rate,calibration_wrong_fill_forced,calibration_wrong_fill_printed,calibration_sum_pnl,calibration_mean_accepted_pnl,calibration_mean_pnl_filled,calibration_win_pnl_sum,calibration_loss_pnl_sum,calibration_mean_bid,calibration_median_bid,calibration_mean_expected_ev,calibration_negative_expected_ev_share,calibration_mean_model_fill_prob,calibration_realized_correct_fill_rate_submitted,calibration_submitted_fill_calibration_gap,calibration_win_loss_ratio,calibration_wrong_order_rate,calibration_wrong_mean_bid,calibration_submitted_correct_count,calibration_submitted_wrong_count,calibration_filled_accuracy
0.005,1.0,0.0689416694,3,1244.0,1.0,0.7481259370314842,0.7157712305025996,0.7319485837670419,0.7331189710610932,0.7331189710610932,0.5361736334405145,0.4638263665594855,0.5794212218649517,0.4314469453376206,1244.0,667.0,577.0,0.7916345407486443,0.18833005799112376,0.5608994608084523,0.4662379421221865,0.5166052931773993,0.902503223020758,667.0,577.0,1244.0,1.0,0.7331189710610932,515.0,1119.0,0.8995176848874598,0.4139871382636656,912.0,0.24561403508771928,1.0,0.8934707903780069,20.57,0.016535369774919616,0.03994174757281554,92.75999999999999,-72.19,0.25364147909967844,0.13,0.0,0.0,,0.27053140096618356,,1.2849425128134089,0.8765060240963856,0.24807560137457044,828.0,291.0,0.4349514563106796
0.005,1.5,0.0002203089,5,1244.0,1.0,0.7481259370314842,0.7157712305025996,0.7319485837670419,0.7331189710610932,0.7331189710610932,0.5361736334405145,0.4638263665594855,0.5794212218649517,0.4314469453376206,1244.0,667.0,577.0,0.7916345407486443,0.18833005799112376,0.5608994608084523,0.4662379421221865,0.5166052931773993,0.902503223020758,667.0,577.0,1244.0,1.0,0.7331189710610932,243.0,933.0,0.75,0.19533762057877813,912.0,0.009868421052631578,1.0,0.44871794871794873,2.4099999999999997,0.0019372990353697748,0.009917695473251024,5.930000000000001,-3.52,0.013729903536977494,0.01,0.0,0.0,,0.012875536480686695,,1.684659090909091,0.7048192771084337,0.015042735042735043,699.0,234.0,0.037037037037037035
0.005,2.0,0.0231668948,1,1244.0,1.0,0.7481259370314842,0.7157712305025996,0.7319485837670419,0.7331189710610932,0.7331189710610932,0.5361736334405145,0.4638263665594855,0.5794212218649517,0.4314469453376206,1244.0,667.0,577.0,0.7916345407486443,0.18833005799112376,0.5608994608084523,0.4662379421221865,0.5166052931773993,0.902503223020758,667.0,577.0,1244.0,1.0,0.7331189710610932,252.0,995.0,0.7998392282958199,0.20257234726688103,912.0,0.01644736842105263,1.0,0.6751054852320675,3.169999999999998,0.0025482315112540176,0.012579365079365072,13.77,-10.600000000000001,0.036302250803858516,0.03,0.0,0.0,,0.01978891820580475,,1.2990566037735847,0.713855421686747,0.04472573839662448,758.0,237.0,0.05952380952380952
0.01,1.0,0.1363529742,4,1244.0,1.0,0.7481259370314842,0.7157712305025996,0.7319485837670419,0.7331189710610932,0.7331189710610932,0.5361736334405145,0.4638263665594855,0.5794212218649517,0.4314469453376206,1244.0,667.0,577.0,0.7916345407486443,0.18833005799112376,0.5608994608084523,0.4662379421221865,0.5166052931773993,0.902503223020758,667.0,577.0,1244.0,1.0,0.7331189710610932,414.0,933.0,0.75,0.3327974276527331,912.0,0.18640350877192982,1.0,0.9426229508196722,15.32,0.012315112540192926,0.037004830917874404,89.38999999999999,-74.07,0.23387459807073954,0.18,0.0,0.0,,0.2467343976777939,,1.2068313757256648,0.7349397590361446,0.30356557377049176,689.0,244.0,0.4106280193236715
0.01,1.5,5.2418e-06,12,1244.0,1.0,0.7481259370314842,0.7157712305025996,0.7319485837670419,0.7331189710610932,0.7331189710610932,0.5361736334405145,0.4638263665594855,0.5794212218649517,0.4314469453376206,1244.0,667.0,577.0,0.7916345407486443,0.18833005799112376,0.5608994608084523,0.4662379421221865,0.5166052931773993,0.902503223020758,667.0,577.0,1244.0,1.0,0.7331189710610932,253.0,933.0,0.75,0.20337620578778134,912.0,0.019736842105263157,1.0,0.48936170212765956,3.4799999999999986,0.002797427652733118,0.013754940711462446,8.63,-5.15,0.020659163987138265,0.01,0.0,0.0,,0.025787965616045846,,1.6757281553398058,0.7078313253012049,0.02191489361702128,698.0,235.0,0.07114624505928854
0.01,2.0,0.0082834894,1,1244.0,1.0,0.7481259370314842,0.7157712305025996,0.7319485837670419,0.7331189710610932,0.7331189710610932,0.5361736334405145,0.4638263665594855,0.5794212218649517,0.4314469453376206,1244.0,667.0,577.0,0.7916345407486443,0.18833005799112376,0.5608994608084523,0.4662379421221865,0.5166052931773993,0.902503223020758,667.0,577.0,1244.0,1.0,0.7331189710610932,292.0,1119.0,0.8995176848874598,0.2347266881028939,912.0,0.008771929824561403,1.0,0.4894366197183099,3.379999999999999,0.002717041800643086,0.011575342465753426,7.37,-3.99,0.01607717041800643,0.01,0.0,0.0,,0.009580838323353293,,1.8471177944862154,0.8554216867469879,0.014049295774647887,835.0,284.0,0.0273972602739726
0.02,1.0,0.1178999038,1,1244.0,1.0,0.7481259370314842,0.7157712305025996,0.7319485837670419,0.7331189710610932,0.7331189710610932,0.5361736334405145,0.4638263665594855,0.5794212218649517,0.4314469453376206,1244.0,667.0,577.0,0.7916345407486443,0.18833005799112376,0.5608994608084523,0.4662379421221865,0.5166052931773993,0.902503223020758,667.0,577.0,1244.0,1.0,0.7331189710610932,392.0,1119.0,0.8995176848874598,0.31511254019292606,912.0,0.1074561403508772,1.0,0.9489795918367347,9.789999999999996,0.007869774919614145,0.024974489795918375,74.16,-64.37,0.197451768488746,0.21,0.0,0.0,,0.11878787878787879,,1.1520894826782662,0.8855421686746988,0.2189455782312925,825.0,294.0,0.25
0.02,1.5,0.0,17,1244.0,1.0,0.7481259370314842,0.7157712305025996,0.7319485837670419,0.7331189710610932,0.7331189710610932,0.5361736334405145,0.4638263665594855,0.5794212218649517,0.4314469453376206,1244.0,667.0,577.0,0.7916345407486443,0.18833005799112376,0.5608994608084523,0.4662379421221865,0.5166052931773993,0.902503223020758,667.0,577.0,1244.0,1.0,0.7331189710610932,383.0,1244.0,1.0,0.30787781350482313,912.0,0.05592105263157895,1.0,0.4879518072289157,6.789999999999998,0.005458199356913182,0.01772845953002611,22.200000000000003,-15.41,0.04857717041800643,0.01,0.0,0.0,,0.05592105263157895,,1.4406229720960417,1.0,0.04641566265060241,912.0,332.0,0.13315926892950392
0.02,2.0,4.35121e-05,6,1244.0,1.0,0.7481259370314842,0.7157712305025996,0.7319485837670419,0.7331189710610932,0.7331189710610932,0.5361736334405145,0.4638263665594855,0.5794212218649517,0.4314469453376206,1244.0,667.0,577.0,0.7916345407486443,0.18833005799112376,0.5608994608084523,0.4662379421221865,0.5166052931773993,0.902503223020758,667.0,577.0,1244.0,1.0,0.7331189710610932,222.0,933.0,0.75,0.17845659163987138,912.0,0.003289473684210526,1.0,0.4337899543378995,0.7799999999999998,0.0006270096463022506,0.0035135135135135128,2.9699999999999998,-2.1900000000000004,0.00785369774919614,0.01,0.0,0.0,,0.004201680672268907,,1.3561643835616435,0.6596385542168675,0.009999999999999998,714.0,219.0,0.013513513513513514
