tau,lambda_wrong,epoch,loss,theta,calibration_mean_accepted_pnl,calibration_sum_pnl,calibration_order_coverage,calibration_wrong_mean_bid,eligible
0.005,1.0,1,0.012539011519402265,0.1490989389,0.0034163987138263667,4.25,0.7998392282958199,0.29534693877551027,True
0.005,1.0,2,0.004816862900042906,0.1706187617,0.014726688102893891,18.32,0.75,0.3189075630252101,True
0.005,1.0,3,-0.0005283472128212452,0.0689416694,0.016535369774919616,20.57,0.8995176848874598,0.24807560137457044,True
0.005,1.0,4,0.0015708473045378923,0.0699645678,0.01114951768488746,13.870000000000001,0.7998392282958199,0.33403041825095053,True
0.005,1.0,5,-0.0030506696959491817,0.05,0.00964630225080386,12.0,0.8408360128617364,0.3315636363636364,True
0.005,1.0,6,-0.003773027181159705,0.01,0.012588424437299033,15.659999999999997,0.9911575562700965,0.2838650306748466,True
0.005,1.0,7,-0.0043313631787896155,0.0,0.01372990353697749,17.08,1.0,0.24000000000000002,True
0.005,1.0,8,-0.006784550251904875,0.0,0.011937299035369777,14.850000000000001,1.0,0.23307228915662653,True
0.005,1.0,9,-0.009019198862370103,0.0,0.009308681672025724,11.58,1.0,0.17090361445783134,True
0.005,1.5,1,0.04136731894686818,0.03,-0.001535369774919614,-1.9099999999999997,0.9429260450160771,0.08738709677419355,True
0.005,1.5,2,0.012859890487743542,0.0054773699,0.00043408360128617323,0.5399999999999995,0.75,0.020546218487394956,True
0.005,1.5,3,0.0037035326356999578,0.0008365645,-0.0011012861736334409,-1.3700000000000006,0.75,0.058953974895397485,True
0.005,1.5,4,0.00448591397725977,0.0003059994,0.0015353697749196137,1.9099999999999995,0.75,0.03051063829787234,True
0.005,1.5,5,0.00047444255906157193,0.0002203089,0.0019372990353697748,2.4099999999999997,0.75,0.015042735042735043,True
0.005,1.5,6,-0.000623734260443598,0.0001271629,0.0001125401929260444,0.13999999999999924,0.75,0.01798283261802575,True
0.005,1.5,7,-0.00027805963472928854,8.75537e-05,-0.00016881028938906767,-0.2100000000000002,0.75,0.015470085470085469,True
0.005,1.5,8,-0.0001605806248335284,7.38676e-05,-1.6077170418006447e-05,-0.020000000000000018,0.75,0.014705882352941176,True
0.005,1.5,9,-0.0006290568453550804,5.63721e-05,-0.0006350482315112542,-0.7900000000000003,0.75,0.017866108786610872,True
0.005,1.5,10,-0.0006544784249854274,4.85087e-05,-0.00037781350482315144,-0.4700000000000004,0.75,0.01742616033755274,True
0.005,1.5,11,-0.0001459152321331203,4.13108e-05,7.2347266881029e-05,0.09000000000000008,0.75,0.01225531914893617,True
0.005,2.0,1,0.061040845699608326,0.0231668948,0.0025482315112540176,3.169999999999998,0.7998392282958199,0.04472573839662448,True
0.005,2.0,2,0.00715398732572794,0.0002201139,-0.00034565916398713854,-0.4300000000000004,0.9991961414790996,0.010271903323262839,True
0.005,2.0,3,0.00016337507404386997,0.0,0.00018488745980707358,0.22999999999999954,1.0,0.01072289156626506,True
0.005,2.0,4,1.709537064016331e-05,0.0,-0.00047427652733118993,-0.5900000000000003,1.0,0.01072289156626506,True
0.005,2.0,5,-1.9729393534362317e-05,0.0,-0.0005385852090032161,-0.6700000000000008,1.0,0.012349397590361445,True
0.005,2.0,6,-0.0002712748136218579,4.60333e-05,-0.00027331189710610955,-0.3400000000000003,0.75,0.010220264317180618,True
0.005,2.0,7,-2.4062782381406576e-05,3.57578e-05,-0.0002491961414790999,-0.3100000000000003,0.75,0.010132743362831858,True
0.01,1.0,1,0.017321126098977402,0.1514442613,0.009694533762057877,12.059999999999999,0.7998392282958199,0.22910931174089066,True
0.01,1.0,2,0.012261868687346578,0.1651940247,0.011133440514469453,13.85,0.75,0.22502164502164504,True
0.01,1.0,3,0.009399272978771477,0.1210952203,-0.0023392282958199367,-2.9100000000000015,0.75,0.21666666666666665,True
0.01,1.0,4,0.006720200483687222,0.1363529742,0.012315112540192926,15.32,0.75,0.30356557377049176,True
0.01,1.0,5,0.0035264645586721597,0.05,0.007475884244372991,9.3,0.7909967845659164,0.27456603773584903,True
0.01,1.0,6,-0.0003027388360351324,0.0210982999,0.009533762057877811,11.859999999999998,0.75,0.24109375,True
0.01,1.0,7,-0.003142364206723869,0.0058881178,0.005514469453376206,6.859999999999999,0.75,0.15945525291828794,True
0.01,1.0,8,-0.004037008935119957,0.0023013533,0.007299035369774921,9.080000000000002,0.75,0.13559055118110236,True
0.01,1.0,9,-0.006743576563894749,0.0008302248,0.006141479099678457,7.640000000000001,0.75,0.114921875,True
0.01,1.0,10,-0.008698254229966552,0.0007392992,0.00542604501607717,6.749999999999999,0.75,0.11662650602409638,True
0.01,1.5,1,0.046667153388261794,0.0356036004,-0.002532154340836014,-3.1500000000000012,0.8995176848874598,0.10000000000000002,True
