tau,lambda_wrong,epoch,loss,theta,calibration_mean_accepted_pnl,calibration_sum_pnl,calibration_order_coverage,calibration_wrong_mean_bid,eligible
0.01,1.5,2,0.01716781563591212,0.0020236455,-0.004163987138263667,-5.1800000000000015,0.75,0.09065573770491804,True
0.01,1.5,3,0.006257467399700544,0.000458519,-0.0016398713826366567,-2.040000000000001,0.75,0.03504347826086956,True
0.01,1.5,4,0.0011270650196820498,0.0001272204,0.0006270096463022504,0.7799999999999996,0.7998392282958199,0.013253968253968256,True
0.01,1.5,5,-0.0005198568152991357,4.10024e-05,0.0007958199356913182,0.9899999999999998,0.8995176848874598,0.01,True
0.01,1.5,6,-0.0006545232497956021,2.94013e-05,3.215434083601271e-05,0.039999999999999813,0.8995176848874598,0.010103448275862069,True
0.01,1.5,7,-0.0008242789597716182,2.26862e-05,5.62700964630222e-05,0.06999999999999962,0.8995176848874598,0.01,True
0.01,1.5,8,-0.0006450011915603681,0.0,0.0004019292604501606,0.4999999999999998,1.0,0.009999999999999998,True
0.01,1.5,9,-0.0006624347493925598,2.52304e-05,-0.0002813504823151131,-0.35000000000000075,0.75,0.016170212765957447,True
0.01,1.5,10,-0.000846887836814858,2.35383e-05,0.0018649517684887454,2.3199999999999994,0.75,0.015431034482758621,True
0.01,1.5,11,-0.0006197817565407604,1.29896e-05,3.215434083601271e-05,0.039999999999999813,0.75,0.025109170305676852,True
0.01,1.5,12,-0.0011584430641960353,5.2418e-06,0.002797427652733118,3.4799999999999986,0.75,0.02191489361702128,True
0.01,1.5,13,0.0001122231304179877,1.7501e-06,0.0010691318327974274,1.3299999999999998,0.75,0.025349794238683127,True
0.01,1.5,14,-0.0012806180979168858,1.0522e-06,0.00010450160771704136,0.12999999999999945,0.75,0.011639344262295081,True
0.01,1.5,15,0.001918813624070026,8.418e-07,-9.646302250803992e-05,-0.12000000000000166,0.75,0.0859607843137255,True
0.01,1.5,16,0.012080427329055964,8.234e-07,-0.0004501607717041812,-0.5600000000000014,0.75,0.05591093117408908,True
0.01,1.5,17,0.0010090189112816005,8.652e-07,-0.001519292604501608,-1.8900000000000003,0.75,0.035480000000000005,True
0.01,1.5,18,-0.0007475374586647376,9.353e-07,0.0006591639871382632,0.8199999999999994,0.75,0.018612244897959186,True
0.01,2.0,1,0.055382702872157095,0.0082834894,0.002717041800643086,3.379999999999999,0.8995176848874598,0.014049295774647887,True
0.01,2.0,2,0.002401032937632408,0.0,-0.0002813504823151128,-0.3500000000000003,1.0,0.009999999999999998,True
0.01,2.0,3,-3.23959689012554e-05,7.99545e-05,4.0192926045015936e-05,0.04999999999999982,0.8995176848874598,0.01,True
0.01,2.0,4,-0.00019455384890534332,5.42534e-05,4.8231511254019154e-05,0.05999999999999983,0.8995176848874598,0.01,True
0.01,2.0,5,-0.00013081602255624603,4.33503e-05,7.234726688102865e-05,0.08999999999999964,0.8995176848874598,0.01,True
0.01,2.0,6,-0.00027937502322856745,3.49421e-05,0.0003778135048231509,0.46999999999999975,0.8995176848874598,0.011754385964912283,True
0.01,2.0,7,-0.0001829014902796189,3.0139e-05,0.0005385852090032154,0.6699999999999999,0.8995176848874598,0.01049122807017544,True
0.02,1.0,1,0.026586041133850814,0.1178999038,0.007869774919614145,9.789999999999996,0.8995176848874598,0.2189455782312925,True
0.02,1.0,2,0.016410074208397418,0.0218365634,-0.0023311897106109342,-2.900000000000002,0.75,0.19860082304526752,True
0.02,1.0,3,0.008217945299111306,0.0017333515,-0.0009324758842443738,-1.160000000000001,0.75,0.13004065040650406,True
0.02,1.0,4,0.002841453781002201,0.0006866587,8.03858520900233e-06,0.009999999999998899,0.75,0.0864,True
0.02,1.0,5,-0.001382774708326906,0.000186325,0.00012057877813504744,0.14999999999999902,0.75,0.06709677419354838,True
0.02,1.0,6,-0.0033374176971847193,0.0001365301,0.006511254019292604,8.1,0.75,0.03625531914893617,True
0.02,1.0,7,-0.002260961342835799,9.98054e-05,0.007178456591639871,8.93,0.7998392282958199,0.03680769230769231,True
0.02,1.5,1,0.0458129330072552,0.01,4.823151125401862e-05,0.059999999999999165,0.9983922829581994,0.023444108761329303,True
0.02,1.5,2,0.003332070094620576,0.000606783,-0.00019292604501607735,-0.2400000000000002,0.75,0.009999999999999998,True
0.02,1.5,3,-0.0002225720032583922,0.0001552064,-0.00024115755627009667,-0.30000000000000027,0.75,0.009999999999999998,True
0.02,1.5,4,-0.00040970409318106247,9.39232e-05,-0.00025723472668810315,-0.3200000000000003,0.75,0.009999999999999998,True
0.02,1.5,5,2.9056789571768604e-05,7.20546e-05,-0.0010610932475884245,-1.32,0.75,0.016580086580086584,True
0.02,1.5,6,0.00030172924198268447,6.43922e-05,0.00020900321543408342,0.2599999999999998,0.75,0.014753363228699553,True
0.02,1.5,7,-0.0004374666244984837,5.61031e-05,-0.00018488745980707393,-0.22999999999999998,0.75,0.01,True
0.02,1.5,8,-0.0002573787496658042,4.74753e-05,-0.0001527331189710614,-0.1900000000000004,0.75,0.01,True
0.02,1.5,9,-0.0002692505640879972,4.15434e-05,-0.00020096463022508057,-0.2500000000000002,0.75,0.01009049773755656,True
0.02,1.5,10,-0.00043687241595762315,3.43227e-05,-0.00020900321543408388,-0.26000000000000034,0.75,0.009999999999999998,True
0.02,1.5,11,-0.0002810221038544114,3.03729e-05,0.0,0.0,0.75,0.010873362445414847,True
0.02,1.5,12,-0.00039865634025773036,2.55157e-05,0.00040996784565916364,0.5099999999999996,0.75,0.009999999999999998,True
0.02,1.5,13,-0.0003851666489026684,2.2191e-05,0.0006028938906752408,0.7499999999999996,0.75,0.009999999999999998,True
0.02,1.5,14,-0.00039869772699603346,1.97041e-05,-0.00016077170418006445,-0.20000000000000018,0.75,0.009999999999999998,True
0.02,1.5,15,-0.0004131548334044055,1.73519e-05,-0.0001929260450160775,-0.24000000000000044,0.75,0.009999999999999998,True
0.02,1.5,16,-0.0004372518302261597,0.0,0.0002250803858520897,0.2799999999999996,1.0,0.012289156626506025,True
0.02,1.5,17,0.0004601928489137208,0.0,0.005458199356913182,6.789999999999998,1.0,0.04641566265060241,True
0.02,1.5,18,0.0046835895831463855,9.3639e-06,0.0013183279742765275,1.6400000000000001,0.8995176848874598,0.013310580204778155,True
0.02,1.5,19,-0.00021338781480153556,1.03317e-05,-4.019292604501629e-05,-0.050000000000000266,0.8995176848874598,0.010378006872852234,True
0.02,1.5,20,-0.000661640245016315,1.09156e-05,0.0014790996784565913,1.8399999999999994,0.75,0.01043859649122807,True
0.02,1.5,21,-0.0008290256970212795,7.4268e-06,0.0002813504823151124,0.34999999999999987,0.75,0.011008403361344538,True
0.02,1.5,22,-0.0008463782662147424,6.1631e-06,4.823151125401898e-05,0.05999999999999961,0.75,0.012278481012658228,True
0.02,1.5,23,-0.0009443558716156986,5.451e-06,0.00022508038585208952,0.27999999999999936,0.75,0.013179916317991633,True
0.02,2.0,1,0.0667831426486373,0.0103321827,0.00030546623794212174,0.37999999999999945,0.8995176848874598,0.02112676056338028,True
0.02,2.0,2,0.0033356159801769536,0.0002969816,-0.00012057877813504834,-0.15000000000000013,0.75,0.010142857142857143,True
0.02,2.0,3,-0.00014284816834333469,9.2796e-05,-0.00010450160771704208,-0.13000000000000034,0.75,0.009999999999999997,True
0.02,2.0,4,-0.00023541254977317295,5.78408e-05,9.646302250803831e-05,0.11999999999999966,0.8995176848874598,0.009999999999999998,True
0.02,2.0,5,-0.0003168009572618757,5.12643e-05,0.00020096463022508003,0.24999999999999956,0.75,0.012477064220183486,True
0.02,2.0,6,-0.0002377780028837151,4.35121e-05,0.0006270096463022506,0.7799999999999998,0.75,0.009999999999999998,True
0.02,2.0,7,-0.00026360637248217244,3.2735e-05,0.00015273311897106087,0.18999999999999972,0.8995176848874598,0.009999999999999998,True
0.02,2.0,8,-0.00025931670925274377,2.76508e-05,0.00011254019292604476,0.13999999999999968,0.8995176848874598,0.01,True
0.02,2.0,9,-0.0003312510054456652,2.40015e-05,0.00011254019292604476,0.13999999999999968,0.8995176848874598,0.01,True
0.02,2.0,10,-0.0003399863297090633,2.107e-05,0.00028135048231511226,0.34999999999999964,0.8995176848874598,0.01,True
0.02,2.0,11,-0.00035612245756055927,1.86193e-05,0.00028135048231511226,0.34999999999999964,0.8995176848874598,0.01,True
0.02,2.0,12,-0.00037281811455613934,1.65794e-05,0.00027331189710610906,0.33999999999999964,0.8995176848874598,0.01,True
