epoch,loss,train_sample_count,train_mean_gap,train_median_gap,train_gap_p05,train_gap_p95,train_gap_p95_p05_range,train_min_gap,train_violation_rate,train_max_violation,train_p90_violation,train_p95_violation,train_p99_violation,train_coverage,validation_sample_count,validation_mean_gap,validation_median_gap,validation_gap_p05,validation_gap_p95,validation_gap_p95_p05_range,validation_min_gap,validation_violation_rate,validation_max_violation,validation_p90_violation,validation_p95_violation,validation_p99_violation,validation_coverage
1,0.23849152028560638,11073.0,0.07932414573370135,0.06631378231697715,-0.2383849101645538,0.44109140863740043,0.6794763188019542,-0.7361845786461303,0.3941118034859568,0.7461845691093871,0.18790471324944893,0.2483849006278106,0.33705412058608997,0.6058881965140431,5184.0,0.07391165706941924,0.05531099232511394,-0.24581314097793985,0.44730067397756873,0.6931138149555086,-0.4852614602313955,0.41608796296296297,0.4952614506946523,0.19708825916871212,0.25581313144119633,0.3387832301052291,0.5839120370370371
2,0.20883178101344543,11073.0,0.06397383640740366,0.05056907090426377,-0.23889663790079824,0.4091126125200981,0.6480092504208963,-0.7330674327517138,0.4156958367199494,0.7430674232149707,0.1885670430847149,0.24889662836405507,0.341431021188382,0.5843041632800505,5184.0,0.05901566889747066,0.040175621750841384,-0.2517570335826797,0.42116766544700207,0.6729246990296818,-0.5155156666910624,0.4407793209876543,0.5255156571543192,0.1994036389814647,0.2617570240459364,0.34415925266269104,0.5592206790123457
3,0.19615597074682062,11073.0,0.05640374145282405,0.038570523597350026,-0.22160043157019055,0.3933519092557669,0.6149523408259574,-0.7367706654976466,0.437550799241398,0.7467706559609034,0.17784298643685517,0.23160042203344738,0.32572614621738155,0.562449200758602,5184.0,0.05091937951985486,0.03148268444893465,-0.23968213784033718,0.40621297379794924,0.6458951116382864,-0.4759555745851869,0.45621141975308643,0.4859555650484437,0.19613225920201208,0.249682128303594,0.33068434658511414,0.5437885802469136
4,0.18409558859738437,11073.0,0.06957029922025054,0.04748971333352203,-0.1956594988601592,0.39448147082312635,0.5901409696832856,-0.728677317669084,0.40558114332159306,0.7386773081323408,0.15213119393478428,0.20565948932341602,0.2982885094394651,0.5944188566784069,5184.0,0.05845365268874545,0.03548041789118911,-0.21973167056681447,0.4014686380342716,0.621200308601086,-0.4770720599043814,0.4481095679012346,0.48707205036763823,0.17896367150185388,0.22973166103007117,0.3084751875235105,0.5518904320987654
5,0.1730573590506207,11073.0,0.05433235673582728,0.03168822195215132,-0.1930936031755185,0.3560378252382686,0.5491314284137871,-0.7300517443817895,0.4434209338029441,0.7400517348450464,0.1520993914605127,0.2030935936387753,0.295639091439853,0.5565790661970559,5184.0,0.047224920049542096,0.025079999763639185,-0.21246470543557644,0.3633021783130682,0.5757668837486447,-0.4580550040466974,0.46585648148148145,0.46805499450995425,0.17697700664589402,0.22246469589883322,0.3049231168402691,0.5341435185185185
6,0.1637541502714157,11073.0,0.04704876586238107,0.0235277489229484,-0.1894866805287107,0.3432680887272633,0.532754769255974,-0.7190243210794317,0.46301815226225956,0.7290243115426885,0.15160120036255822,0.1994866709919675,0.28806497639404816,0.5369818477377405,5184.0,0.04321140565032788,0.02064650412439359,-0.2129688518256473,0.3526357007213602,0.5656045525470075,-0.5437417347829028,0.47858796296296297,0.5537417252461596,0.17889856071678778,0.22296884228890404,0.30739401712585307,0.5214120370370371
7,0.15955672548575836,11073.0,0.04863076592516217,0.023693838232624997,-0.18589433018186866,0.34151429574481973,0.5274086259266884,-0.7202110265453525,0.4626569132123183,0.7302110170086094,0.146567544204919,0.19589432064512546,0.2865057598331765,0.5373430867876817,5184.0,0.0411245665094951,0.01552501065552267,-0.21561768915377527,0.3511028748724266,0.5667205640262019,-0.4556185625234325,0.4878472222222222,0.46561855298668936,0.1768841131652849,0.22561767961703208,0.30969006939402927,0.5121527777777778
8,0.15506117249077017,11073.0,0.04706865873666598,0.020939560600252816,-0.18247169547305425,0.33723368841284657,0.5197053838859008,-0.7220982192558224,0.46644992323670187,0.7320982097190792,0.14348672850946875,0.19247168593631103,0.2854456207003809,0.5335500767632981,5184.0,0.04514345695970038,0.019763538125736307,-0.2078477376473602,0.35642086210117024,0.5642685997485304,-0.4465670824523946,0.4801311728395062,0.45656707291565146,0.1711899205004668,0.2178477281106169,0.3057361691068246,0.5198688271604939
9,0.15153176676143298,11073.0,0.04905217007721475,0.022216139115003863,-0.1782708357877517,0.3408249259821423,0.519095761769894,-0.722047358085714,0.4623859839248623,0.7320473485489708,0.14023799535760098,0.18827082625100852,0.28025830265018925,0.5376140160751377,5184.0,0.04803891888506213,0.023270720554390695,-0.20465636416646643,0.3556046696221733,0.5602610337886398,-0.46806479074921775,0.4691358024691358,0.4780647812124746,0.1708323807109804,0.2146563546297232,0.30494567495259983,0.5308641975308642
10,0.1482824371619658,11073.0,0.04711179213418636,0.020199592961097024,-0.17797419073081638,0.33276120026735106,0.5107353909981674,-0.7139498725114541,0.46952045516120294,0.723949862974711,0.13674963169049137,0.18797418119407308,0.2796444187702223,0.5304795448387971,5184.0,0.044220418424258334,0.01861155561611555,-0.2106940427199363,0.35189899196169755,0.5625930346816339,-0.5382617187140267,0.47800925925925924,0.5482617091772836,0.17369041847996267,0.22069403318319314,0.29930894924649737,0.5219907407407407
