iter	Quantile:alpha=0.9
334	0.1045577146
335	0.1045371466
336	0.1045027101
337	0.1044872214
338	0.1044539622
339	0.1044163041
340	0.1044038426
341	0.104374961
342	0.1043434733
343	0.104312599
344	0.1042871504
345	0.104246995
346	0.1042249086
347	0.1042093441
348	0.1042003907
349	0.1041593885
350	0.1041422583
351	0.1041152546
352	0.104092323
353	0.104070486
354	0.1040509469
355	0.1040260561
356	0.1040024972
357	0.1039832796
358	0.1039584226
359	0.1039299669
360	0.1038919431
361	0.1038742339
362	0.1037848008
363	0.1037720629
364	0.1037456471
365	0.103733414
366	0.1037247548
367	0.1037023624
368	0.1036959861
369	0.1036702712
370	0.1036465906
371	0.1036143655
372	0.1035921146
373	0.1035855739
374	0.1035747592
375	0.1035511455
376	0.1035342759
377	0.1035172558
378	0.1034644204
379	0.1034457779
380	0.1034250856
381	0.1033995724
382	0.1033739787
383	0.1033395142
384	0.1033191144
385	0.103291775
386	0.1032618526
387	0.1032284168
388	0.103203673
389	0.1031941914
390	0.1031859186
391	0.1031786412
392	0.1031625243
393	0.1031357827
394	0.1030971365
395	0.1030930423
396	0.1030896979
397	0.1030645671
398	0.1030570724
399	0.1030318293
400	0.1029661384
401	0.102959378
402	0.1029304237
403	0.1029221074
404	0.102909229
405	0.1028915757
406	0.1028638204
407	0.1028478388
408	0.1028292248
409	0.1027981646
410	0.102760791
411	0.1027561729
412	0.1027434693
413	0.1027058032
414	0.1026837842
415	0.1026534764
416	0.1026380924
417	0.1026155474
418	0.1025873322
419	0.1025656704
420	0.1025365773
421	0.1025308815
422	0.1024951069
423	0.1024887609
424	0.1024515118
425	0.1024358379
426	0.1024107773
