epoch,rho,loss,train_sample_count,train_mean_gap,train_min_gap,train_violation_rate,train_max_violation,train_coverage,validation_sample_count,validation_mean_gap,validation_min_gap,validation_violation_rate,validation_max_violation,validation_coverage
1,10.0,0.3779716703199571,15657.0,0.26270657777786255,-0.29341328144073486,0.07600434310532031,0.3034132719039917,0.9239956568946797,7432.0,0.25289058685302734,-0.21392875909805298,0.10804628632938644,0.22392874956130981,0.8919537136706136
2,10.0,0.38120906583724484,15657.0,0.31457433104515076,-0.21432608366012573,0.029635306891486236,0.22432607412338257,0.9703646931085138,7432.0,0.2968428432941437,-0.20590919256210327,0.0579924650161464,0.2159091830253601,0.9420075349838536
3,10.0,0.3688850547036817,15657.0,0.3226061165332794,-0.21652793884277344,0.03659704924315003,0.22652792930603027,0.96340295075685,7432.0,0.28445062041282654,-0.3565254807472229,0.08772874058127018,0.36652547121047974,0.9122712594187298
4,10.0,0.3373356221183654,15657.0,0.3560742735862732,-0.11839073896408081,0.017436290477102892,0.12839072942733765,0.9825637095228971,7432.0,0.32540830969810486,-0.23694050312042236,0.0563778256189451,0.2469404935836792,0.9436221743810549
5,10.0,0.3086475633805798,15657.0,0.3300141394138336,-0.16543778777122498,0.022865172127482916,0.1754377782344818,0.977134827872517,7432.0,0.3128880262374878,-0.2281298041343689,0.0492465016146394,0.23812979459762573,0.9507534983853606
6,10.0,0.3260239920308513,15657.0,0.3149873912334442,-0.19574859738349915,0.03749121798556556,0.20574858784675598,0.9625087820144345,7432.0,0.2987016439437866,-0.21703976392745972,0.06498923573735199,0.22703975439071655,0.935010764262648
7,10.0,0.3071795615457719,15657.0,0.2921603322029114,-0.2519493103027344,0.03385067382001661,0.2619493007659912,0.9661493261799834,7432.0,0.274097740650177,-0.2295728325843811,0.08046286329386437,0.23957282304763794,0.9195371367061357
8,10.0,0.29036341126888027,15657.0,0.27917906641960144,-0.14266568422317505,0.04177045410998276,0.15266567468643188,0.9582295458900173,7432.0,0.25582191348075867,-0.2535058259963989,0.09741657696447793,0.26350581645965576,0.9025834230355221
9,10.0,0.2874034335536341,15657.0,0.2885274589061737,-0.1370590329170227,0.03972663984160439,0.14705902338027954,0.9602733601583956,7432.0,0.27045315504074097,-0.2405279278755188,0.08772874058127018,0.25052791833877563,0.9122712594187298
10,10.0,0.2811031591507696,15657.0,0.25772204995155334,-0.18922868371009827,0.0657852717634285,0.1992286741733551,0.9342147282365715,7432.0,0.2374781370162964,-0.27781128883361816,0.12944025834230355,0.287811279296875,0.8705597416576965
11,10.0,0.27544077702106967,15657.0,0.3054896593093872,-0.1435411274433136,0.025739285942389986,0.15354111790657043,0.97426071405761,7432.0,0.29589226841926575,-0.24093830585479736,0.05476318622174381,0.2509382963180542,0.9452368137782562
12,10.0,0.26874913803992734,15657.0,0.2819236218929291,-0.10780483484268188,0.0249728555917481,0.11780482530593872,0.9750271444082519,7432.0,0.2696177661418915,-0.2839595079421997,0.07669537136706135,0.29395949840545654,0.9233046286329386
13,10.0,0.2607999400746438,15657.0,0.24867317080497742,-0.11265033483505249,0.05096761831768538,0.12265032529830933,0.9490323816823146,7432.0,0.23402611911296844,-0.29687899351119995,0.12405812701829924,0.3068789839744568,0.8759418729817008
14,10.0,0.2559586489392865,15657.0,0.2693331241607666,-0.1129021942615509,0.0330203742734879,0.12290218472480774,0.9669796257265121,7432.0,0.25311964750289917,-0.25467419624328613,0.09337997847147471,0.26467418670654297,0.9066200215285253
15,10.0,0.25404342528312435,15657.0,0.26224440336227417,-0.0970882773399353,0.02669732388069234,0.10708826780319214,0.9733026761193077,7432.0,0.24925905466079712,-0.22283250093460083,0.10158772874058127,0.23283249139785767,0.8984122712594187
16,10.0,0.24330398969111905,15657.0,0.2335827499628067,-0.10598775744438171,0.056779715143386346,0.11598774790763855,0.9432202848566137,7432.0,0.2154100239276886,-0.3034645915031433,0.1532561894510226,0.31346458196640015,0.8467438105489774
17,10.0,0.2413037775024291,15657.0,0.23821666836738586,-0.11527341604232788,0.053777862936705625,0.12527340650558472,0.9462221370632944,7432.0,0.21925148367881775,-0.3132482171058655,0.14006996770721206,0.3232482075691223,0.859930032292788
18,10.0,0.23520581664577608,15657.0,0.2452668696641922,-0.09783974289894104,0.025164463179408573,0.10783973336219788,0.9748355368205914,7432.0,0.23072394728660583,-0.27317774295806885,0.11423573735199138,0.2831777334213257,0.8857642626480086
19,10.0,0.23089145123958588,15657.0,0.24304626882076263,-0.1116786003112793,0.0303378680462413,0.12167859077453613,0.9696621319537587,7432.0,0.22993630170822144,-0.3114270865917206,0.116254036598493,0.3214270770549774,0.883745963401507
20,10.0,0.2284660348969121,15657.0,0.2305798977613449,-0.09454655647277832,0.037044133614357794,0.10454654693603516,0.9629558663856422,7432.0,0.21570219099521637,-0.32964026927948,0.14033907427341227,0.3396402597427368,0.8596609257265877
21,10.0,0.22138953833810746,15657.0,0.22943970561027527,-0.08941906690597534,0.034233888995337546,0.09941905736923218,0.9657661110046625,7432.0,0.21766526997089386,-0.383808970451355,0.13334230355220666,0.3938089609146118,0.8666576964477933
22,10.0,0.21917063286227564,15657.0,0.2052924931049347,-0.10125333070755005,0.05837644504055694,0.11125332117080688,0.941623554959443,7432.0,0.18891477584838867,-0.4444490671157837,0.1745156081808396,0.4544490575790405,0.8254843918191603
23,10.0,0.21171262475752062,15657.0,0.20317451655864716,-0.10733279585838318,0.056779715143386346,0.11733278632164001,0.9432202848566137,7432.0,0.18777915835380554,-0.3389208912849426,0.1743810548977395,0.34892088174819946,0.8256189451022605
24,10.0,0.20937111733421201,15657.0,0.2077440470457077,-0.14546692371368408,0.05281982499840327,0.15546691417694092,0.9471801750015967,7432.0,0.19749023020267487,-0.4048353433609009,0.15742734122712596,0.4148353338241577,0.842572658772874
25,10.0,0.2059900712582373,15657.0,0.19773663580417633,-0.15191775560379028,0.057354537906367756,0.16191774606704712,0.9426454620936322,7432.0,0.1836661398410797,-0.3410295248031616,0.17841765339074273,0.35102951526641846,0.8215823466092572
26,10.0,0.19691233336925507,15657.0,0.18431320786476135,-0.14014017581939697,0.07185284537267676,0.1501401662826538,0.9281471546273232,7432.0,0.1726846843957901,-0.5174820423126221,0.18770182992465015,0.5274820327758789,0.8122981700753499
27,10.0,0.1960033010090551,15657.0,0.19020891189575195,-0.11214587092399597,0.055949415596857635,0.12214586138725281,0.9440505844031424,7432.0,0.18049004673957825,-0.37182068824768066,0.1742465016146394,0.3818206787109375,0.8257534983853606
28,10.0,0.1967337727546692,15657.0,0.1811617612838745,-0.137026846408844,0.0907581273551766,0.14702683687210083,0.9092418726448234,7432.0,0.16489258408546448,-0.470008909702301,0.21138320775026911,0.48000890016555786,0.7886167922497309
29,10.0,0.19392012059688568,15657.0,0.18001261353492737,-0.10489851236343384,0.06731813246471227,0.11489850282669067,0.9326818675352877,7432.0,0.16692540049552917,-0.4377114772796631,0.19765877287405811,0.4477114677429199,0.8023412271259419
30,30.0,0.22049865799565468,15657.0,0.20957638323307037,-0.07547026872634888,0.04304783802771923,0.08547025918960571,0.9569521619722807,7432.0,0.1961682140827179,-0.42703473567962646,0.14773950484391818,0.4370347261428833,0.8522604951560818
31,30.0,0.21467855861110072,15657.0,0.20126678049564362,-0.09786587953567505,0.03531966532541355,0.10786586999893188,0.9646803346745865,7432.0,0.1887357532978058,-0.39945584535598755,0.1563509149623251,0.4094558358192444,0.8436490850376749
32,30.0,0.22127067658209032,15657.0,0.2352258563041687,-0.06615716218948364,0.01973558152902855,0.07615715265274048,0.9802644184709715,7432.0,0.21851620078086853,-0.35726863145828247,0.11114101184068892,0.3672686219215393,0.8888589881593111
33,30.0,0.23042186854347105,15657.0,0.21630816161632538,-0.11357763409614563,0.033659066232356136,0.12357762455940247,0.9663409337676439,7432.0,0.20370352268218994,-0.3636384606361389,0.1376480086114101,0.37363845109939575,0.8623519913885899
34,30.0,0.22993393867246567,15657.0,0.22254814207553864,-0.15880316495895386,0.019543973941368076,0.1688031554222107,0.9804560260586319,7432.0,0.21005938947200775,-0.36115676164627075,0.11679224973089343,0.3711567521095276,0.8832077502691066
35,30.0,0.21754834103968837,15657.0,0.2121303677558899,-0.10090765357017517,0.023312256498690682,0.110907644033432,0.9766877435013093,7432.0,0.20191635191440582,-0.39815622568130493,0.1319967707212056,0.40815621614456177,0.8680032292787944
36,30.0,0.2121541908671779,15657.0,0.19897553324699402,-0.09604036808013916,0.03634157245960273,0.106040358543396,0.9636584275403972,7432.0,0.1887708604335785,-0.5836217403411865,0.15285252960172227,0.5936217308044434,0.8471474703982778
37,30.0,0.21254419319091306,15657.0,0.2168264389038086,-0.05699127912521362,0.02062975027144408,0.06699126958847046,0.9793702497285559,7432.0,0.20352879166603088,-0.38524508476257324,0.1301130247578041,0.3952450752258301,0.8698869752421959
38,30.0,0.20881399560359218,15657.0,0.1973780244588852,-0.11164450645446777,0.03155138276809095,0.12164449691772461,0.968448617231909,7432.0,0.1889522671699524,-0.49409356713294983,0.14881593110871905,0.5040935277938843,0.851184068891281
39,30.0,0.20738001071637677,15657.0,0.21244293451309204,-0.0877111554145813,0.025100593983521748,0.09771114587783813,0.9748994060164783,7432.0,0.19915705919265747,-0.5356060266494751,0.1317276641550054,0.5456060171127319,0.8682723358449946
40,30.0,0.2028877321750887,15657.0,0.19337815046310425,-0.11024072766304016,0.031359775180430476,0.120240718126297,0.9686402248195696,7432.0,0.18635787069797516,-0.5100677013397217,0.15083423035522067,0.5200676918029785,0.8491657696447793
