variant,reversal_sample_weight,coverage,accepted_sample_accuracy,selection_score,utility,accepted_count,selected_t_up,selected_t_down,continuation_accepted_accuracy,reversal_accepted_accuracy,target_met
reversal_weight_1,1.0,0.7055436529191216,0.698994116530651,0.6093189490380648,0.2807980717728978,5269.0,0.575,0.43,0.9950738916256158,0.02910216718266254,False
reversal_weight_1.5,1.5,0.7098286020353508,0.6574231277117525,0.45320663561204233,0.22348687734333153,5301.0,0.53,0.475,0.7637549631310266,0.4461971830985916,False
reversal_weight_2,2.0,0.7096946973754686,0.5671698113207547,0.17202086699938093,0.0953401178361007,5300.0,0.46,0.37,0.5192634560906516,0.6627118644067796,False
reversal_weight_3,3.0,0.15184788430637386,0.54673721340388,0.054103100136942237,0.014193893947509363,1134.0,0.7,0.3,0.21060842433697347,0.9837728194726166,False
reversal_weight_5,5.0,0.8552490626673809,0.4189760450915923,-0.19660416680567736,-0.1385913229780396,6387.0,0.45,0.3,0.08420528151469855,0.9852507374631269,False
reversal_weight_8,8.0,0.9448312801285484,0.38378684807256236,-0.28780406632492517,-0.2196036422067488,7056.0,0.45,0.3,0.028616141292197632,0.9988385598141696,False
