keep_threshold,reverse_threshold,keep_base_reversal,use_abstains,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.02,0.35,False,False,7468.0,0.45393679700053563,0.3834437086092715,0.40797872340425534,0.3957112160067634,0.6491697911087306,0.39705014749262535,0.44542772861356933,0.5545722713864307,0.35,0.02,3390.0,1510.0,1880.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.09346545259775042,0.523164529377846,-0.1786540320478163,1510.0,1880.0,3390.0,0.45393679700053563,0.39705014749262535,4825.0,0.4283937823834197,0.014997581035316884,2067.0,2643.0,0.5005675368898979,0.9939531368102796,1323.0
0.02,0.35,False,True,7468.0,0.5188805570433851,0.4011142061281337,0.4182692307692308,0.40969171844868224,0.6491697911087306,0.4103225806451613,0.4632258064516129,0.5367741935483871,0.35,0.02,3875.0,1795.0,2080.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.0930637386181039,0.5531474919320745,-0.16824398551106864,1795.0,2080.0,3875.0,0.5188805570433851,0.4103225806451613,4825.0,0.4783419689119171,0.013431542461005199,2308.0,2643.0,0.5928868709799471,0.9948947032546267,1567.0
0.02,0.35,True,False,7468.0,0.48527048741296197,0.39683505782105905,0.41847551741544675,0.40765528761825287,0.6491697911087306,0.4086644591611479,0.4533664459161148,0.5466335540838853,0.35,0.02,3624.0,1643.0,1981.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.0886448848419925,0.5356843157378021,-0.16547970929464534,1643.0,1981.0,3624.0,0.48527048741296197,0.4086644591611479,4825.0,0.4489119170984456,0.014312096029547553,2166.0,2643.0,0.5516458569807038,0.9945130315500685,1458.0
0.02,0.35,True,True,7468.0,0.5502142474558115,0.4113070539419087,0.42732691425951397,0.41931698410071133,0.6491697911087306,0.41981017279143346,0.46921392066196155,0.5307860793380385,0.35,0.02,4109.0,1928.0,2181.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.088243170862346,0.5650032824321278,-0.15618169594076012,1928.0,2181.0,4109.0,0.5502142474558115,0.41981017279143346,4825.0,0.498860103626943,0.012879102617366016,2407.0,2643.0,0.6439651910707529,0.9952996474735605,1702.0
0.02,0.4,False,False,7468.0,0.4068023567220139,0.3874074074074074,0.4140995260663507,0.40075346673687906,0.6491697911087306,0.402238314680711,0.44437129690585914,0.5556287030941409,0.4,0.02,3038.0,1350.0,1688.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.07953936797000537,0.4931235771548646,-0.16129702909140392,1350.0,1688.0,3038.0,0.4068023567220139,0.402238314680711,4825.0,0.381139896373057,0.016856987493202826,1839.0,2643.0,0.4536511539916761,0.9933277731442869,1199.0
0.02,0.4,False,True,7468.0,0.4677289769683985,0.40580605311920936,0.423692636072572,0.4147493445958907,0.6491697911087306,0.41540223303750357,0.4634984254222731,0.5365015745777268,0.4,0.02,3493.0,1619.0,1874.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.07913765399035888,0.5229085154014789,-0.15134129902168172,1619.0,1874.0,3493.0,0.4677289769683985,0.41540223303750357,4825.0,0.42797927461139895,0.015012106537530266,2065.0,2643.0,0.5402951191827469,0.9943977591036415,1428.0
0.02,0.4,True,False,7468.0,0.43813604713444027,0.401888064733648,0.4253773057574064,0.4136326852455272,0.6491697911087306,0.41473105134474325,0.453239608801956,0.546760391198044,0.4,0.02,3272.0,1483.0,1789.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.07471880021424747,0.5063866345731726,-0.1475528679330707,1483.0,1789.0,3272.0,0.43813604713444027,0.41473105134474325,4825.0,0.4016580310880829,0.015995872033023734,1938.0,2643.0,0.504729474082482,0.9940029985007496,1334.0
0.02,0.4,True,True,7468.0,0.49906266738082483,0.4166666666666667,0.43341772151898733,0.425042194092827,0.6491697911087306,0.4255433324389589,0.4700831768178159,0.529916823182184,0.4,0.02,3727.0,1752.0,1975.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.07431708623460098,0.5354342880388899,-0.13879777200447638,1752.0,1975.0,3727.0,0.49906266738082483,0.4255433324389589,4825.0,0.44849740932642485,0.01432532347504621,2164.0,2643.0,0.5913734392735528,0.9948816378758797,1563.0
0.02,0.45,False,False,7468.0,0.36033743974290305,0.3868797308662742,0.42276964047936083,0.4048246856728175,0.6491697911087306,0.4069119286510591,0.44184318097361575,0.5581568190263843,0.45,0.02,2691.0,1189.0,1502.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.06708623460096412,0.4622897761923073,-0.14511727936863783,1189.0,1502.0,2691.0,0.36033743974290305,0.4069119286510591,4825.0,0.3355440414507772,0.019147621988882025,1619.0,2643.0,0.40559969731365875,0.9925373134328358,1072.0
0.02,0.45,False,True,7468.0,0.4176486341724692,0.4059680777238029,0.43206197854588796,0.4190150281348454,0.6491697911087306,0.4200064123116383,0.4620070535428022,0.5379929464571979,0.45,0.02,3119.0,1441.0,1678.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.06681842528119981,0.4921722561531019,-0.13576227519093306,1441.0,1678.0,3119.0,0.4176486341724692,0.4200064123116383,4825.0,0.37968911917098447,0.016921397379912665,1832.0,2643.0,0.4869466515323496,0.9937839937839937,1287.0
