epoch,fit_loss,calibration_nll
1.0,22.642903751797146,7.101130506459167
2.0,5.494083272086249,4.62895877331118
3.0,4.325465864605373,4.234646849893819
4.0,4.17815809779697,4.179701067526129
5.0,4.132841640048557,4.161134560098125
6.0,4.10737959543864,4.158758510315971
7.0,4.093722687827216,4.147133015177924
8.0,4.071712109777662,4.1413431211865905
9.0,4.058279832204183,4.149470895855739
10.0,4.04204703701867,4.162910948725189
11.0,4.026299092504713,4.153031889999969
12.0,4.009711609946357,4.140504674066471
13.0,3.9976531664530435,4.146302444924785
14.0,3.9773021009233265,4.15997342057369
15.0,3.9595068428251476,4.164861597391121
16.0,3.9439034594429865,4.148561153331387
17.0,3.926923632621765,4.167342401657426
18.0,3.9059713549084134,4.155922770198387
19.0,3.894952932993571,4.2000163971623286
20.0,3.870683643552992,4.169944467021443
21.0,3.851123187277052,4.204188625319597
22.0,3.836483279863993,4.189692505703697
