epoch,loss,train_sample_count,train_mean_gap,train_median_gap,train_min_gap,train_violation_rate,train_max_violation,train_p90_violation,train_p95_violation,train_p99_violation,train_coverage,validation_sample_count,validation_mean_gap,validation_median_gap,validation_min_gap,validation_violation_rate,validation_max_violation,validation_p90_violation,validation_p95_violation,validation_p99_violation,validation_coverage
1,0.009730439467896377,15657.0,0.2572484016418457,0.22771769762039185,-0.3566439151763916,0.07530178195056524,0.36664390563964844,0.0,0.017016952857375145,0.07265083491802216,0.9246982180494348,7432.0,0.2473636269569397,0.21876974403858185,-0.2236739993095398,0.11948331539289558,0.23367398977279663,0.01137003768235445,0.04515194892883301,0.10786894708871841,0.8805166846071044
2,0.008120626166102386,15657.0,0.259682834148407,0.22771626710891724,-0.34545427560806274,0.058184837452896467,0.3554542660713196,0.0,0.005061424802988768,0.05618360638618469,0.9418151625471035,7432.0,0.24833647906780243,0.2202213555574417,-0.24256014823913574,0.1073735199138859,0.2525601387023926,0.0037443472538143396,0.03732734173536301,0.09841800481081009,0.8926264800861141
3,0.007882650821439682,15657.0,0.24845042824745178,0.21577727794647217,-0.31723451614379883,0.07166123778501629,0.32723450660705566,0.0,0.01228648517280817,0.05686952918767929,0.9283387622149837,7432.0,0.23131413757801056,0.20386064052581787,-0.23823696374893188,0.13495694294940797,0.24823695421218872,0.01794705167412758,0.05058027058839798,0.11539224535226822,0.865043057050592
4,0.007729960515374138,15657.0,0.25515878200531006,0.22139829397201538,-0.33175861835479736,0.05345851695727151,0.3417586088180542,0.0,0.0017873478354886174,0.043392956256866455,0.9465414830427284,7432.0,0.2409721165895462,0.2140837460756302,-0.2567106783390045,0.11827233584499462,0.26671066880226135,0.010348429903388023,0.04354047402739525,0.106833316385746,0.8817276641550054
5,0.0075140734683842424,15657.0,0.2489219456911087,0.21484193205833435,-0.32169461250305176,0.05920674458708565,0.3316946029663086,0.0,0.004716427065432072,0.04495306313037872,0.9407932554129144,7432.0,0.2387607991695404,0.20976294577121735,-0.25482988357543945,0.11934876210979548,0.2648298740386963,0.010390386916697025,0.043501004576683044,0.11214938759803772,0.8806512378902045
6,0.007416376738899177,15657.0,0.2490341067314148,0.21410536766052246,-0.3313279151916504,0.050903749121798555,0.3413279056549072,0.0,0.0006919032311998308,0.03748314827680588,0.9490962508782015,7432.0,0.2320319265127182,0.20415028929710388,-0.23030662536621094,0.12688374596340152,0.24030661582946777,0.014476128853857517,0.04996383935213089,0.11970343440771103,0.8731162540365985
7,0.0071772799016006535,15657.0,0.23412950336933136,0.19976922869682312,-0.32040899991989136,0.07217219135211088,0.3304089903831482,0.0,0.009966828860342503,0.043900441378355026,0.9278278086478892,7432.0,0.22157496213912964,0.19500033557415009,-0.265764445066452,0.1459903121636168,0.27576443552970886,0.023991629481315613,0.05909475311636925,0.12326651066541672,0.8540096878363832
8,0.007125011675300137,15657.0,0.23047873377799988,0.19723525643348694,-0.30353105068206787,0.07696238104362266,0.3135310411453247,0.0,0.01365220732986927,0.055038925260305405,0.9230376189563774,7432.0,0.21183712780475616,0.18760208785533905,-0.2980126738548279,0.1706135629709365,0.3080126643180847,0.03509126603603363,0.07287603616714478,0.14007562398910522,0.8293864370290636
9,0.00692555463061698,15657.0,0.2323487401008606,0.19763407111167908,-0.3050321340560913,0.056779715143386346,0.31503212451934814,0.0,0.0036018830724060535,0.034639276564121246,0.9432202848566137,7432.0,0.2136324793100357,0.18521901965141296,-0.29473692178726196,0.15392895586652314,0.3047369122505188,0.025993328541517258,0.060334641486406326,0.13312092423439026,0.8460710441334769
10,0.006736340256588113,15657.0,0.22775433957576752,0.19176152348518372,-0.31914591789245605,0.05703519192693364,0.3291459083557129,0.0,0.0031136053148657084,0.03628223389387131,0.9429648080730664,7432.0,0.21087315678596497,0.1846611350774765,-0.30986541509628296,0.15621636167922498,0.3198654055595398,0.027352450415492058,0.060925595462322235,0.1310170441865921,0.8437836383207751
