variant,coverage,accepted_sample_accuracy,selection_score,utility,accepted_count,selected_t_up,selected_t_down,target_met
d5_i400_l24_rs1,0.7055436529191216,0.698994116530651,0.6093189490380648,0.2807980717728978,5269.0,0.575,0.43,False
d4_i500_l24_rs1,0.7040707016604177,0.696842906047927,0.5999623979900197,0.2771826459560793,5258.0,0.58,0.43,False
d4_i450_l16_rs05,0.7036689876807712,0.6960989533777355,0.5967925308230364,0.27597750401713983,5255.0,0.595,0.445,False
d4_i350_l20_rs1,0.7048741296197107,0.6956686930091185,0.5955713665101022,0.27584359935725755,5264.0,0.575,0.425,False
