bin_index,limit_price,gc
0,0.01,0.005568814638027049
0,0.02,0.015910898965791568
0,0.03,0.020684168655529037
0,0.04,0.026252983293556086
0,0.05,0.03739061256961018
0,0.06,0.05250596658711217
0,0.07,0.06284805091487669
0,0.08,0.07239459029435164
0,0.09,0.07796340493237867
0,0.1,0.08989657915672236
0,0.11,0.10023866348448687
0,0.12,0.10660302307080351
0,0.13,0.12012728719172633
0,0.14,0.1328560063643596
0,0.15,0.14399363564041368
0,0.16,0.15035799522673032
0,0.17,0.162291169451074
0,0.18,0.17740652346857597
0,0.19,0.18456642800318218
0,0.2,0.20047732696897375
0,0.21,0.2171837708830549
0,0.22,0.2243436754176611
0,0.23,0.2354813046937152
0,0.24,0.2394590294351631
0,0.25,0.25934765314240255
0,0.26,0.2728719172633254
0,0.27,0.2911694510739857
0,0.28,0.3031026252983294
0,0.29,0.315035799522673
0,0.3,0.3420843277645187
0,0.31,0.3635640413683373
0,0.32,0.3786793953858393
0,0.33,0.3937947494033413
0,0.34,0.4200477326968974
0,0.35,0.4383452665075577
0,0.36,0.4606205250596659
0,0.37,0.4884645982498011
0,0.38,0.5091487669053302
0,0.39,0.5330151153540175
0,0.4,0.5632458233890215
0,0.41,0.594272076372315
0,0.42,0.6189339697692919
0,0.43,0.6467780429594272
0,0.44,0.6714399363564041
0,0.45,0.6984884645982498
0,0.46,0.7295147175815434
0,0.47,0.7629276054097056
0,0.48,0.7915672235481305
0,0.49,0.8186157517899761
0,0.5,0.8464598249801114
0,0.51,0.8719172633253779
0,0.52,0.888623707239459
0,0.53,0.9061256961018298
0,0.54,0.9260143198090692
0,0.55,0.94351630867144
0,0.56,0.954653937947494
0,0.57,0.9610182975338106
0,0.58,0.9689737470167065
0,0.59,0.9761336515513126
0,0.6,0.9832935560859188
0,0.61,0.984884645982498
0,0.62,0.9856801909307876
0,0.63,0.9888623707239459
0,0.64,0.9912490055688147
0,0.65,0.9936356404136834
0,0.66,0.9936356404136834
0,0.67,0.9952267303102625
0,0.68,0.9960222752585521
0,0.69,0.9968178202068417
0,0.7,0.9968178202068417
0,0.71,0.9968178202068417
0,0.72,0.9968178202068417
0,0.73,0.9976133651551312
0,0.74,0.9976133651551312
0,0.75,0.9976133651551312
0,0.76,0.9976133651551312
0,0.77,0.9984089101034208
0,0.78,0.9992044550517104
0,0.79,0.9992044550517104
0,0.8,0.9992044550517104
0,0.81,0.9992044550517104
0,0.82,0.9992044550517104
0,0.83,0.9992044550517104
0,0.84,0.9992044550517104
0,0.85,0.9992044550517104
1,0.01,0.005568814638027049
1,0.02,0.015910898965791568
1,0.03,0.020684168655529037
1,0.04,0.026252983293556086
1,0.05,0.03739061256961018
1,0.06,0.05250596658711217
1,0.07,0.06284805091487669
1,0.08,0.07239459029435164
1,0.09,0.07796340493237867
1,0.1,0.08989657915672236
1,0.11,0.10023866348448687
1,0.12,0.10660302307080351
1,0.13,0.12012728719172633
1,0.14,0.1328560063643596
1,0.15,0.14399363564041368
1,0.16,0.15035799522673032
1,0.17,0.162291169451074
1,0.18,0.17740652346857597
1,0.19,0.18456642800318218
1,0.2,0.20047732696897375
1,0.21,0.2171837708830549
1,0.22,0.2243436754176611
1,0.23,0.2354813046937152
1,0.24,0.2394590294351631
1,0.25,0.25934765314240255
1,0.26,0.2728719172633254
1,0.27,0.2911694510739857
1,0.28,0.3031026252983294
1,0.29,0.315035799522673
1,0.3,0.3420843277645187
