feature,importance_q70,importance_q80,importance_q90,importance_mean
selected_side,24.934866175618815,25.934103422319783,21.581042627617663,24.15000407518542
p_side,21.23534211031149,18.51779917488475,17.00329972842267,18.918813671206305
micro_rv_30s,2.8048703060415674,3.6722398924659996,1.5942316338105766,2.690447277439381
context_ret_product__clv_1__ret_1,2.181225584763662,2.147609554582117,3.431765571300769,2.586866903548849
micro_rv_10s,2.8520277788077197,1.8584429206843758,2.942230551793027,2.550900417095041
micro_rv_60s,1.7670411929388525,2.3295088192139803,2.452694642296027,2.1830815514829536
ret_1_rolling_z_24,1.5987981254405748,1.519154014157709,3.310612777418774,2.1428549723390193
direction_confidence,2.006159635645308,2.2109220494443904,2.031251343249184,2.082777676112961
micro_rv_5s,1.4364879264810042,3.0797505420089775,1.6969313640769357,2.071056610855639
p_bin,0.33972610509195333,1.6022554061488883,3.6826299609130966,1.8748704907179794
ret_close_z_product__ret_1__close_z_3,0.7533168722995026,1.4041075960273048,1.4118466910125398,1.1897570531131156
ret_vol_ratio__ret_1__rv_30,1.6612721199753357,1.0020145885881055,0.5345552661975084,1.0659473249203166
p_up,0.7652749365891647,0.404069940633235,1.9479537193884235,1.0390995322036078
rv_30_delta_1,0.5656285702162911,0.6784190393641213,1.7127321459851665,0.985593251855193
negative_taker_imbalance,1.5334336150121735,1.1727779770627216,0.0,0.9020705306916317
micro_ret_5s,1.4542430298960793,0.8459018177834607,0.30691727009497394,0.869020705924838
htf_rv_15m_delta_1,0.34421716117543505,1.005451248145025,1.0412299632932926,0.7969661242045842
htf_range_pos_15m_delta_1,1.0804763048854618,0.6280675226570028,0.6138199852856073,0.7741212709426906
ret_1_mean_gap_24,0.9653147997893498,0.7665698418779618,0.34683855532762065,0.6929077323316442
ret_vol_ratio__ret_1__rv_10,0.30949778518392856,0.49772396382482736,1.061926743623256,0.623049497544004
htf_close_z_15m_delta_1,0.33596591783902335,0.5792421150802805,0.8786260969647234,0.5979447099613423
second_level_price_slope,0.5620469097969174,0.6908878753648104,0.5302399008171195,0.5943915619929491
ret_1,0.07091914717452451,1.0289940249031415,0.6005611618959723,0.5668247779912128
taker_imbalance,0.3300983477456855,0.32745340969184006,1.002741269641824,0.5534310090264499
micro_ret_10s,0.25567507091926,0.5852681121127936,0.799075637219531,0.5466729400838616
ret_vol_product__ret_1__rv_10,0.6846249293025325,0.009768962556270671,0.8543296759791338,0.5162411892793123
rv_10_delta_1,0.3846830679425592,0.5787431799395835,0.5102030090812726,0.49120975232113845
rv_5_delta_1,0.3579196897196598,0.27918109663004853,0.6520950151018509,0.4297319338171864
ret_vol_ratio__ret_1__rv_5,0.3348133671662565,0.2876975531521077,0.4626336134322565,0.36171484458354025
close_location_1,0.09935527284202045,0.8257527678565303,0.03475486579673951,0.31995430216509674
ret_relative_volume_product__ret_1__relative_volume_5,0.5374082224248897,0.12820934184531418,0.2656218241215718,0.31041312946392524
micro_ret_30s,0.6507994578239069,0.08899668016709626,0.17604250237598462,0.30527954678899594
ret_vol_product__ret_1__rv_5,0.5094094520361675,0.07956751930285798,0.31393584457185664,0.3009709386369607
ret_efficiency_product__ret_1__efficiency_3,0.7707182702067256,0.029590528791587377,0.09198870732296445,0.2974325021070925
ret_vol_product__ret_1__rv_30,0.366266621723887,0.2615741787961853,0.2498945370171394,0.2925784458457372
prev_bar_return,0.33852356066376865,0.09973783609168656,0.41742247730783505,0.28522795802109674
taker_imbalance_zscore_20,0.036320189626365115,0.43543156734288546,0.3527566239230395,0.2748361269640967
micro_ret_60s,0.5905529743319793,0.23053255111501447,0.0,0.27369517514899794
ret_close_z_product__ret_1__close_z_5,0.2500088334582916,0.20524665311921453,0.3598786022320093,0.27171136293650516
rv_3_mean_gap_12,0.25732460294530907,0.35698712081634004,0.17265506607135617,0.26232226327766844
prev_bar_body_bps,0.0236150906460397,0.74299518831222,0.008926559744273253,0.258512279567511
abs_ret_mean_5_delta_1,0.18404693376490966,0.17295774993484653,0.298334281114926,0.21844632160489405
ret_relative_volume_product__ret_1__relative_volume_3,0.35245290403576496,0.0,0.24793489034082783,0.2001292647921976
close_z_10_delta_1,0.06837064945528945,0.2612198692071614,0.21961335082543132,0.18306795649596072
rv_3_rolling_z_6,0.20909395560483254,0.07684296681213026,0.23536095798067352,0.17376596013254542
ret_relative_volume_product__ret_1__relative_volume_20,0.10442303968038343,0.2280985098258129,0.1792308189094114,0.1705841228052026
context_ret_product__up_ratio_5__ret_1,0.048433358702735005,0.33730320141071035,0.09650862575164192,0.16074839528836243
ret_efficiency_product__ret_1__efficiency_10,0.022899867895041445,0.44917275798160045,0.006278885479489828,0.15945050378537726
ret_1_rolling_z_12,0.3335965689752031,0.006107477532730655,0.12943805944139825,0.1563807019831107
htf_rv_15m,0.0430488625222712,0.15477962422986488,0.25786415799510265,0.15189754824907956
max_up_ret_5_delta_1,0.02788907289307412,0.18238351403857447,0.21752997584882908,0.14260085426015923
rv_10_rolling_z_6,0.08156365659626319,0.1239816775759407,0.2187535627980227,0.1414329656567422
ret_vol_ratio__ret_1__rv_3,0.17087962785984612,0.0627543831154757,0.17631871991068043,0.13665091029533408
prev_bar_vwap_proxy,0.09768039756467052,0.06625764836328489,0.2355441481048667,0.13316073134427406
range_pos_10_delta_1,0.20528828804356525,0.03791381937366342,0.1500587757266399,0.13108696104795617
legal_prev_trade_count_sum_10,0.31609183122010376,0.028897228445781565,0.04644287127783897,0.13047731031457477
signed_dollar_flow,0.2813948415783119,0.012226145308056206,0.09268061654999377,0.12876720114545395
ret_1_mean_gap_12,0.33987976974667883,0.045315372054646794,0.0,0.12839838060044187
rv_3_delta_1,0.054185474444852215,0.20455844723344907,0.12020203435138485,0.12631531867656207
compression_to_expansion_flag,0.0,0.01138890951615555,0.363687328856475,0.12502541279087684
lower_wick_ratio_1,0.12506825831096058,0.05841127317482989,0.17728741650261143,0.1202556493294673
range_pos_3_delta_1,0.004501343666314816,0.2945420919989503,0.0605071838469066,0.11985020650405726
legal_prev_trade_count_sum_20,0.24445611190000116,0.06823950781550332,0.023418623341522143,0.11203808101900888
dollar_vol_mean_20,0.1017519513748513,0.07700577020304679,0.1376241758976931,0.10546063249186373
hour_sin,0.04276461020074887,0.04740472185282251,0.21581942424678524,0.10199625210011887
legal_prev_trade_count_sum_3,0.07607215911339155,0.11366618881681813,0.10560667149960239,0.09844833980993735
ret_range_pos_product__ret_1__range_pos_5,0.020004282257126138,0.26351924655381354,0.010307157487583773,0.09794356209950782
prev_bar_trade_count_lag3,0.09052196272965111,0.06713145832657652,0.13380839595111355,0.09715393900244707
abs_ret_mean_20_delta_1,0.0972010219415529,0.11227073218933269,0.08138824906621141,0.09695333439903232
ret_term_ratio__ret_1__ret_3,0.06127553570553776,0.15188390730236237,0.0718389622840245,0.09499946843064155
context_ret_product__compression_score__ret_1,0.02842181058078268,0.20020536132303182,0.05562278665340325,0.09474998618573925
prev_bar_upper_wick_bps,0.11480208291499516,0.08590544988821561,0.08349628149318013,0.09473460476546364
clv_1,0.12568733217110756,0.0588285210644617,0.09870038788942115,0.09440541370833015
rv_10_lag12,0.03370282415804001,0.02342926352627912,0.21263896190962692,0.08992368319798201
price_location_product__range_pos_3__close_z_3,0.04124625878885666,0.03660901836156165,0.1860198800735135,0.08795838574131061
stale_trade_share_20,0.016743329732547486,0.044030005868499,0.1988891002231926,0.08655414527474636
range_pos_3_delta_3,0.0,0.2587485226634032,0.0,0.08624950755446774
rv_5_lag1,0.05746570605500057,0.10913700482629536,0.0850111683500857,0.0838712930771272
context_ret_product__max_down_ret_5__ret_1,0.08379190055779,0.0,0.15942142431768838,0.08107110829182612
upper_wick_ratio_1,0.056209646210730865,0.05951268158945912,0.12046383448850895,0.07872872076289965
compression_score_rolling_z_6,0.12521821340313208,0.06259782557081844,0.03642298785604648,0.07474634227666567
rv_3_mean_gap_6,0.054837521002132725,0.02027477386642846,0.14427689666718224,0.07312973051191447
ret_term_ratio__ret_1__ret_10,0.04264176028330714,0.07024736822233064,0.10354935909425186,0.07214616253329655
ret_relative_volume_product__ret_1__relative_volume_10,0.0,0.044759034564460426,0.1681965055221376,0.07098518002886602
taker_buy_ratio,0.2119946822099371,0.0,0.0,0.07066489406997904
hour_cos,0.09431105187727909,0.04780732954341554,0.06581699409630634,0.06931179183900033
relative_volume_5_lag2,0.066039197880134,0.13871144878544905,0.0,0.06825021555519435
ret_1_mean_gap_6,0.16665794683942103,0.03714865669203627,0.0,0.06793553451048577
price_location_product__range_pos_3__close_z_5,0.07062655958114182,0.005394967065474355,0.12472575777694245,0.06691576147451954
context_ret_product__wick_pressure_1__ret_1,0.05914338778270375,0.08233072622729189,0.04811310279074512,0.06319573893358026
volume_z_term_ratio__volume_z_10__volume_z_20,0.07052962089023253,0.07094290764114192,0.046576426184906074,0.06268298490542683
ret_close_z_product__ret_1__close_z_10,0.020837214350649166,0.072738249663155,0.09381765473774724,0.0624643729171838
body_pct_1,0.0,0.01530467746032687,0.17155381239961817,0.06228616328664835
